@relation 'bugzilla-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute ns numeric
@attribute nm numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
1,1,3,0.57938,0.09362,0,480.666667,1,14,596,0.666667,143,133.5,129,1
1,1,1,0,0,0,398,1,1,0,1,140,140,137,1
3,3,52,0.739279,0.183477,0.208913,283.519231,0,23,15836,0.75,984,818.65,978,0
1,1,8,0.685328,0.016039,0.01288,514.375,1,21,1281,1,579,479.25,550,0
2,2,38,0.769776,0.091829,0.072746,366.815789,1,21,6565,0.763158,413,313.25,405,0
1,1,16,0.760777,0.018308,0.017666,583.75,1,20,2098,0.75,595,495.25,566,0
2,2,33,0.81616,0.095682,0.041833,403.484848,0,21,6840,0.727273,548,448.25,540,0
2,2,33,0.81616,0.095682,0.041833,403.484848,1,21,6840,0.727273,482,382.25,474,0
2,2,9,0.650242,0.086558,0.070774,218.222222,0,19,2117,0.555556,24,24,24,0
2,2,8,0.795895,0.080952,0.02381,393.75,1,27,794,0.875,170,90.5,169,1
2,2,3,0.873908,0.079208,0.007921,168.333333,1,9,39,0.333333,659,659,644,1
2,2,10,0.761024,0.013782,0.006615,544.2,1,26,172,0.6,21,21,20,1
4,4,63,0.995305,0.000062,0.003964,256.253968,1,26,3520,0.603175,363,336,363,0
2,2,3,0.770097,0.115809,0.045956,181.333333,1,6,42,0.333333,54,54,54,1
2,2,41,0.800418,0.028489,0.02012,288.512195,0,22,10034,0.731707,709,609.25,701,0
3,3,21,0.800379,0.009292,0.005616,466.333333,0,20,2739,0.714286,290,190.25,286,0
2,2,12,0.614774,0.508086,0.507637,185.5,0,23,3724,0.5,423,221.166667,409,0
3,3,22,0.815715,0.058697,0.034379,379.454545,0,22,4898,0.863636,745,645.25,737,0
2,2,38,0.914054,0.018813,0.006773,244.789474,0,21,9020,0.763158,633,533.25,625,0
1,1,1,0,0.025641,0.025641,39,1,6,86,1,999,824.6,939,0
2,2,2,1,0.003236,0.003236,309,1,15,256,0.5,576,192.566667,549,1
2,2,7,0.803756,0.006195,0.004318,761,1,27,134,0.571429,79,79,78,1
2,2,4,0.825011,0.007243,0.002414,621.25,1,25,36,0.5,29,29,29,1
2,2,3,0.946395,0.008721,0.002907,229.333333,1,14,39,0.666667,511,237.333333,491,1
2,2,2,1,0.010381,0.010381,289,1,13,78,0.5,2,2,2,1
2,2,9,0.552053,0.124817,0.088268,608,1,25,130,0.555556,453,397.5,438,1
2,2,7,0.662682,0.007537,0.026823,644.428571,0,24,24,0.857143,294,268.5,287,1
2,2,7,0.780369,0.043266,0.010933,614.142857,1,22,171,0.857143,98,78,98,1
2,2,38,0.907421,0.019177,0.007476,242.894737,1,21,3580,0.842105,352,296.5,345,1
2,2,10,0.725406,0.033937,0.029148,480.3,1,19,729,0.8,10,10,10,1
2,2,2,1,0.518987,0.03481,316,1,2,12,0.5,24,24,24,1
2,2,2,1,0.008929,0.008929,224,0,1,18,0.5,48,40.5,48,0
2,2,5,0.01406,0.303448,0.278818,203,1,1,42,0.6,34,26.5,34,1
2,2,2,1,0.027429,0.034286,875,1,2,42,0.5,52,52,52,0
2,2,2,1,0.005695,0.004556,878,1,2,42,0.5,50,50,50,0
2,2,2,1,0.165173,0.021767,781,0,2,38,0.5,46,46,46,0
2,2,2,1,0.123311,0.069257,592,0,2,30,0.5,39,39,39,0
2,2,2,1,0.090435,0.111304,575,1,2,28,0.5,37,37,37,0
2,2,2,1,0.164948,0.084192,582,0,2,28,0.5,35,35,35,0
2,2,2,1,0.508993,0.05036,556,0,2,16,0.5,29,29,29,0
2,2,2,1,0.432099,0.096296,405,0,2,14,0.5,27,27,27,0
2,2,11,0.844056,0.031333,0.016684,446.818182,1,19,1216,0.727273,127,127,119,0
2,2,36,0.796343,0.042985,0.098318,359.944444,0,21,7435,0.694444,449,349.25,441,0
2,2,30,0.815988,0.08832,0.031668,418.933333,1,20,4763,0.7,249,236,244,0
2,2,40,0.759073,0.072615,0.091664,349.1,0,21,7152,0.75,375,275.25,367,0
2,2,2,1,0.003155,0.003155,317,1,15,1080,0.5,582,194.583333,555,0
2,2,9,0.837283,0.027546,0.035365,625.222222,0,24,430,0.777778,120,120,120,0
2,2,6,0.622924,0.015772,0.015772,782,0,25,514,0.833333,501,501,487,0
3,3,12,0.525721,0.017523,0.010952,494.583333,0,26,1733,0.75,477,477,474,0
2,2,5,0.477016,0.09063,0.08679,260.4,0,21,660,0.6,364,364,356,0
2,2,2,1,0.003145,0.003145,318,0,12,226,0.5,312,312,307,0
2,2,10,0.846878,0.019409,0.021442,541,1,25,699,0.9,301,301,296,0
4,4,21,0.829655,21,13495,0,0,32,1507,0.809524,113,81.166667,108,0
1,1,1,0,0.017182,0.010309,291,0,14,56,1,69,37.166667,51,0
2,4,7,0.787306,0.039246,0.017268,273,1,39,265,1,1805,1006.833333,1718,0
2,2,2,0.353359,0.023622,0.005906,254,1,13,16,1,625,605.5,285,0
2,3,5,0.743869,0.043333,0.004667,300,1,36,88,1,563,563,546,1
2,2,3,0.660086,0.221402,0.134686,180.666667,1,18,32,1,484,484,468,0
1,1,1,0,0.003774,0.003774,265,1,13,8,1,1536,968,954,0
2,2,3,0.88686,0.004075,0.004075,654.333333,1,36,4,1,1460,946.166667,1396,0
1,1,1,0,0.054945,0.003663,273,1,13,2,1,73,73,22,1
1,1,1,0,0.181132,0.2,265,1,13,9,1,63,63,20,1
1,1,1,0,0.003663,0.003663,273,1,13,6,1,70,70,34,0
1,1,1,0,0.011858,0,253,1,12,4,1,1197,747.5,753,0
1,1,1,0,0.008333,0.008333,240,1,11,32,1,991,785.5,641,0
1,1,1,0,0.029167,0.004167,240,1,10,7,1,10,10,5,1
3,3,6,0.859661,0.006858,0.006858,267.333333,1,23,346,1,41,16.859524,41,0
2,2,5,0.560202,0.087892,0.004917,650.8,1,35,176,1,972,249.114286,949,1
1,1,1,0,0,0.004902,204,1,8,6,1,665,631.5,431,0
1,1,1,0,0.040404,0.005051,198,1,8,13,1,312,312,197,0
2,2,2,1,0.004343,0.004343,460.5,1,11,119,1,76,68.5,73,1
2,2,2,0.999411,0.103806,0.017301,144.5,1,5,200,0.5,882,343.7,862,1
2,2,3,0.579319,0.040346,0.050432,231.333333,1,29,35,1,120,104.583333,114,1
1,1,1,0,0.006993,0.006993,143,1,3,4,1,160,160,118,0
2,2,22,0.633142,0.082759,0.05355,336.136364,1,32,693,0.409091,154,154,153,1
2,2,2,0.938315,0.090517,0.043103,116,1,3,13,1,24,24,24,1
1,1,3,0.656705,0.013324,0.002665,500.333333,1,26,3,0.333333,22,22,16,1
2,3,12,0.393931,0.023182,0.036881,237.25,1,30,281,0.916667,17,17,17,1
1,1,1,0,0.375,0,112,1,1,25,1,482,368,412,1
2,2,7,0.628635,0.038346,0.018625,521.571429,0,28,373,1,78,46.166667,61,0
1,1,1,0,0.004167,0.004167,240,1,13,214,1,1537,969,955,0
1,1,1,0,0.004167,0.004167,240,1,13,164,1,71,71,35,0
1,1,2,0.914019,0.179054,0.087838,148,1,32,134,1,518,518,260,1
2,2,4,0.618468,0.061594,0.057971,483,1,34,486,1,222,222,213,1
1,1,1,0,0.036649,0.010471,191,1,31,79,1,464,464,234,1
2,2,3,0.74311,0.059059,0.041041,333,1,33,18,1,81,81,79,1
1,1,1,0,0,0.04955,222,1,31,7,1,73,73,53,0
1,1,18,0.942208,0.025619,0.021248,457.555556,1,39,307,0.611111,326,326,178,1
1,1,2,1,0.001403,0.001403,713,1,31,6,1,207,207,116,0
