@relation 'ant-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0.8125,1,0,0.950617,0.4,4,9,17.222222,2,1,1
0,0.714286,1,0,0.917647,0.46875,4,4,32.875,5,1.375,0
0,0.333333,1,0,0.925,0.5,1,1,48.5,1,0.75,0
0,0.826531,1,0,0.72549,0.233333,1,1,32.133333,6,1.4,0
0,0.696429,0.75,1,0.454545,0.311111,1,2,27.333333,1,0.8,0
0,2,0,0,0,1,0,0,0,1,1,0
0,0.882353,1,0,0.685185,0.377778,0,0,23.833333,13,2,0
0,2,0,0,0.969697,1,0,0,10.5,1,0.5,0
0,2,0,0,0,0.5,0,0,0,1,1,0
2,0.745455,1,4,0.836957,0.19375,3,7,45.625,14,2.5,0
0,0.625,1,0,0.860465,0.342857,1,1,19,5,1.4286,0
0,2,0,0,0,0.533333,0,0,0,1,1,0
0,0,1,0,0.948718,0.666667,0,0,47.333333,1,0.6667,0
0,2,0,0,0,1,0,0,0,1,1,0
0,0.777778,1,0,0.848485,0.47619,2,5,13.857143,5,1.2857,0
1,0,1,0,0,0.666667,0,0,14.333333,1,0.6667,0
0,0.6,1,0,0.939759,0.555556,1,1,83.5,1,0.8333,0
0,0.583333,1,2,0.795455,0.266667,1,3,23.2,7,2.3,0
0,0.84689,1,4,0.660714,0.25,1,1,39.05,25,3.05,0
0,2,0,0,0,1,0,0,0,1,1,0
0,0.592593,0.5,1,0.545455,0.126984,2,5,36.321429,15,2.5357,0
0,0.571429,1,0,0.823529,0.375,2,5,19.125,4,1.125,0
0,0.333333,1,0,0.925,0.625,1,1,10.25,1,0.75,0
0,0,1,1,0,0.666667,0,0,6,1,0.8333,0
0,2,0,0,0.92,1,1,1,48,10,3.6667,0
0,0.761905,0.5,0,0.844444,0.35,1,4,23,6,2.25,0
0,0.333333,1,0,0.75,0.5,0,0,25.75,1,0.75,1
0,1.5,1,0,0.960784,1,2,3,40,8,3,0
0,0.960152,1,1,0.821053,0.181818,2,2,66.055556,8,1.8333,1
0,2,0,0,0,0.666667,0,0,0,1,1,0
0,2,0,0,0.909091,0.75,1,1,2.5,1,0.5,0
0,0.25,1,0,0,0.666667,0,0,63,2,1,0
2,0.865079,1,1,0.72549,0.225,1,1,28.533333,12,1.8,0
0,2,0,0,0,1,0,0,0,1,1,0
