@relation 'data/M_multi_metrics_JDT.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-14,17-21,23-30,32-39,41-43,46-47,49-55,57-61'

@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute WCHU_noc numeric
@attribute LDHH_noc numeric
@attribute WCHU_lcom numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute LDHH_dit numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
1,1,1.01,0.01184,1.07,1,0,0,127,clean
0,0,0,0,1.15,0,2,0,8,clean
0,2,0,0,0,0,0,0,45,clean
3,5,0,0,2.39,0,0,0.001409,94,buggy
1,0,0,0,0,0,0,0.001409,73,clean
8,3,3.03,0.006412,4.43,1,0,0.001409,27,buggy
12,2,0,0,6.51,1,0,0,9,buggy
1,2,0,0,0,0,1,0,8,clean
2,1,0,0,2.31,0,2,0,10,buggy
3,0,0,0,0,0,0,0,10,buggy
1,0,0,0,0,0,0,0.001409,79,clean
7,2,1.01,0.000358,1.08,0,0,0,45,buggy
0,0,0,0,5.81,1,0,0.004395,42,clean
0,0,0,0,0,0,0,0,33,clean
0,0,0,0,0,0,4,0,73,clean
0,0,0,0,0,0,4,0,82,clean
1,0,0,0,0,0,0,0,17,clean
2,0,0,0,0,0,0,0.001409,94,clean
0,0,0,0,0,0,3,0,8,clean
10,0,0,0,2.73,4,3,0,36,buggy
4,3,1.01,0.000798,0,0,0,0.001409,38,clean
3,0,0,0,2.11,0,0,0,8,clean
3,0,0,0,5.99,0,24,0,8,clean
2,0,0,0,0,0,0,0,8,clean
0,0,0,0,1.03,1,0,0,62,clean
0,0,0,0,0,1,1,0,15,clean
0,0,0,0,0,0,8,0,25,clean
5,2,0,0,0,0,0,0.001409,197,buggy
4,5,0,0,1.07,1,0,0.001409,57,clean
0,0,0,0,1.14,0,2,0,73,buggy
0,0,0,0,0,1,4,0,260,clean
6,0,0,0,1.1,1,0,0,40,clean
0,1,0,0,0,0,4,0,24,clean
0,1,1.01,0.000585,4.35,0,0,0.00026,18,buggy
2,3,0,0,21.3,0,0,0.001409,16,buggy
9,1,1.01,0,8.27,0,0,0,46,clean
0,0,0,0,0,0,2,0,88,clean
0,0,0,0,0,1,0,0,8,clean
0,0,0,0,1.05,1,0,0,264,clean
0,0,0,0,2.09,0,0,0,8,buggy
0,0,0,0,0,0,0,0,33,clean
0,2,0,0,0,0,0,0,8,clean
0,0,0,0,0,0,0,0,22,clean
4,0,0,0,0,1,0,0.001409,65,clean
0,0,0,0,2.12,1,2,0.008262,12,clean
