@relation 'xalan-2.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,16-17,19-20'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,0.777778,1,0,0.344444,30.625,0
14,0.363636,1,2,0.21875,11.25,0
0,1.001603,0.375,0,0.125,37.962264,1
2,1,0,1,0.122222,14.142857,0
0,2,0,0,1,0,0
0,2,0,0,0.333333,0,0
0,0.5,1,0,0.314286,22.571429,1
0,2,0,0,0.375,21.125,0
0,2,0,0,0.28125,0,0
0,0,1,0,0.4,24.4,0
0,0.25,1,0,0.533333,5.2,0
10,0.998047,0,16,0.234375,7.606061,0
0,0.5,0,1,0.458333,20.857143,1
0,0.2,1,0,0.381818,56.181818,0
0,2,0,0,0.75,2.5,0
0,2,0,0,0.75,6.5,0
0,0.798319,1,8,0.214286,85.066667,0
0,2,0,0,1,3,0
0,0.895703,0.901961,2,0.236702,46.291667,0
0,2,0,0,0.666667,1.666667,0
0,0.892857,0,1,0.62963,37.444444,0
0,0.814815,0.444444,2,0.285714,32.285714,0
0,2,0,0,0.304688,13.3125,0
0,2,0,0,0.583333,0,0
0,1,0,0,0.375,101.166667,1
1,2,0,0,0.4,0.6,0
0,2,0,0,0.466667,13.8,0
0,1.142857,0,0,0.225,17.375,0
0,0.75,1,2,0.44,48.4,1
0,2,0,0,0,0,0
0,0.826923,0.75,0,0.196429,22.642857,0
0,2,0,0,1,3,0
0,0.305556,0.75,1,0.44,58.2,0
0,0.636364,1,0,0.55,41,0
0,0.333333,1,1,0.4,29.5,0
0,0.52381,0.833333,0,0.583333,25.375,0
0,2,0,0,0.555556,12.333333,0
0,0.5,1,0,0.4,43.8,0
0,0.7,0,0,0.722222,28.5,0
0,2,0,0,0.75,6,0
0,0.714286,0.714286,2,0.366667,20.272727,0
0,1,0,1,1,16,0
0,0.833333,0.833333,3,0.208333,7.866667,0
0,0,1,1,0.25974,9.428571,0
4,0.2,1,1,0.227273,6.909091,0
0,0.535714,1,1,0.193939,32.133333,0
0,2,0,0,0.583333,9,0
0,0.5,1,0,0.625,8,0
0,0.583333,1,1,0.277778,46,1
1,0,0,1,0.416667,4.75,0
0,2,0,0,0.666667,8.5,0
0,2,0,0,0.75,16,0
0,2,0,0,1,5,0
0,2,0,0,0.5,0,1
0,0.5,1,1,0.314286,6.714286,0
0,0.96875,0.2,1,0.211765,25.588235,0
0,0.153846,1,2,0.42735,14,0
0,0.90559,1,6,0.103865,23.853448,1
0,0,1,2,0.666667,15.5,0
0,2,0,0,1,6,0
0,0.5,1,0,0.75,57.666667,0
0,0.656566,1,3,0.196078,45.794118,0
26,2,0,0,0.5,7,0
0,0.333333,0,1,0.583333,117.25,0
0,0.5,1,0,0.220238,22.47619,0
0,0.333333,1,0,0.371429,8.857143,0
0,2,0,0,0.444444,0,0
0,1.266667,0,0,0.833333,15.25,0
6,0.238095,0,1,0.265152,5.863636,0
0,2,0,0,0.296296,0,0
0,0.538462,1,0,0.222222,10.857143,0
0,2,0,0,1,0,0
1,2,0,0,1,3,0
0,0.5,1,0,0.4,17.2,0
0,2,0,0,1,4,0
0,2,0,0,0.625,29.25,0
1,0.238095,1,2,0.34375,18.25,0
1,0.810458,1,1,0.261905,61,0
0,0.571429,1,2,0.349206,22.25,1
0,2,0,0,0.444444,18.666667,0
0,2,0,0,0.625,31.5,0
0,2,0,0,0.833333,19.333333,0
0,2,0,0,0.555556,7,0
0,0.65625,1,0,0.196078,32.235294,0
0,0,1,0,0.342857,29.285714,0
0,2,0,0,0.75,7.5,0
0,2,0,0,1,3,0
0,2,0,0,0,28,0
0,2,0,0,1,0,0
1,2,0,0,0.5,13.5,0
1,2,0,0,1,3,0
0,2,0,0,0.666667,0,0
0,0.916667,0.357143,0,0.199074,37.6,1
0,1.019737,1,0,0.292857,41.55,1
0,0,0,0,0.833333,11.333333,0
0,2,0,0,0.75,0,0
1,0.911111,0.933333,11,0.131313,32.507463,1
0,2,0,0,0.555556,7.333333,0
0,0.85,0.8,4,0.239234,75.578947,0
2,0.878405,0.604651,6,0.133333,36.760563,1
0,0.166667,1,0,0.4,21.75,0
0,0.666667,1,0,0.45,5.25,0
0,2,0,0,1,4,0
10,2,0,0,0.44,10.2,0
0,0.45,1,2,0.305556,67.666667,0
0,0,1,0,0.342857,8.142857,0
0,2,0,0,0.5,116,1
0,0.666667,0,1,0.278195,7,0
4,0.912946,1,0,0.25,27.058824,1
6,0.806452,1,1,0.163462,7.59375,0
0,2,0,0,0.5,27.25,0
0,2,0,0,0.339286,63.571429,0
0,2,0,0,0.6,5.5,0
0,2,0,0,0.119485,0,0
0,0.4375,1,2,0.45,21.2,1
0,0.55,0.5,1,0.409091,10.363636,0
2,0.5,1,0,0.666667,9,0
0,2,0,0,0.333333,46,1
2,0.2,1,0,0.4,14.5,0
0,2,0,0,0.416667,2.875,0
0,2,0,0,1,2.333333,0
0,2,0,0,1,0,0
0,0.333333,1,1,0.4375,22.75,0
0,2,0,0,0.555556,5.333333,0
0,0.5,1,1,0.555556,10,0
0,2,0,0,0.75,6.5,0
0,2,0,0,0.444444,12.666667,0
0,0.68254,0.333333,2,0.365079,20.363636,0
0,0.409091,1,1,0.291667,18,1
0,0.846429,1,4,0.237069,12.241379,0
0,2,0,0,1,0,0
0,2,0,0,0.583333,12.333333,0
1,0.666667,1,0,0.666667,21.25,1
0,0.5,0,0,1,198.333333,0
0,2,0,0,0.75,2,0
0,0.333333,1,0,0.45,36,0
0,0.5,0,1,0.555556,7.333333,0
1,2,0,0,0.314815,2.111111,0
0,0.166667,1,3,0.444444,86,0
0,2,0,0,0,119,0
0,2,0,0,0.6,20.5,1
0,1,0,3,0.388889,58.666667,0
0,2,0,0,0.666667,55.333333,0
0,0.555556,0,1,0.28,7.5,1
0,0,0.75,3,0.444444,54.666667,0
