@relation 'bugzilla-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R1-3,12-14'

@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute bug {1,0}

@data
0.57938,0.09362,0,480.666667,1,14,596,0.666667,1
0,0,0,398,1,1,0,1,1
0.739279,0.183477,0.208913,283.519231,0,23,15836,0.75,0
0.685328,0.016039,0.01288,514.375,1,21,1281,1,0
0.769776,0.091829,0.072746,366.815789,1,21,6565,0.763158,0
0.760777,0.018308,0.017666,583.75,1,20,2098,0.75,0
0.81616,0.095682,0.041833,403.484848,0,21,6840,0.727273,0
0.81616,0.095682,0.041833,403.484848,1,21,6840,0.727273,0
0.650242,0.086558,0.070774,218.222222,0,19,2117,0.555556,0
0.795895,0.080952,0.02381,393.75,1,27,794,0.875,1
0.873908,0.079208,0.007921,168.333333,1,9,39,0.333333,1
0.761024,0.013782,0.006615,544.2,1,26,172,0.6,1
0.995305,0.000062,0.003964,256.253968,1,26,3520,0.603175,0
0.770097,0.115809,0.045956,181.333333,1,6,42,0.333333,1
0.800418,0.028489,0.02012,288.512195,0,22,10034,0.731707,0
0.800379,0.009292,0.005616,466.333333,0,20,2739,0.714286,0
0.614774,0.508086,0.507637,185.5,0,23,3724,0.5,0
0.815715,0.058697,0.034379,379.454545,0,22,4898,0.863636,0
0.914054,0.018813,0.006773,244.789474,0,21,9020,0.763158,0
0,0.025641,0.025641,39,1,6,86,1,0
1,0.003236,0.003236,309,1,15,256,0.5,1
0.803756,0.006195,0.004318,761,1,27,134,0.571429,1
0.825011,0.007243,0.002414,621.25,1,25,36,0.5,1
0.946395,0.008721,0.002907,229.333333,1,14,39,0.666667,1
1,0.010381,0.010381,289,1,13,78,0.5,1
0.552053,0.124817,0.088268,608,1,25,130,0.555556,1
0.662682,0.007537,0.026823,644.428571,0,24,24,0.857143,1
0.780369,0.043266,0.010933,614.142857,1,22,171,0.857143,1
0.907421,0.019177,0.007476,242.894737,1,21,3580,0.842105,1
0.725406,0.033937,0.029148,480.3,1,19,729,0.8,1
1,0.518987,0.03481,316,1,2,12,0.5,1
1,0.008929,0.008929,224,0,1,18,0.5,0
0.01406,0.303448,0.278818,203,1,1,42,0.6,1
1,0.027429,0.034286,875,1,2,42,0.5,0
1,0.005695,0.004556,878,1,2,42,0.5,0
1,0.165173,0.021767,781,0,2,38,0.5,0
1,0.123311,0.069257,592,0,2,30,0.5,0
1,0.090435,0.111304,575,1,2,28,0.5,0
1,0.164948,0.084192,582,0,2,28,0.5,0
1,0.508993,0.05036,556,0,2,16,0.5,0
1,0.432099,0.096296,405,0,2,14,0.5,0
0.844056,0.031333,0.016684,446.818182,1,19,1216,0.727273,0
0.796343,0.042985,0.098318,359.944444,0,21,7435,0.694444,0
0.815988,0.08832,0.031668,418.933333,1,20,4763,0.7,0
0.759073,0.072615,0.091664,349.1,0,21,7152,0.75,0
1,0.003155,0.003155,317,1,15,1080,0.5,0
0.837283,0.027546,0.035365,625.222222,0,24,430,0.777778,0
0.622924,0.015772,0.015772,782,0,25,514,0.833333,0
0.525721,0.017523,0.010952,494.583333,0,26,1733,0.75,0
0.477016,0.09063,0.08679,260.4,0,21,660,0.6,0
1,0.003145,0.003145,318,0,12,226,0.5,0
0.846878,0.019409,0.021442,541,1,25,699,0.9,0
0.829655,21,13495,0,0,32,1507,0.809524,0
0,0.017182,0.010309,291,0,14,56,1,0
0.787306,0.039246,0.017268,273,1,39,265,1,0
0.353359,0.023622,0.005906,254,1,13,16,1,0
0.743869,0.043333,0.004667,300,1,36,88,1,1
0.660086,0.221402,0.134686,180.666667,1,18,32,1,0
0,0.003774,0.003774,265,1,13,8,1,0
0.88686,0.004075,0.004075,654.333333,1,36,4,1,0
0,0.054945,0.003663,273,1,13,2,1,1
0,0.181132,0.2,265,1,13,9,1,1
0,0.003663,0.003663,273,1,13,6,1,0
0,0.011858,0,253,1,12,4,1,0
0,0.008333,0.008333,240,1,11,32,1,0
0,0.029167,0.004167,240,1,10,7,1,1
0.859661,0.006858,0.006858,267.333333,1,23,346,1,0
0.560202,0.087892,0.004917,650.8,1,35,176,1,1
0,0,0.004902,204,1,8,6,1,0
0,0.040404,0.005051,198,1,8,13,1,0
1,0.004343,0.004343,460.5,1,11,119,1,1
0.999411,0.103806,0.017301,144.5,1,5,200,0.5,1
0.579319,0.040346,0.050432,231.333333,1,29,35,1,1
0,0.006993,0.006993,143,1,3,4,1,0
0.633142,0.082759,0.05355,336.136364,1,32,693,0.409091,1
0.938315,0.090517,0.043103,116,1,3,13,1,1
0.656705,0.013324,0.002665,500.333333,1,26,3,0.333333,1
0.393931,0.023182,0.036881,237.25,1,30,281,0.916667,1
0,0.375,0,112,1,1,25,1,1
0.628635,0.038346,0.018625,521.571429,0,28,373,1,0
0,0.004167,0.004167,240,1,13,214,1,0
0,0.004167,0.004167,240,1,13,164,1,0
0.914019,0.179054,0.087838,148,1,32,134,1,1
0.618468,0.061594,0.057971,483,1,34,486,1,1
0,0.036649,0.010471,191,1,31,79,1,1
0.74311,0.059059,0.041041,333,1,33,18,1,1
0,0,0.04955,222,1,31,7,1,0
0.942208,0.025619,0.021248,457.555556,1,39,307,0.611111,1
1,0.001403,0.001403,713,1,31,6,1,0
0.997772,0.0288,0.0288,312.5,1,32,2,0.5,1
0.896511,0.009996,0.015211,383.5,1,35,86,0.75,1
0.961237,0.020833,0.009259,216,1,29,106,1,1
