@relation 'ant-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-17,19-20'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,0,0.4,17.222222,1
0,0,0.46875,32.875,0
0,0,0.5,48.5,0
0,0,0.233333,32.133333,0
0,1,0.311111,27.333333,0
0,0,1,0,0
0,0,0.377778,23.833333,0
0,0,1,10.5,0
0,0,0.5,0,0
2,4,0.19375,45.625,0
0,0,0.342857,19,0
0,0,0.533333,0,0
0,0,0.666667,47.333333,0
0,0,1,0,0
0,0,0.47619,13.857143,0
1,0,0.666667,14.333333,0
0,0,0.555556,83.5,0
0,2,0.266667,23.2,0
0,4,0.25,39.05,0
0,0,1,0,0
0,1,0.126984,36.321429,0
0,0,0.375,19.125,0
0,0,0.625,10.25,0
0,1,0.666667,6,0
0,0,1,48,0
0,0,0.35,23,0
0,0,0.5,25.75,1
0,0,1,40,0
0,1,0.181818,66.055556,1
0,0,0.666667,0,0
0,0,0.75,2.5,0
0,0,0.666667,63,0
2,1,0.225,28.533333,0
0,0,1,0,0
0,0,1,53,0
1,0,0.207692,35.461538,0
0,0,0.75,21.75,0
0,4,0.314815,13.592593,0
0,0,0.47619,38.714286,0
0,0,1,0,0
0,0,0.5,48.8,0
0,0,0.238095,47,0
0,3,0.220779,7.272727,0
2,5,0.186508,36.571429,0
0,0,0.285714,32.666667,0
0,1,0.5,33.333333,0
0,2,0.333333,34.5,0
0,1,0.284211,17.45,0
0,0,0.583333,16,0
0,0,0.375,19.5,0
11,1,0.0875,7.333333,0
1,2,0.212963,32.333333,0
0,0,0.7,4.6,0
0,0,0.666667,4.5,0
0,0,0.666667,5,0
0,0,0.4,11.5,0
0,0,0.583333,42,0
0,0,0.666667,12.333333,0
1,0,0.533333,9.6,0
0,1,0.264706,16.352941,0
0,0,0.3,18.166667,0
0,0,0.355556,35.444444,1
0,0,0.266667,37.166667,1
0,0,0.47619,20,0
0,0,1,31.5,0
0,0,0.47619,14.714286,0
8,9,0.230159,45.105263,1
0,0,0.875,13.5,0
0,2,0.317241,18.206897,0
9,1,0.5,4.25,0
0,0,1,0,0
3,0,0.285714,19.4375,0
0,2,0.25,32.25,0
0,0,1,0,0
0,1,0.666667,6.5,0
0,0,0.533333,11.2,0
0,1,0.296296,30.444444,0
0,0,0.4,20.142857,1
0,0,0.666667,4.5,0
0,0,0.47619,16.428571,0
0,0,0.85,26.090909,0
0,0,0.722222,0,0
4,1,0.228571,13.7,0
0,8,0.25,67,0
0,1,0.375,6.3,0
0,0,0.320513,31.384615,0
0,0,0.416667,14.222222,1
0,0,0.555556,208.666667,0
10,1,0.45,5.4,0
0,0,1,26.5,0
5,0,0.114583,5.055556,0
0,0,0.3,24.166667,0
0,1,0.9,27.2,0
1,2,0.207729,27.26087,1
0,0,0.555556,65,0
0,1,0.333333,9.785714,0
0,0,0.5,25.4,0
0,1,0.257576,126.333333,0
0,0,0.266667,25.857143,0
0,0,1,15.5,0
0,0,0.108359,0,0
0,0,0.75,12.625,0
0,0,0.416667,21.166667,0
0,4,0.105495,25.56044,0
0,0,0.242188,21.3125,0
0,6,0.206349,11.125,0
0,2,0.25,58.909091,1
0,0,0.666667,0,0
0,0,0.714286,6.285714,0
0,0,1,0,0
0,0,0.5,48.666667,0
0,0,0.444444,10.166667,0
0,0,0.342857,35.714286,0
0,0,0.272109,28.809524,0
0,0,0.333333,47.75,0
0,2,0.16129,20.387097,1
0,2,0.666667,86.333333,0
26,0,0.6875,9.625,0
0,0,0.5,10.5,0
0,0,0.166667,45.875,0
4,0,0.093822,6.73913,0
0,1,0.176829,31.142857,0
0,1,0.325,37.75,0
0,0,0.75,36.75,0
0,0,0.25,43.75,0
0,0,0.232323,15.727273,0
0,0,0.285714,73.8,0
0,0,0.2,20.166667,0
0,0,0.45,35.2,0
2,0,0.5,15,0
0,0,0.294737,25.157895,0
0,0,0.666667,8,0
1,0,0.142045,49.647059,1
0,1,0.3,15.3,0
0,0,0.625,34,0
0,0,0,0,0
0,0,0,0,0
0,0,0.466667,32,0
1,2,0.166667,20.925926,1
0,0,1,4,0
0,0,0.555556,10.666667,0
0,0,0.428571,18,0
0,0,0.44,15,0
0,4,0.221154,32.153846,1
0,1,0.163399,31.647059,0
0,2,0.392857,27.142857,0
