@relation 'lucene-2.4_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.385rfc-0.382wmc-0.35loc-0.319lcom-0.316npm... numeric
@attribute -0.415ic-0.411mfa-0.397dit-0.367cbm+0.326ca... numeric
@attribute -0.437avg_cc-0.431amc-0.372max_cc+0.257ca+0.253cbo... numeric
@attribute 0.452dam-0.407lcom3+0.377noc+0.298ca-0.246lcom... numeric
@attribute 0.446max_cc+0.429avg_cc+0.355lcom3-0.329dam+0.304ca... numeric
@attribute 0.481moa+0.446ce-0.369npm+0.355cbo-0.225lcom... numeric
@attribute '0.495noc+0.411cam+0.322dit+0.32 dam-0.306cbm...' numeric
@attribute -0.52amc+0.409noc+0.321max_cc+0.293moa-0.276ca... numeric
@attribute -0.548amc-0.472noc-0.329cbm-0.327lcom3+0.252max_cc... numeric
@attribute -0.706cam-0.361cbm+0.273noc+0.248dit-0.215dam... numeric
@attribute 0.566dam+0.544lcom3-0.351ic+0.292ce-0.217moa... numeric
@attribute -0.653ic+0.459cbm+0.325npm-0.275lcom3-0.25dam... numeric
@attribute bug {1,0}

@data
-0.508119,0.470318,-0.0466,-1.226719,-0.638632,2.876193,-0.038426,0.386055,0.890088,0.17852,-0.453126,0.541048,1
-0.912767,-3.288745,1.359513,0.286486,0.62029,0.296437,-0.854493,0.170231,-0.688562,-0.39325,-0.04382,0.044611,1
-0.224829,0.354822,-1.333917,0.951629,-1.341357,-1.073962,0.006025,-0.139952,0.443485,0.083442,0.572936,0.069414,0
1.871303,-2.740545,1.791886,-1.461096,1.973882,0.169504,-0.073636,-0.0321,-0.287938,0.527663,-0.153722,-0.92545,0
-3.26185,-2.696353,2.12053,0.194247,-0.257352,1.338654,-0.708485,1.768041,-1.581465,-0.941488,0.126702,0.135348,1
1.799886,2.468498,0.396426,-0.34264,0.615277,-0.057737,-0.049117,0.909266,-0.777435,0.243046,0.189816,-0.276677,0
-1.046967,0.963713,-1.254852,-0.395814,-1.185242,0.811903,-0.680604,-0.070621,-0.486397,0.366398,0.049934,-0.224433,1
-0.561891,-1.285849,0.284927,0.336837,-0.76567,-0.350399,-0.430154,0.015033,0.02082,0.577945,0.20378,-0.304614,1
-0.743084,0.710585,-0.479437,0.505021,-1.845814,-0.538589,-0.443017,0.137485,0.455573,0.588814,0.876903,-0.02782,0
0.599131,2.859999,0.914277,0.214688,1.11665,0.347819,-1.827943,-0.736084,0.281923,0.392972,0.52184,-0.258978,0
1.124462,0.764695,-1.675782,0.184745,-0.752539,-0.351567,-0.097698,-0.312254,0.315055,-0.446888,-1.136714,0.565772,0
0.684235,-1.677821,0.821133,-0.201562,-0.123878,-0.376253,-0.876952,0.176701,0.028222,0.390046,-1.262125,1.014553,0
1.759139,1.733099,-0.19487,-0.892067,0.013736,-0.39435,-0.799199,0.690299,-0.479715,0.760367,0.414021,-0.346397,0
1.563462,2.072109,0.101255,-0.484733,0.277376,-0.157929,-0.636529,0.733894,-0.670209,0.837635,0.324345,-0.352288,0
0.183859,0.088553,-0.008131,-0.945682,-0.747998,1.190483,-0.107574,-0.13745,0.54424,0.827233,-0.417397,0.667922,1
0.763212,-1.317547,0.048106,0.701826,-1.008704,-0.648632,0.785116,-0.038735,0.944405,-0.667622,-0.348135,-0.205743,1
1.39505,1.468388,-0.732337,-0.992009,-0.842705,0.452714,-0.040063,0.267539,0.211857,-1.055146,-0.789171,0.314645,1
-3.040466,-2.020087,1.526269,1.520656,0.676679,-0.877475,-1.759047,0.469459,-0.159589,-0.357031,0.677932,-0.178303,1
2.425316,-1.623542,1.313688,-1.904281,1.640529,0.133722,0.837822,-0.407877,0.207226,0.57732,0.193881,-0.416792,1
1.492541,1.30748,-0.602818,0.184297,-0.862227,-0.350032,-0.367883,-0.460377,0.493091,-0.40774,-1.334929,0.498766,0
-1.804649,3.972595,2.823361,3.918094,2.948323,2.352318,-2.742852,-2.914856,1.739162,-1.833141,-1.611371,-0.344907,1
0.874852,0.880843,-0.745687,1.189851,-1.822104,-0.180396,1.260557,0.21603,0.040704,-1.055328,-0.194294,0.111444,0
-0.435162,-1.900021,0.956463,1.668625,-0.334424,0.325976,-0.496342,-0.215754,0.713274,-0.258744,-0.484307,-1.067878,1
0.797552,-1.493754,0.841577,0.502588,-0.095063,-0.243915,0.909947,-0.185284,-0.568956,0.548223,-0.013653,-0.304161,1
2.19982,1.171241,3.02071,-1.10384,2.861521,1.637029,1.388346,-2.182902,1.170819,-1.112997,0.496659,0.242632,0
-0.640935,-2.526977,0.656492,0.531134,-0.417782,-0.077586,-0.031924,-0.205083,-0.71216,-0.510549,0.636877,0.48263,0
1.434636,2.178435,0.132869,-0.569447,-0.005821,0.278456,-0.251512,0.161847,0.838031,-1.316261,-0.609523,0.269448,0
0.391625,0.624117,-0.977248,0.563325,-1.635672,-0.427314,0.009762,0.336235,0.631274,-0.100206,0.545066,-0.150879,1
1.581378,2.159409,0.217358,-0.503367,0.342855,-0.120152,-0.5607,0.701296,-0.61516,0.605902,0.366406,-0.267617,0
-2.119005,4.035279,2.385853,2.752918,1.359272,1.171991,-0.805612,-1.379281,0.576855,-0.248262,-0.013001,0.210686,1
-1.310395,0.593801,-0.139088,-0.236831,-0.353457,-0.377691,0.509802,-0.441484,-0.682883,1.18428,0.052014,0.497355,1
1.353579,1.89789,0.37581,1.860033,-0.677308,-0.802558,1.924751,1.111104,-0.113988,-0.713573,-0.136499,0.152255,1
1.393108,-1.667945,0.913533,-0.791865,0.311672,0.182449,0.037213,-0.547266,-0.033216,0.546043,-0.763504,0.18536,0
1.757276,-1.074421,1.401565,-1.651692,1.239162,-0.400642,-0.154484,0.215125,-0.306573,-0.097213,0.286807,0.037221,1
-0.04936,0.155892,-1.117601,-0.778457,-0.239501,1.322735,-0.267796,0.216325,0.505319,0.835848,-0.453552,0.389642,0
2.105192,0.645942,0.379259,-1.753266,0.549681,-0.145807,0.183296,-0.010358,0.076919,0.259553,0.629783,0.111579,0
2.510861,0.803614,1.337289,-2.045046,1.164959,0.672676,1.143875,-0.523363,0.398931,-1.083964,0.360516,0.385394,0
-0.944475,0.767215,-0.93485,0.615196,-1.779196,0.438181,0.222543,-0.215004,-0.619614,-0.155459,0.85709,-0.192812,1
-1.552607,2.043034,-0.139729,1.501454,0.47394,-0.018101,-0.562202,-0.858442,1.105903,-0.706907,0.516007,0.183987,0
1.412544,1.774019,-0.040199,-1.21489,0.254095,-1.452117,-0.837083,0.367688,0.115423,0.346148,0.398212,0.15875,1
1.323603,1.27151,-0.842856,-0.518502,-0.849944,-0.039578,-0.41756,0.14651,0.308886,-0.227015,-0.96712,0.281232,0
-0.113323,-2.814127,-0.630896,0.262736,0.216157,1.214668,1.533512,-1.635202,-0.283833,0.170534,0.341261,-0.600127,1
-1.986255,2.253568,0.393238,0.676828,0.518526,-0.266549,-1.306611,-1.250613,0.391462,0.353039,0.111419,0.298305,1
2.302538,2.720882,0.446834,-0.94021,1.158521,-0.177836,-0.265561,0.062378,0.430359,-1.681534,0.320882,-0.22655,0
