@relation 'jedit-4.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-17,19-20'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,0,0.333333,20.333333,0
0,2,0.5,45.416667,1
0,2,0.174603,50.571429,1
0,0,0.625,41.5,0
0,0,0.5,64,1
0,0,0.75,7,0
0,0,0.75,102,0
0,0,0.5,16.875,1
0,0,0.52381,0,0
0,1,0.5,13.5,0
0,1,0.371429,47.285714,1
0,0,0.4,103.8,0
0,0,0.466667,37.6,1
0,13,0.080909,29.313333,1
0,1,0.589744,68.071429,1
0,0,0.30303,47.818182,1
0,0,1,118.666667,1
0,0,0.75,0,0
0,10,0.076316,35.483871,1
0,0,0.666667,24.5,0
1,1,0.5,7.75,0
0,0,0.363636,49.090909,0
0,0,0.625,24,0
0,0,0.333333,16.666667,1
3,1,0.583333,6.833333,1
0,1,0.5,35.285714,0
0,0,0.666667,35.333333,0
0,5,0.210526,44.128205,1
0,1,0.444444,27.333333,0
0,17,0.40625,34.555556,0
0,0,0.6,18.4,0
0,3,0.251701,80.857143,1
0,0,1,9,0
0,1,0.416667,12,0
0,3,0.254464,42.107143,1
0,0,0.5,18.444444,0
0,9,0.083102,25.368421,1
4,0,0.26129,14.40625,0
0,0,1,4.875,0
0,0,0.8,1.4,0
0,0,0.466667,5.666667,0
0,0,0.357143,18.25,0
0,0,0.363636,34,0
0,1,0.138067,42.483051,0
0,3,0.108571,12.807692,1
0,3,0.285714,59.428571,1
0,0,0.833333,0,0
0,0,1,4,0
0,1,0.305556,22,1
0,0,0.625,17,0
0,0,0.444444,8.833333,0
0,3,0.203008,30.789474,1
0,0,0.4,25.5,0
0,3,0.338462,19.230769,1
0,0,0.366667,29.8,0
0,0,0.342857,38.833333,0
0,0,0.35,13.583333,0
0,0,0.239583,78.166667,1
0,1,1,95.333333,0
0,0,0.6,51.2,0
0,0,0.178571,31.538462,0
3,1,0.577778,9.133333,1
0,1,0.35,21.2,0
0,0,0.386364,15.636364,0
0,0,0.5,28.727273,0
0,0,0.625,9.5,0
0,0,0.52,16.6,0
0,0,0.466667,5.4,0
0,0,0.611111,45,0
0,0,0.104575,40.055556,1
0,0,0.75,3.5,0
0,5,0.264706,63.058824,1
0,0,0.75,10,0
0,2,0.625,8,1
2,0,0.52381,18.857143,0
0,2,0.2875,149.3,1
0,0,0.40625,21.25,0
2,0,0.386364,6.818182,1
0,3,0.625,14.5,1
0,4,0.103009,18.518519,1
0,0,0.533333,25.333333,0
0,1,0.5,21.333333,0
0,1,0.16,20.363636,0
0,0,0.323529,38.352941,1
0,1,1,73,1
