@relation 'log4j-1.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,16,18-20'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute bug {1,0}

@data
0,2,0,0,0.357143,3,0
0,2,0,0,0.5,0,0
0,0.142857,1,0,0.40625,0,0
1,0.936508,0.555556,0,0.333333,0,0
5,1,0,0,0.407407,0,0
0,0.994135,0.064516,2,0.366667,4,1
0,2,0,0,0.75,0,0
0,0.875,0,1,0.333333,0,0
0,0,0,2,0.666667,0,0
0,2,0,0,0.333333,0,0
0,0.866667,0,0,0.458333,0,1
0,0.795918,0.571429,0,0.40625,1,0
0,0.833333,0,1,0.333333,0,0
0,2,0,0,0.666667,0,0
2,1.051282,0,0,0.134615,0,1
0,0.733333,0,2,0.416667,0,0
0,0.7,0,0,0.277778,0,0
0,0.75,0,0,0.625,0,0
0,0.875,0,1,0.175,0,0
0,2,0,0,0.5,0,0
0,0.75,1,1,0.75,0,0
1,0.729167,0.5,0,0.247863,10,1
9,0.909722,0.875,5,0.210526,0,0
0,0.75,0,1,0.277778,0,0
0,0.666667,0,0,0.090909,0,1
2,0,1,1,0.5,2,0
0,0.777778,0,0,0.5,1,0
0,0.666667,0,0,0.333333,0,0
2,0.811966,0,5,0.333333,0,1
1,0,1,1,0.4,1,0
0,0.9,0.2,0,0.466667,0,1
0,1,0.75,0,0.333333,0,1
0,0.571429,0,1,0.416667,0,0
0,0.894231,0.076923,2,0.232143,0,1
0,2,0,0,0.333333,0,1
0,0.85,0,2,0.3,2,0
0,0,0,0,0.555556,0,0
0,0.92,0.8,0,0.444444,1,1
0,2,0,0,0.833333,6,0
0,0.75,0,1,0.25,0,1
2,0.649123,0.666667,2,0.2375,3,1
0,0.666667,0,0,0.5,2,0
0,0.885965,0.105263,2,0.233083,3,0
0,0.833333,0,1,0.2,0,0
0,0.933333,0.6,0,0.325,1,1
0,0.25,0,0,0.25,0,0
0,2,0,0,0.75,0,0
0,0.75,0.5,0,0.45,2,0
3,0.828947,0.473684,5,0.150641,0,1
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,2,0,0,0.46875,2,0
0,0.911111,0.2,1,0.555556,3,0
0,2,0,0,0.259259,0,1
0,1,0,2,0.555556,1,0
0,0.666667,0,1,0.375,0,0
0,0.871795,1,0,0.384615,1,1
0,0,0,2,0.666667,0,0
0,2,0,0,0.75,1,0
1,2,0,0,1,0,0
0,0.939815,0,2,0.346154,3,1
0,0.666667,0,1,0.277778,0,0
0,0.916667,0,0,0.5,0,0
0,0.208333,0,0,0.333333,0,0
5,0.72,0,1,0.44,0,0
0,0.939815,0.25,1,0.25731,1,1
0,2,0,0,0.666667,0,0
0,2,0,0,0.5,0,0
0,0.911111,0.2,1,0.777778,4,1
0,0.833333,0,1,0.333333,0,0
0,0.083333,0,1,0.297619,0,0
0,0.75,0,2,0.238095,0,0
0,0.833333,0,0,0.3125,0,0
0,0.697917,0,4,0.15,0,0
0,1.013605,0,0,0.21645,1,1
0,0.8,0,0,0.444444,0,0
3,1.25,0,1,0.466667,0,1
0,0,0,0,1,0,0
0,0.846154,0.153846,1,0.244898,3,1
2,1.333333,0,0,0.357143,3,0
0,0.833333,0,1,0.277778,0,0
0,2,0,0,1,0,0
0,0.666667,0,1,0.333333,0,0
0,0.333333,1,0,0.4,2,0
0,0.5,0,1,0.25,0,0
0,0.761905,0,0,0.361111,3,0
0,2,0,0,1,0,0
0,2,0,0,1,0,0
0,0.666667,0,3,0.257143,0,1
0,0.956044,0.461538,3,0.375,0,1
0,2,0,0,1,0,0
0,2,0,0,0.75,0,0
0,0.822917,0,1,0.21875,0,0
0,0.5,0,0,0.36,7,0
0,2,0,0,0.555556,0,0
0,2,0,0,0.75,0,0
0,0.875,0,0,0.3,0,0
0,1.066667,0,1,0.625,4,0
0,0.375,0,3,0.4,0,0
0,0.566667,0,1,0.333333,0,1
0,2,0,0,0.266667,0,0
0,0.25,0,1,0.666667,0,0
0,0.861111,0,0,0.183333,0,1
0,0.333333,0,0,0.333333,0,0
0,0.875,0,3,0.3,0,0
0,0.375,0,1,0.4375,0,0
0,2,0,0,0.666667,0,0
0,0.366667,0,1,0.52381,0,1
0,2,0,0,0.75,0,0
0,0.5,0,0,0.5,2,0
0,0,0,1,0.583333,0,0
0,0.863636,0,3,0.375,3,1
0,0.333333,0,0,0.357143,3,0
0,0.666667,0,0,0.333333,0,0
0,2,0,0,0.75,0,0
0,0.666667,0,1,0.333333,0,0
0,0.611111,0,1,0.277778,0,0
0,0.625,0,1,0.277778,0,0
0,0.916667,0.25,1,0.555556,0,0
0,2,0,0,0,0,0
0,0.5,1,0,0.444444,3,0
0,0.916667,0,1,0.5,0,1
0,0.9375,0.625,1,0.518519,0,1
2,0.625,0.333333,0,0.466667,1,1
0,0.942857,0,7,0.285714,0,0
0,0.704545,0.25,3,0.272727,0,1
0,1,0,0,0.5,1,0
0,0.666667,0,1,0.277778,0,0
0,2,0,0,1,0,0
0,0.714286,0,1,0.214286,0,1
0,2,0,0,1,0,0
0,0,0,1,0.666667,0,0
0,0.25,0,1,0.533333,1,0
0,0.666667,0,1,0.277778,0,0
0,2,0,0,0.75,1,0
