@relation log4j-1.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6

@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,53,1,9,0.876923,0.4,1,0.79661,0.442308,1,3,12.071429,1.6429,1
0,19,0,6,0.911111,0.555556,0,0.444444,0.30303,0,0,16.272727,2,1
0,14,0,7,0.75,0,2,0,0.238095,0,0,37,1.5,0
0,0,1,1,0,1,0,0.919355,0.375,0,0,9.833333,1,0
0,8,0,4,0.697917,0,4,0,0.15,0,0,38.076923,2.7692,1
0,8,0,1,0.875,0,1,0,0.333333,0,0,7.6,0.6,0
0,0,0,0,0,0,0,0.975207,0.583333,0,0,39,1.25,0
0,10,2,2,1.25,0,1,0,0.466667,0,0,0.8,0.8,0
0,0,8,1,0,0,0,0,1,0,0,14.333333,0.6667,0
0,0,3,1,2,0,0,0,1,0,0,0,1,1
0,1,1,1,2,0,0,0,0.75,0,0,3,0.5,0
0,8,0,4,0.822917,0,1,0.897059,0.21875,0,0,32.555556,2,0
0,2,1,0,0.777778,0,0,0,0.5,1,1,13.5,2,0
0,141,1,7,0.864198,0.888889,0,0.6,0.355556,1,1,10.578947,0.9474,1
0,22,0,6,0.942857,0,7,0,0.285714,0,0,38.25,2,1
0,15,0,3,1,0,0,0.818182,0.5,1,1,4.333333,0.8333,0
0,17,0,2,0.666667,0,1,0,0.277778,0,0,11.571429,1,0
0,24,0,5,0.714286,0,1,0,0.214286,0,0,39.75,1.125,1
0,0,1,1,2,0,0,1,1,0,0,6,0,0
0,135,14,15,0.936275,0.25,1,0.413793,0.277778,1,1,38,2.5,1
0,6,0,3,0.666667,0,0,0,0.333333,0,0,16,1.25,0
0,15,31,0,0.792308,0,5,0,0.35,0,0,13.636364,2,1
0,1,13,1,2,0,0,0,0.75,0,0,0,1,0
0,0,7,2,0.88,0.2,0,0,0.466667,0,0,45,3,0
0,0,2,1,0.555556,0,1,0,0.466667,0,0,22.8,2.1,0
0,77,35,8,0.898496,0.421053,4,0,0.196429,0,0,18,1.4,1
0,4,1,1,0.666667,0,0,0,0.555556,0,0,33.5,1.25,1
0,39,1,6,0.644444,1,0,0,0.314286,0,0,31.3,2.8,0
0,4,0,0,0.333333,0,0,0,0.333333,0,0,27.25,1.5,0
0,10,3,2,0.375,0,1,0,0.4375,0,0,12.111111,1.6667,0
0,1,0,7,2,0,0,0,0.666667,0,0,6.5,0.5,1
0,0,1,1,0.333333,0,1,0,0.52381,0,0,33.428571,2.7143,0
0,1,2,2,2,0,0,0,0.75,0,0,4,0.5,0
0,23,0,2,0.833333,0,1,0.884058,0.2,0,0,28.1,1.7,0
0,34,1,10,0.883333,0,3,0.545455,0.25,2,3,18.5,1.4375,1
0,4,2,1,0.333333,0,0,0.953488,0.357143,1,3,18.75,0.75,0
