@relation 'columba-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R2-3,12-13'

@attribute ns numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
1,0.954434,0.102564,0.102564,39,0,1,53,1,1188,0
1,0.693298,0.333333,0.091503,102,0,6,24,1,70,0
1,0,0.097345,0.044248,113,1,3,41,1,2396,0
1,0.894836,0.035484,0.034409,232.5,0,8,97,1,15716,0
1,0,0.103234,0.004975,804,0,4,8,1,1774,1
1,0.420504,0.154762,0.071429,14,0,5,411,0.833333,1715,1
1,0.185125,0.370588,0.047059,85,0,2,125,1,11409,1
1,0.109606,1.243478,1.147826,57.5,0,6,60,1,10255,1
1,0.596058,0.157324,0.245931,46.083333,0,5,856,0.75,6647,0
1,0,0.076923,0,91,0,4,7,1,5751,0
1,0,0.595745,0.351064,188,0,6,128,1,13758,1
1,0.922311,0.125604,0.004831,69,1,5,389,1,13757,0
1,0.811278,0.004751,0.014252,210.5,1,7,142,1,13754,0
1,1,0.011173,0.011173,89.5,1,4,6,1,11154,0
1,0,0.047619,0.047619,21,0,3,47,1,10691,0
1,0,0.047619,0.047619,21,0,3,19,1,10524,0
1,0,0.047619,0.047619,21,0,3,1,1,10329,0
1,0,0.052632,0.052632,19,0,3,9,1,8669,0
1,0,0.037037,0.037037,27,0,3,9,1,6605,0
1,0,0.037037,0.037037,27,0,3,23,1,4891,0
1,0.725304,0.065445,0.045375,229.2,1,8,108,1,2216,0
1,0.721928,0.091743,0.091743,54.5,1,2,304,0.5,13752,0
1,0,0.006135,0,163,0,6,0,1,1743,0
1,0.988109,0.008863,0.008863,123.090909,1,6,598,0.636364,12209,0
1,0.189427,0.180812,0.031365,180.666667,0,6,206,1,1621,0
1,0,0,0,0,0,6,141,1,10250,0
2,0.923853,2.26442,2.2654,116.342105,0,8,479,0.114035,1211,1
1,0,0.735849,0.207547,53,1,2,17,1,1,0
2,0.521998,0.519704,1.812808,31.230769,1,2,338,0.384615,14,0
3,0.895134,0.360374,0.118565,128.2,1,2,85,0.8,17,0
3,0,0,0,62.884615,0,1,0,0.009615,215,0
1,0,0,0,2,0,1,0,1,1,0
3,0,0,0,64.875,0,1,0,0.125,684,0
1,0,0.323529,5.411765,34,0,1,0,1,126,0
2,0.260863,0.263374,0.016461,121.5,1,1,0,1,520,0
4,0,0,0,62.2,0,1,0,0.2,833,1
1,0,0.018868,0.018868,53,1,1,0,1,111,0
2,0,0,0,27.666667,0,1,0,0.333333,783,0
3,0.561975,0.021505,0.111111,39.857143,0,1,0,0.571429,671,0
2,0,0,0,77.4,0,1,0,0.2,1065,1
6,0,0,0,12.862745,0,1,0,0.009804,473,1
1,0,0.041667,0.041667,96,0,1,0,1,471,0
1,0,0,0,44,0,1,0,1,395,0
2,0,0,0,25,0,1,0,0.5,587,0
1,0,0.060686,0.002639,379,0,1,0,1,471,0
1,0,0.079365,0.079365,126,0,1,0,1,471,0
1,0.088232,1.416667,1.255952,168,1,2,34,1,3,0
1,0,0.12,0.14,50,1,1,5,1,400,0
1,0,0.420561,0.196262,107,0,1,0,1,417,0
2,0,0,0,43.748252,0,1,0,0.006993,286,0
3,0.74748,0.302469,0.195473,46.285714,0,1,82,0.333333,1087,0
1,0.561838,0.09375,0.041667,32,0,1,64,0.666667,458,0
