@relation 'openintents2703_golden-weka.filters.unsupervised.attribute.Remove-R1-2,14,17,26,33-34,39-42,47,54-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R9-20,34-35-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.236CountStmtExe-0.236SumCyclomatic-0.235CountLineCodeExe-0.235SumCyclomaticStrict-0.235SumCyclomaticModified... numeric
@attribute '0.364AvgLineBlank+0.335AvgLine+0.316AvgCyclomaticModified+0.31 AvgCyclomatic+0.307AvgLineCode...' numeric
@attribute 0.414MaxCyclomaticStrict+0.374MaxCyclomatic-0.317AvgLine-0.307AvgLineBlank+0.299MaxCyclomaticModified... numeric
@attribute -0.761RatioCommentToCode-0.514CountLineComment-0.285AvgLineComment+0.159AvgEssential-0.116AvgLineBlank... numeric
@attribute -0.758AvgLineComment-0.362AvgEssential+0.345AvgLineBlank+0.162AvgCyclomaticModified+0.151AvgCyclomatic... numeric
@attribute 0.779AvgEssential-0.42AvgLineComment+0.233CountLineComment-0.209AvgCyclomaticStrict+0.137SumEssential... numeric
@attribute isDefective {TRUE,FALSE}

@data
-0.735628,3.875668,1.861351,0.214561,0.633615,-0.702015,FALSE
-5.533332,-3.008884,-0.221167,1.269036,0.043737,-0.470937,TRUE
1.428145,3.082762,-0.167334,-0.922901,-2.086482,-1.791216,FALSE
-2.780674,-1.190962,-0.357678,0.388182,0.502666,0.017715,TRUE
-2.864766,-0.437848,0.402082,0.345402,0.366478,-0.001864,TRUE
-4.590904,3.475352,-0.675235,0.426155,0.451745,1.184505,TRUE
-7.152769,-4.336997,-1.821863,-0.39548,0.480906,0.19346,TRUE
-0.610817,3.527467,-1.754721,0.010348,2.004909,0.507046,TRUE
-5.378573,2.564413,0.509009,-0.384166,-0.627133,1.143885,TRUE
-3.776765,-2.312383,-0.833293,0.557742,0.39727,-0.00375,TRUE
1.12263,0.544707,-0.578363,0.05413,-0.524398,-0.162137,TRUE
-2.180405,0.082861,0.306438,0.662123,0.632811,-0.183744,FALSE
-0.724853,0.473303,0.195565,0.721722,0.604944,-0.077014,TRUE
-3.583556,-0.028776,2.912398,-0.64659,-0.321955,0.305878,FALSE
-0.22556,-0.25689,1.515596,-1.018094,-0.769325,0.425351,FALSE
3.17212,-0.717423,0.139144,0.936438,-0.194844,0.345563,TRUE
3.793181,-1.972133,-0.007824,0.222444,0.377568,-0.956261,TRUE
0.572538,0.579438,-1.001136,-0.330276,-0.392637,-0.02955,FALSE
3.492645,-0.941604,0.701692,-2.197682,-0.325465,0.797379,FALSE
2.936086,0.039324,-0.189809,0.717167,0.038131,0.551872,FALSE
3.505876,-0.493893,0.300163,0.894264,-0.229678,0.443783,FALSE
-1.20697,0.491378,0.249431,1.261838,-0.678431,1.842172,FALSE
3.302037,-0.601998,0.271515,0.916206,-0.244881,0.45625,FALSE
2.17345,-0.205726,-0.470519,-0.064733,0.170068,0.813814,FALSE
2.140333,-0.130097,-0.678133,-0.101691,-0.783806,0.149631,FALSE
2.138208,1.085612,-0.448713,0.563652,0.676275,0.410383,FALSE
-2.471693,2.60202,2.335549,-0.078149,-2.990429,0.529027,FALSE
4.279168,-2.269482,0.748777,-2.770084,0.802625,-0.297008,FALSE
-7.005697,0.210179,-0.183872,-0.740893,-0.306366,-1.250874,TRUE
4.288237,-1.609784,0.112561,0.631331,0.288284,-1.010272,FALSE
3.424896,-0.459808,0.235258,0.891456,-0.218697,0.456745,FALSE
4.300734,-1.686881,0.197767,0.19984,0.358758,-0.923537,FALSE
4.243059,-1.687244,0.144444,0.363678,0.335473,-0.959365,FALSE
-13.072758,-1.067782,-0.865248,-1.938383,-0.06126,1.172315,TRUE
1.925824,0.600796,-0.148345,0.07881,0.384455,0.563937,FALSE
3.357812,-0.44538,0.227741,-0.106708,-0.024616,0.69257,FALSE
2.636501,0.229413,0.292824,0.407783,0.133359,0.393661,FALSE
4.235282,-1.644814,0.087383,0.637408,0.29387,-1.024889,FALSE
-12.812473,-3.911642,0.748075,0.661713,-0.64406,-1.11143,TRUE
1.80333,0.169632,0.196062,0.728014,0.206435,0.255183,TRUE
0.111229,-0.297139,-1.590289,0.004882,-0.571087,0.017995,FALSE
2.976383,-0.039408,-0.165942,0.407812,-0.489637,0.292072,FALSE
2.757202,-0.171772,-0.140324,0.522745,0.045059,0.588188,FALSE
4.034486,-1.842783,0.091366,0.19446,0.369338,-0.941014,FALSE
3.64082,-3.030173,1.055817,-5.410545,1.001471,0.486095,TRUE
-6.255235,-0.782664,-1.854366,0.362025,0.921593,-0.802914,TRUE
-1.488846,1.677862,1.292869,-0.080347,-0.455714,-0.753751,TRUE
0.771181,-0.207754,-0.567641,0.451264,-0.103757,-0.057456,TRUE
2.409782,-0.091162,-0.466065,0.606192,0.24113,0.576,FALSE
0.054822,0.308235,0.204463,0.655514,0.491115,0.042695,TRUE
3.024692,-0.761886,0.188851,0.941596,-0.238649,0.43351,TRUE
1.825569,3.11347,-3.7978,-1.497437,-2.868198,-1.246472,FALSE
-0.821902,6.981865,-1.64023,-1.088562,2.429771,-0.525386,FALSE
0.362123,-1.57931,0.421133,1.223992,-0.465693,0.209231,FALSE
-3.616152,3.939318,3.74617,0.289921,1.350541,-1.330327,FALSE
2.649949,0.567409,-1.065584,-0.649126,-0.417205,0.315273,FALSE
