@relation poi-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R11

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,128,1,5,23,0.948864,429,0.363636,3,0.352,1,6,15.28,0.92,1
2,0,138,1,4,20,0.84689,336,0.909091,7,0.225,1,2,15.25,0.9,1
2,0,235,2,6,21,0.924242,379,0.444444,0,0.289855,1,5,15.086957,1.4783,1
2,0,159,2,3,18,0.702381,325,0.75,0,0.266234,2,6,13.590909,1.4545,1
4,0,6,2,1,4,2,20,0,0,0.666667,0,0,4,0,1
1,0,9,2,4,7,0.833333,173,1,5,0.571429,0,0,22.857143,1,1
2,0,37,2,3,14,0.833333,151,0.833333,2,0.375,1,2,9.357143,0.8571,0
2,0,49,2,3,9,0.933333,107,0.333333,0,0.522727,1,6,8.454545,0.8182,0
2,0,43,1,4,9,0.85,117,0.5,0,0.522727,1,6,9.454545,0.8182,1
1,0,0,0,10,4,0,492,1,2,0.5625,0,0,121,2,1
3,0,120,1,3,16,2,105,0,0,0.53125,0,0,5.5625,0.9375,1
2,0,43,3,4,12,0.717949,346,0.666667,0,0.517857,1,6,23.5,1.1429,1
2,0,43,2,3,9,0.85,117,0.5,0,0.418182,1,6,9.454545,1,0
2,0,10,0,1,5,1,18,1,0,0.6,1,2,2.4,0.6,1
2,0,49,2,3,9,0.933333,106,0.333333,0,0.522727,1,6,8.363636,0.8182,0
1,0,32,0,93,5,0.75,1079,0.5,0,0.253968,0,0,118.666667,11.1111,1
1,0,24,6,2,8,0.863636,319,1,0,0.214286,0,0,25.25,1.25,0
2,0,10,4,4,5,2,50,0,0,0.5,0,0,9,0.8,0
2,0,39,1,5,21,0.772727,382,0.875,4,0.356522,1,6,15.26087,0.913,1
1,0,0,5,1,1,2,1,0,0,1,0,0,0,1,0
1,0,0,2,5,7,0.571429,134,1,2,0.458333,0,0,15.375,1.375,0
2,0,24,1,2,9,0.9375,48,0.75,0,0.416667,1,2,3.888889,0.7778,1
1,0,3,0,2,2,2,112,0,0,0.333333,0,0,36.333333,2.3333,0
2,0,49,2,3,9,1,109,0.2,0,0.522727,1,6,8.454545,0.8182,1
2,0,4,1,5,15,0.7,252,0.8,3,0.376471,1,6,13.529412,0.8824,1
