@relation 'log4j-1.1_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.353wmc-0.345rfc-0.324loc-0.315npm-0.3ce... numeric
@attribute -0.492dit-0.483mfa-0.449ic-0.405cbm-0.216dam... numeric
@attribute -0.458amc+0.368ca-0.358avg_cc-0.332max_cc+0.301cbo... numeric
@attribute 0.673lcom3-0.486dam-0.297noc+0.217cam+0.201cbm... numeric
@attribute -0.45cam-0.42avg_cc-0.354max_cc-0.353ca-0.331dam... numeric
@attribute -0.822noc-0.251moa+0.248ca+0.221dam-0.214lcom3... numeric
@attribute -0.494dam+0.406moa+0.368ca+0.313mfa+0.312dit... numeric
@attribute 0.668moa+0.464cam-0.26ca-0.254cbm-0.231noc... numeric
@attribute 0.511cbm-0.432lcom-0.359amc+0.272moa-0.259mfa... numeric
@attribute 0.481ce+0.358amc+0.357dam-0.318max_cc-0.301ic... numeric
@attribute 0.614cam-0.508lcom3+0.374cbm-0.255dam+0.204amc... numeric
@attribute -0.527ce+0.432cbm+0.346moa+0.282amc+0.249lcom3... numeric
@attribute bug {1,0}

@data
-1.539449,-2.40457,0.295036,0.492564,0.258173,0.110922,-0.398767,0.732117,0.577624,0.550707,0.121305,-0.487982,1
-0.961498,-0.681253,-0.570562,-0.473052,-0.370471,0.537467,-1.004353,0.091221,-0.317923,0.181653,-0.943885,-0.550569,1
-1.046871,1.356274,-1.219599,-0.175677,1.280661,-0.217723,0.401883,0.40343,0.418752,0.776637,0.01961,-0.219369,0
1.205102,-2.402575,0.159195,-2.785048,-0.323379,1.309948,-0.23406,0.340334,-0.874991,0.62717,-0.487546,-0.102383,0
-2.226303,1.687413,-2.225978,-0.615883,0.764696,-0.614323,0.964128,1.142059,0.528315,-0.468204,-0.427489,0.934255,1
1.79539,0.859569,0.479509,-0.458324,1.356009,-0.000505,-0.019756,0.013239,0.313236,-0.434375,-0.155535,0.275348,0
1.684123,-1.500564,-1.234653,-1.151629,-0.148724,0.367493,1.545683,0.179304,-1.715348,-0.066468,1.136853,-0.442888,0
1.809721,0.911348,1.135378,0.166296,0.662206,-0.033645,-0.181596,0.289988,0.444689,-0.465696,-0.233364,0.137559,0
2.251393,0.981036,0.98653,-0.682729,-0.636215,0.877817,0.179413,0.363907,0.165424,-0.361057,2.644568,-0.811324,0
3.287143,1.109913,1.366027,1.509843,-1.14972,-0.124126,-0.669166,0.895241,0.08316,-0.150173,0.589755,-0.133624,1
3.116221,0.989646,1.178317,1.286035,-0.180783,-0.213695,-0.635335,0.434007,0.004155,0.016118,-0.012034,0.127838,0
-0.964961,-0.592383,-1.614179,-0.097931,0.321042,-0.026739,0.972655,0.126627,-0.848391,-0.073493,-0.627991,-0.365103,0
1.380765,0.059681,-0.774467,0.10188,-0.431465,-0.110759,-0.393015,-0.342606,0.646449,-1.774809,0.161588,-0.123781,0
-2.162957,-2.375083,1.070421,-0.21349,0.440121,0.984982,-1.854571,0.523903,-0.876853,0.365589,-0.496649,-0.135288,1
-1.732298,1.967938,-1.102933,-0.676819,1.02622,-1.346151,1.893103,3.063605,1.296645,0.200789,-0.488418,1.392686,1
1.565451,-1.894752,0.547688,0.49005,0.374525,-0.008281,0.374357,0.19994,-0.195373,-0.586214,-0.149826,-0.68033,0
1.018964,0.90414,0.030068,-0.604452,1.381791,0.075192,-0.030217,-0.066604,0.328121,-0.466054,-0.090792,0.056429,0
-0.460412,1.197233,-1.040078,-0.230778,1.593702,0.034844,0.212189,-0.265538,-0.197926,0.78296,0.238123,0.067534,1
3.819973,-2.105945,1.360149,1.38177,-0.982589,-0.088908,1.30127,1.465483,-1.686955,1.081053,0.247832,-0.580035,0
-6.224089,-0.467874,-0.789714,1.486881,-0.568418,0.923362,0.515267,0.027914,0.04727,1.589229,0.103771,-1.848584,1
1.290368,0.904881,-0.266074,-0.409886,0.953425,0.190632,-0.271247,-0.47077,0.256115,-0.193859,0.088841,-0.440826,0
-2.315066,2.319609,2.317539,-0.761233,-1.893026,0.843871,3.307589,0.339814,1.72258,-1.217586,-0.292843,1.147092,1
2.306636,1.403469,2.134716,1.310528,-1.36261,0.429333,0.262525,-0.199583,0.430681,0.041605,-0.034716,-0.091593,0
-0.411563,1.439712,-1.477679,-0.159559,-1.494316,0.399941,-0.071232,-0.673093,-0.281862,-0.272102,0.278394,0.208377,0
0.001831,1.032095,-0.671728,-0.389179,-0.011025,0.128955,-0.170533,0.061019,-0.063721,-1.288952,0.530746,0.354596,0
-4.586962,2.076781,3.132931,-0.53397,-1.112563,1.768123,2.491665,-0.098205,1.666094,1.417845,-0.444715,0.07507,1
1.44021,1.065921,-0.704467,-0.250352,0.184015,0.149048,-0.138539,-0.253921,-0.363699,-0.227656,0.924767,0.052105,1
-1.949117,0.53499,-1.662928,-1.288966,-1.113937,0.880506,-2.126376,0.036602,0.087026,0.555945,-0.658078,-0.128072,0
1.387764,0.927537,-0.957734,-0.933293,0.523501,0.171093,-0.108752,-0.699874,-0.171169,-0.960267,0.374152,0.160091,0
