@relation 'columba-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.434nf+0.427nm+0.409pd+0.304la+0.288ld... numeric
@attribute -0.513exp-0.509rexp-0.472sexp+0.233la+0.222pd... numeric
@attribute 0.501lt+0.474ndev+0.465fix+0.398npt-0.213ns... numeric
@attribute 0.463ld+0.449la-0.435entropy-0.347ndev+0.291npt... numeric
@attribute -0.57entropy-0.329ld+0.326npt+0.311pd-0.307la... numeric
@attribute 0.892ns+0.255fix-0.199sexp+0.167lt+0.135ld... numeric
@attribute '0.814fix-0.412lt-0.213ndev-0.2npt+0.18 entropy...' numeric
@attribute -0.677npt+0.585lt-0.254ndev-0.233entropy-0.192ns... numeric
@attribute 0.627ndev-0.587entropy-0.315npt-0.301lt-0.182rexp... numeric
@attribute 0.646pd-0.463nm+0.348sexp-0.308rexp-0.264ld... numeric
@attribute bug {1,0}

@data
0.816507,-2.432064,-0.521271,0.235078,-0.551707,-0.144933,-0.117815,-0.863223,-2.307512,-0.996744,0
-0.476569,1.608806,0.33902,-1.013663,-0.981627,-0.246259,-0.524967,-1.203849,0.027311,0.149085,0
-1.103455,0.813091,0.666957,0.23955,0.848246,0.317421,1.041184,-0.187058,0.455637,0.167806,0
1.508933,-2.539077,2.040647,-1.196616,-0.681816,-0.750333,-1.525435,-0.769396,-0.422814,0.281481,0
-1.450261,1.635184,2.685273,-1.406416,1.46546,0.704196,-3.099403,2.807603,-1.179845,0.050472,1
-0.409707,0.97335,-0.495963,-0.582479,-0.650654,-0.441793,-0.185287,-0.952735,0.546828,0.244748,1
0.347888,-1.717645,-0.064343,0.935097,0.324232,-0.495225,-0.729747,-0.35649,-0.520872,0.181463,1
1.523795,-0.727589,0.960105,1.95589,-1.017538,-0.204569,-1.175777,-0.531424,0.737762,-0.209474,1
1.019377,-0.510886,-0.198285,-0.610862,-0.634285,-0.627239,-0.290202,-0.629467,0.008806,-0.267023,0
-0.379577,-0.529744,-0.021501,0.33164,0.491078,-0.418996,-0.815052,-0.529122,0.340074,-0.095214,0
0.997928,-1.807898,1.3214,0.855079,0.171897,-0.447422,-1.649291,-0.070621,0.585831,0.175673,1
1.118062,-2.364713,1.701944,-0.403769,-0.413836,-0.249587,1.096462,-1.034911,-0.669238,0.388152,0
1.058725,-2.25955,2.636483,-0.931901,-0.163622,-0.130957,0.389281,-0.515346,-0.305344,0.283976,0
0.671748,-1.841037,1.47492,-0.589091,-0.447969,-0.107231,1.239394,-0.91613,-1.063826,0.238773,0
0.131709,-1.752394,-0.270297,0.869088,0.555262,-0.645909,-0.648274,-0.709588,0.202176,0.033707,0
0.119589,-1.735133,-0.276249,0.86573,0.552021,-0.639481,-0.643467,-0.708888,0.197681,0.012569,0
0.099325,-1.697311,-0.284743,0.857863,0.547499,-0.632333,-0.637491,-0.709922,0.197924,0.000259,0
-0.025001,-1.422701,-0.360295,0.817935,0.519099,-0.577105,-0.580997,-0.720976,0.179777,-0.114676,0
-0.33309,-0.810046,-0.442773,0.646933,0.492195,-0.502027,-0.536811,-0.721194,0.227948,-0.091546,0
-0.507523,-0.438487,-0.52184,0.572334,0.462163,-0.444456,-0.48208,-0.733758,0.233968,-0.157437,0
-0.132367,1.078879,2.273302,-1.728739,-0.29188,0.233966,0.585273,-0.659155,0.329863,0.012092,0
