@relation 'data/M_multi_metrics_LC.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-4,6-11,13-14,16,18-20,22-26,28,30,33-43,45,47,49-55,57-61'

@attribute WCHU_numberOfPublicAttributes numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute CvsLogEntropy numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute LDHH_dit numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0,0,2,0,0.112667,0,1,0,0,0,0,0,18,clean
0,0,0,0,0.042456,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.123094,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.101164,6,2,0,0,0,0,0,35,clean
0,0,0,0,0.083567,0,2,0,0,0,0,0,15,clean
0,0,0,0,0.073134,0,3,0,1.01,0,0,0.00406,17,clean
0,0,0,0,0.180807,0,2,0.001472,0,0,0,0,21,buggy
0,0,0,0,0.145898,0,1,0,0,0,0,0,9,clean
0,0,4,0,0.060687,0,1,0,0,0,0,0,10,clean
0,0,0,0,0.358735,0,1,0,0,0,0,0,9,clean
3.05,0.001257,9,0,0.387965,4,3,0,0,0,0,0,48,clean
0,0,0,0,0.24008,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.028285,2,2,0,0,0,0,0,39,clean
0,0,0,0,0.044092,0,1,0,0,0,0,0,10,clean
0,0,0,0,0.11495,0,2,0,0,0,0,0,31,clean
0,0,0,0,0.246347,0,3,0,0,0,0,0,37,buggy
1.01,0,1,0,0.199952,1,3,0,1.01,0,0,0.001152,35,clean
0,0,0,0,0.157212,0,2,0.002256,0,0,0,0,24,clean
0,0,0,0,0.206585,0,1,0,0,0,0,0,10,clean
0,0,0,0,0,1,3,0,0,0,0,0,16,clean
0,0,0,0,0.174739,0,1,0,0,0,0,0,9,clean
0,0,13,0,0,0,2,0,0,0,0,0,11,clean
0,0,0,0,0.136638,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.016145,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.27076,0,1,0,0,0,0,0,11,clean
0,0,0,0,0.073134,0,3,0,1.01,0,0,0.00406,17,clean
0,0,6,0,0,0,2,0,0,0,0,0,11,clean
0,0,0,0,0.251675,0,1,0,0,0,0,0,10,clean
0,0,0,0,0.135853,0,1,0,0,0,0,0,11,clean
0,0,1,0,0.2724,0,1,0,0,0,0,0,18,buggy
0,0,0,0,0.280119,0,1,0.00885,0,0,0,0,9,buggy
1.01,0.002193,2,0,0.739952,0,1,0,0,0,0,0,0,buggy
0,0,6,0,0.064392,0,1,0,0,0,0,0,9,clean
0,0,2,0,0.233481,0,1,0,0,0,0,0,18,clean
0,0,2,0,0.33686,1,2,0,0,0,0,0,19,clean
0,0,0,0,0.142869,1,3,0,0,0,0,0,16,clean
0,0,9,0,0.089145,1,2,0,0,0,0,0,16,buggy
0,0,0,0,0.048688,0,1,0,0,0,0,0,27,clean
0,0,0,0,3.49127,2,2,0,0,0,0,0,39,clean
0,0,0,0,0.048688,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.159497,0,3,0,1.01,0,0,0.00406,17,clean
0,0,0,0,0.177842,0,3,0,1.01,0,0,0.00406,17,clean
0,0,0,0,0.26789,0,1,0,0,0,0,0,27,clean
0,0,8,0,0.064392,0,2,0,0,0,0,0,33,clean
0,0,0,0,0.176221,0,1,0,0,0,0,0,10,clean
0,0,0,0,0.074714,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.134047,0,2,0,0,0,0,0,39,clean
0,0,0,0,0.074362,0,1,0,0,0,0,0,9,clean
0,0,0,0,3.6437,0,2,0,0,0,0,0,39,buggy
0,0,0,0,0.206049,2,2,0,0,0,0,0,58,buggy
0,0,0,0,0.145898,2,3,0,0,0,0,0,55,clean
0,0,0,0,0.087698,2,2,0,0,0,0,0,39,clean
4.22,0.009005,19,0,3.64623,0,1,0,0,0,0,0,9,buggy
0,0,0,0,0.069929,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.033753,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.089965,0,2,0,0,0,0,0,17,clean
0,0,0,0,0.174739,0,1,0,0,0,0,0,39,clean
0,0,3,0,0.137154,0,1,0,0,0,0,0,27,clean
0,0,4,0,0.136638,0,2,0,0,0,0,0,11,buggy
0,0,0,0,0.132192,0,1,0.007722,0,0,0,0,18,clean
0,0,1,0,0.033753,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.518075,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.033753,0,2,0,0,0,0,0,15,clean
0,0,0,0,0,0,1,0,0,0,0,0,9,clean
1.01,0.020901,1,0,0.089145,1,2,0,0,0,0,0,16,clean
0,0,0,0,0.040252,0,2,0,0,0,0,0,11,clean
0,0,0,0,0,0,1,0,0,0,0,0,11,clean
0,0,0,0,0.223297,0,1,0,0,0,0,0,9,clean
0,0,0,0,0.914975,2,2,0.013868,0,0,0,0,27,buggy
0,0,0,0,0.021936,0,1,0,0,0,0,0,24,clean
0,0,0,0,0.187772,0,1,0,0,0,0,0,15,clean
0,0,4,0,0.042456,0,2,0,0,0,0,0,13,clean
0,0,0,0,0.042456,0,1,0,0,0,0,0,9,clean
0,0,1,0,0.209658,3,2,0,0,0,0,0,12,clean
0,0,0,0,0.275178,2,2,0.034341,0,0,0,0,39,buggy
0,0,1,0,0.028841,0,1,0,0,0,0,0,27,clean
0,0,0,0,0.569637,1,2,0,0,0,0,0,19,clean
0,0,0,0,0.612866,0,1,0,0,0,0,0,18,buggy
0,0,3,0,0.048688,0,1,0,0,0,0,0,18,clean
0,0,6,0,0.030964,0,1,0,0,0,0,0,9,buggy
0,0,0,0,0.29526,1,3,0,0,0,0,0,16,clean
0,0,0,0,0.210002,0,1,0,0,0,0,0,10,clean
2.02,0.003565,3,0,0.154655,0,1,0.001839,0,0,0,0,18,clean
0,0,0,0,0.038216,0,1,0,0,0,0,0,9,buggy
0,0,0,0,0.087698,0,1,0,0,0,0,0,18,clean
0,0,0,0,0.060687,0,2,0,0,0,0,0,11,clean
0,0,2,0,0.042456,0,2,0,0,0,0,0,13,clean
0,0,0,0,0.021936,0,1,0,0,0,0,0,18,clean
0,0,0,0,0,1,2,0,0,0,0,0,19,clean
0,0,0,0,0.140911,0,2,0,0,0,0,0,13,clean
1.05,0.000513,0,0,0.039997,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0,2,0,0,0,0,0,15,clean
0,0,0,0,0.027544,1,3,0,0,0,0,0,16,clean
0,0,0,0,0.048688,0,1,0,0,0,0,0,27,clean
4.09,0.006942,8,0,0.606812,2,1,0,0,0,0,0,17,buggy
0,0,0,0,1.03245,0,1,0.002354,0,0,0,0,9,buggy
0,0,0,0,0.052058,0,2,0,0,0,0,0,15,clean
0,0,0,0,0.074035,0,3,0,0,0,0,0,12,clean
0,0,0,0,0,0,1,0,0,0,0,0,9,clean
0,0,1,0,0.03126,3,2,0,0,0,0,0,12,clean
0,0,1,0,0.033753,0,1,0,0,0,0,0,10,clean
0,0,0,0,0.057945,0,2,0,0,0,0,0,33,clean
0,0,0,0,0.136886,5,4,0,1.01,0,0,0.00406,27,clean
0,0,3,0,0.286809,0,2,0,0,0,0,0,13,clean
0,0,0,0,0.536249,56,2,0,0,0,0,0,68,clean
0,0,6,0,0.041874,0,1,0,0,0,0,0,21,clean
