@relation 'synapse-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-20'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute bug {1,0}

@data
0,4,0.255102,1
0,0,0.555556,0
18,0,0.380952,1
0,0,0.5,0
0,0,0.833333,1
0,0,0.666667,0
0,1,0.444444,1
0,0,0.236667,0
0,0,0.285714,0
0,0,0.333333,0
2,0,0.666667,0
0,6,0.242188,0
0,0,0.555556,0
0,0,0.283333,0
0,1,0.185,1
0,0,0.276786,0
0,0,0.555556,0
0,2,0.3,1
0,0,0.555556,0
0,0,0.555556,0
0,0,0.666667,1
0,1,0.666667,1
0,0,0.285714,0
7,0,0.283333,1
0,1,0.404762,0
0,0,0.666667,0
0,0,0.196429,1
0,1,0.30303,1
0,0,0.5,0
0,0,0.25974,1
0,1,0.194286,0
0,0,0.333333,1
0,0,0.555556,0
0,0,0.181818,0
0,0,0.3125,0
0,0,0.297674,0
0,0,0.314286,1
0,0,0.366667,1
0,0,0.555556,0
0,0,0.583333,1
0,0,0.6,0
0,0,0.25,1
0,0,1,0
0,0,0.666667,0
0,3,0.203571,1
0,0,0.666667,0
0,0,0.5,0
0,0,0.566667,0
0,0,1,0
0,0,0.777778,1
1,0,0.5,0
0,0,0.361111,0
0,0,0.666667,0
1,0,0.5,0
0,0,0.357143,1
0,0,1,0
0,0,0.666667,0
0,1,0.333333,1
0,2,0.5,0
0,0,0.416667,1
0,0,0,0
0,0,0.666667,0
0,2,0.5,1
0,2,0.25,0
0,3,0.316667,0
0,0,0.666667,0
0,1,0.625,0
0,0,0.555556,0
0,0,0.555556,0
0,2,0.375,1
0,0,1,0
0,0,0.666667,0
0,0,0.333333,0
0,1,0.201058,1
0,0,0.2,1
0,0,0.3125,0
0,0,0.475,0
0,0,0.666667,0
0,0,0.583333,0
0,0,0.458333,0
0,0,0.75,0
0,0,0.5,0
0,0,0.5,0
0,0,0.416667,0
0,2,0.333333,1
0,1,0.270833,1
0,1,0.266667,0
0,0,0.75,0
0,0,0.6,0
1,2,0.333333,0
0,0,0.164835,0
0,0,0.555556,0
0,0,0.555556,0
0,0,0.666667,0
0,0,0.666667,0
0,0,0.75,0
0,0,0.4,0
0,0,0.666667,0
0,0,0.555556,0
0,1,0.333333,1
0,0,0.75,0
0,1,0.270833,1
0,1,0.21875,0
0,0,0.555556,0
0,0,0.4,1
0,1,0.375,0
0,0,0.242857,1
0,0,1,0
0,0,0.666667,0
0,0,0.205357,0
0,2,0.192308,1
0,0,0.4,0
0,0,0.666667,0
0,0,1,0
0,0,0.555556,0
0,0,0.333333,0
4,0,0.333333,0
0,1,0.5,1
0,1,0.4,0
0,0,0.270833,1
0,0,0.4,1
0,0,0.75,1
0,3,0.190789,1
0,0,0.625,0
0,0,0.777778,0
0,0,0.428571,1
0,0,0.5,1
0,1,0.28,0
0,0,0.75,0
0,5,0.109091,1
0,0,0.555556,1
19,0,0.45,0
0,2,0.3,0
0,0,0.361111,0
0,0,0.666667,0
0,0,1,1
0,0,0.555556,0
0,1,0.533333,0
0,0,0.555556,0
1,0,0.375,0
0,0,0.555556,0
0,0,0.555556,1
0,0,0.75,0
0,1,0.3,1
0,0,0.75,0
0,1,0.4375,0
0,0,0.3,1
1,0,0.333333,1
0,0,0.5,0
0,0,0.428571,0
0,0,0.314815,1
0,0,0.34375,1
0,0,0.583333,0
0,0,0.75,0
0,0,0.7,0
0,0,0.266667,1
0,0,1,0
0,3,0.218487,1
1,0,0.666667,0
0,0,1,0
0,0,0.333333,0
0,2,0.4,1
0,0,0.75,1
6,0,0.371429,1
0,0,0.3,1
0,3,0.192593,1
2,0,0.678571,1
0,1,0.5,0
18,0,0.346939,0
0,0,0.555556,0
0,2,0.304762,1
0,0,0.666667,0
0,1,0.3125,1
7,0,0.666667,0
0,0,0.5,0
0,0,0.333333,0
0,0,1,0
0,2,0.288889,0
0,0,0.446429,0
0,0,0.75,0
2,0,0.255102,1
0,0,0.666667,0
0,0,1,0
0,0,0.666667,0
0,0,0.833333,1
0,0,0.126603,0
0,1,0.5,1
0,0,0.555556,1
0,0,0.555556,0
0,0,0.4,1
0,0,0.5,0
0,0,0.5,0
0,0,0.204545,0
0,0,0.5,0
0,1,0.3,0
0,0,0.6,0
0,0,1,0
0,0,0.3,0
1,1,0.45,1
0,1,0.444444,0
0,1,0.444444,1
0,0,0.5,0
0,0,0.666667,0
0,0,0.666667,0
0,0,0.583333,1
6,0,0.2625,0
0,3,0.25974,0
0,0,0.333333,0
0,0,0.555556,0
0,0,0.5,0
0,2,0.135008,1
0,0,0.666667,0
7,0,0.5,0
0,0,0.666667,1
0,0,1,0
0,0,0.666667,1
0,1,0.238095,1
0,0,0.75,0
0,1,0.333333,1
0,0,0.75,1
0,0,0.555556,0
0,0,0.75,1
0,0,0.555556,0
0,0,1,0
0,0,0.5,0
0,1,0.190476,0
0,1,0.188,1
0,0,0.371429,1
0,0,0.666667,0
0,0,0.2,1
0,0,0.666667,0
0,0,0.5,1
0,0,0.625,0
0,0,0.555556,0
0,0,0.5,0
0,1,0.314286,1
0,0,0.4375,0
0,2,0.111241,1
0,0,1,0
0,0,0.666667,0
0,0,0.6875,0
0,1,0.4,0
0,0,0.258929,1
0,0,0.6,0
0,0,1,1
0,0,0.5,0
0,0,0.5,0
0,0,0.271429,1
0,0,0.666667,1
0,0,1,0
0,0,0.833333,1
0,1,0.392857,0
0,0,0.555556,0
0,0,0.154762,1
0,1,0.444444,0
0,1,0.458333,0
