@relation 'data/M_multi_metrics_EQ.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-22,24-26,28,30,32-61'

@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute class {buggy,clean}

@data
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,1,1,0,buggy
0,1,2,0,buggy
0,0,1,0,clean
0,29,2,0,buggy
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0.001069,clean
0.000966,2,2,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0.002083,3,2,0,clean
0,0,1,0,clean
0.000814,3,2,0,buggy
0,0,1,0,clean
0.003134,3,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,3,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,3,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,2,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0.000718,buggy
0,0,1,0,clean
0.000814,1,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,2,3,0,buggy
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,7,2,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0.000814,3,2,0,clean
0.003652,3,2,0,buggy
0,0,1,0,buggy
0,0,2,0,buggy
0.003413,5,1,0,buggy
0,0,1,0,clean
0,0,3,0,buggy
0,0,1,0,buggy
0.003837,2,3,0,buggy
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,0,3,0,buggy
0,0,1,0,clean
0.003652,3,2,0,buggy
0,0,2,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0.000966,9,2,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,buggy
0.006273,1,2,0,clean
0,0,1,0,buggy
0.014114,28,1,0,buggy
0,0,1,0,clean
0,0,3,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,3,2,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,buggy
0.005538,16,2,0,buggy
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0.000966,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0.001395,11,2,0,buggy
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,2,0,clean
0,0,1,0,clean
0,3,3,0,buggy
0,0,1,0.000718,clean
0,0,1,0,clean
0,1,1,0,clean
0.003652,3,2,0,clean
0,0,1,0,buggy
0.006504,18,3,0,buggy
0,0,1,0,clean
0.007031,1,2,0,clean
0,0,1,0,buggy
0,3,2,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,1,1,0,buggy
0,0,1,0,clean
0,0,2,0,buggy
0,0,1,0,buggy
0,1,1,0,clean
0,0,1,0,clean
0,2,2,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,1,2,0,buggy
0,0,1,0,clean
0,0,2,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,2,1,0,clean
0.000966,3,2,0,clean
0,0,1,0,clean
0,1,2,0,buggy
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0.000758,1,2,0,buggy
0,0,1,0,clean
0,62,1,0,buggy
0,0,1,0.001069,clean
0,0,2,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,1,2,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0.003184,74,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0.000758,2,2,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0.000758,2,2,0,clean
0,0,1,0,clean
0.005538,16,2,0,buggy
0,0,1,0,buggy
0.000966,3,2,0,clean
0.000814,8,1,0,clean
0,0,2,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,2,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,1,2,0,buggy
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,2,0,buggy
0.000814,5,1,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0.003413,9,2,0,buggy
0,3,2,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,3,2,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,1,2,0,clean
0,0,3,0,buggy
0.014114,28,1,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,buggy
0,2,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0.002083,3,2,0,clean
0.007031,1,2,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,buggy
0,0,2,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,1,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,2,0,clean
0,0,2,0.005831,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,2,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0.005831,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,19,1,0,buggy
0,0,1,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,0,2,0,buggy
0,0,1,0,buggy
0,0,1,0,buggy
0.014114,31,2,0,clean
0,0,2,0,clean
0.000966,2,2,0,buggy
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,1,2,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,3,2,0,clean
0,0,2,0,clean
0,0,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,1,2,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0,0,1,0,clean
0.004312,9,1,0,buggy
0,0,1,0,clean
0,0,1,0,clean
