@relation 'poi-3.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,14,18-20'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute bug {1,0}

@data
1,0,9,0.833333,1,5,0.571429,0,0,1
3,0,10,1.25,0,0,0.4,1,1,0
2,0,6,2,0,0,0.7,1,1,1
2,0,35,0.8,0.5,0,0.257576,1,4,1
2,0,36,1.125,0,0,0.259259,0,0,0
1,0,0,0.5,1,3,0.198864,0,0,1
2,0,27,0.833333,0.75,0,0.28,1,2,1
1,0,9,1.164242,0.003636,0,0.190476,0,0,1
1,0,0,2,0,0,1,0,0,0
2,1,0,0.125,0,0,0.351852,1,1,1
3,0,15,1.2,0,0,0.333333,0,0,0
1,3,325,1.04,0,0,0.544872,0,0,1
3,0,0,2,0,0,0.466667,0,0,1
1,49,15,1.2,1,0,0.666667,0,0,0
1,0,3,2,0,0,0.5,0,0,1
1,0,0,0.25,1,0,0.666667,0,0,1
2,0,32,1.034091,0.125,0,0.35,1,5,1
3,0,82,0.266667,1,0,0.1875,2,7,0
2,0,35,0.8,0.5,0,0.257576,1,4,1
2,0,4,0.833333,1,1,0.4,1,1,1
2,1,111,0.552,0.8,0,0.288462,1,1,1
3,0,15,1.2,0,0,0.333333,1,1,0
4,4,22,0.428571,1,0,0.35,1,1,0
3,0,6,1.333333,0,0,0.5,1,3,1
3,0,26,0.857143,0.25,1,0.342857,1,1,1
2,0,0,0.738636,0.875,6,0.253623,1,4,1
3,0,4,0.5,1,0,0.6,0,0,0
1,0,0,0,1,0,0.5,0,0,0
1,0,24,0.714286,0.5,0,0.234375,0,0,1
2,0,36,1.125,0.333333,0,0.259259,0,0,0
2,0,77,0.759259,0.833333,1,0.254386,1,4,1
2,0,10,2,0,0,0.5,0,0,0
1,0,104,0.846429,0.4375,5,0.124074,0,0,1
1,0,2,0.666667,0,1,0.36,0,0,1
1,0,0,0.571429,1,2,0.458333,0,0,1
1,0,331,0.873563,0,0,0.391667,0,0,1
1,0,3,2,0,0,0.333333,0,0,0
1,0,91,1.076923,1,0,0.255102,0,0,1
2,0,108,0.939394,0.363636,3,0.253333,1,4,1
2,0,199,0.714286,0.75,0,0.227273,1,4,1
3,0,6,1.333333,0,0,0.625,1,2,0
2,0,34,0.854167,0.5,0,0.323077,1,5,1
2,0,36,1.125,0,0,0.259259,0,0,1
1,0,0,2,0,0,1,0,0,0
2,0,44,0.757576,0.666667,0,0.316667,1,4,1
2,0,35,0.8,0.5,0,0.257576,1,4,1
2,0,3,0.851852,0.333333,0,0.228571,1,2,0
1,5,15,2,0,0,0.333333,0,0,0
2,0,39,0.833333,0.5,0,0.32,1,4,1
2,0,62,0.853333,0.4,0,0.223214,1,4,1
2,0,21,1.166667,0.5,0,0.314286,1,2,0
1,0,1,0.5,1,0,0.5,0,0,1
5,0,6,2,0,0,0.666667,0,0,0
2,0,298,0.767857,0.833333,0,0.172414,1,4,1
2,0,32,0.8125,0.571429,2,0.254902,1,4,1
1,0,3,0.083333,1,1,0.303571,0,0,1
2,0,35,0.8,0,0,0.257576,1,4,1
1,0,0,2,0,0,0,0,0,1
3,0,0,0.888889,0.333333,0,0.357143,1,5,0
1,0,28,0.6875,1,0,0.333333,0,0,0
1,0,0,0.083333,1,2,0.428571,0,0,1
1,0,1,0.833333,0.333333,2,0.5,0,0,0
3,0,10,1.25,0,0,0.4,1,1,0
1,0,1,2,0,0,0.5,0,0,1
1,0,3,2,0,0,0.416667,0,0,0
2,0,6,0.75,1,2,0.55,1,1,1
2,0,103,0.848739,0,1,0.311111,1,4,1
6,0,0,2,0,0,1,0,0,0
2,0,167,0.871739,0.95,12,0.251773,1,4,1
1,0,1,0,1,1,0.514286,0,0,1
4,0,6,2,0,0,0.666667,0,0,0
2,0,1362,0.927083,1,1,0.265306,1,7,1
1,0,0,0.333333,1,0,0.5,0,0,0
1,0,9,0.25,1,0,0.454545,0,0,0
