@relation 'KC1-weka.filters.unsupervised.attribute.Remove-R1-2,4-6,8-13,17-21'

@attribute ev(g) numeric
@attribute l numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute defects {false,true}

@data
1.4,1.3,2,2,2,false
1,1,1,1,1,true
1,0.04,10,6,0,true
6,0.07,2,5,0,true
1,0.11,0,2,0,true
1,0.09,2,4,0,true
1,0.06,2,2,0,true
1,0.04,3,2,0,true
1,0.06,2,1,0,true
1,0.06,2,1,0,true
1,0.05,2,2,0,true
1,0.05,4,5,0,true
4,0.04,14,12,0,true
1,0.09,0,0,0,true
12,0.03,7,7,0,true
1,0.29,0,0,0,true
1,0.18,0,1,0,true
3,0.03,4,15,0,true
1,0.21,0,1,0,true
1,0.3,0,1,0,true
1,0.03,0,0,0,true
1,0.08,0,3,0,true
1,0.07,0,3,0,true
7,0.1,0,1,0,true
1,0.03,26,6,0,true
1,0.07,0,2,0,true
1,0.07,0,1,0,true
1,0.16,0,3,0,true
1,0.06,2,2,0,true
9,0.04,0,10,0,true
1,0.07,3,4,0,true
1,0.05,2,3,0,true
1,0.06,4,6,0,true
3,0.03,5,5,0,true
1,0.3,1,3,0,true
1,0.3,1,2,0,true
1,0.04,7,6,0,true
3,0.09,1,1,0,true
1,0.1,0,0,0,true
1,0.1,0,1,0,true
1,0.08,2,2,0,true
1,0.14,0,3,0,true
1,0.08,0,2,0,true
1,0.08,0,3,0,true
1,0.33,0,0,0,true
5,0.05,4,5,0,true
1,0.18,2,2,0,true
1,0.11,0,1,0,true
1,0.4,0,0,0,true
1,0.19,0,0,0,true
1,0.06,0,6,0,true
11,0.03,7,22,0,true
1,0.08,0,0,0,true
1,0.08,1,5,0,true
1,0.16,0,0,0,true
5,0.05,0,10,0,true
1,0.1,0,0,0,true
1,0.17,0,1,0,true
1,0.14,0,3,0,true
1,0.03,2,10,0,true
1,0.04,2,7,0,true
1,0.08,0,0,0,true
1,0.18,0,0,0,true
1,0.05,1,3,0,true
1,0.4,0,0,0,true
1,0.07,0,1,2,true
1,0.27,0,0,0,true
1,0.22,1,1,0,true
1,0.33,0,0,0,true
1,0.29,2,0,0,true
1,0.19,0,0,0,true
1,0.5,0,0,0,true
1,0.15,1,0,0,true
1,0.13,5,14,0,true
1,0.11,0,4,0,true
1,0.04,0,2,3,true
3,0.05,0,2,0,true
1,0,1,0,0,true
1,0.29,2,3,0,true
1,0.29,0,0,0,true
1,0.33,0,0,0,true
1,0.15,1,2,0,true
1,0,0,0,0,true
1,0.67,0,0,0,true
1,0.07,1,1,0,true
1,0.24,0,0,0,true
1,0.1,0,2,0,true
1,0.07,1,2,0,true
1,0.07,1,1,0,true
1,0.06,3,2,0,true
1,0.25,0,1,0,true
6,0.05,0,4,0,true
1,0.67,0,0,0,true
8,0.04,1,8,0,true
11,0.03,5,18,0,true
1,0.26,0,2,0,true
3,0.05,0,10,0,true
10,0.03,0,5,0,true
1,0.2,0,2,0,true
1,0.67,0,0,0,true
1,0.1,0,3,0,true
1,0.07,0,17,0,true
1,0.04,2,6,0,true
14,0.02,0,11,0,true
3,0.04,0,5,0,true
6,0.05,0,3,0,true
1,0.23,0,3,0,true
1,0.13,2,0,0,true
8,0.07,0,1,0,true
4,0.1,0,1,0,true
1,0.13,0,1,0,true
3,0.14,0,2,0,true
1,0.06,3,9,0,true
6,0.02,0,8,0,true
4,0.05,0,6,0,true
1,0.11,0,3,0,true
3,0.04,0,5,0,true
3,0.04,0,3,0,true
1,0.05,0,3,0,true
1,0.05,0,5,0,true
9,0.03,0,8,0,true
1,0.14,0,2,0,true
1,0.08,0,4,0,true
11,0.04,1,18,0,true
1,0.14,0,1,0,true
