@relation 'ant-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,16-17,19'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0.8125,1,0,0.4,17.222222,1,1
0,0.714286,1,0,0.46875,32.875,1.375,0
0,0.333333,1,0,0.5,48.5,0.75,0
0,0.826531,1,0,0.233333,32.133333,1.4,0
0,0.696429,0.75,1,0.311111,27.333333,0.8,0
0,2,0,0,1,0,1,0
0,0.882353,1,0,0.377778,23.833333,2,0
0,2,0,0,1,10.5,0.5,0
0,2,0,0,0.5,0,1,0
2,0.745455,1,4,0.19375,45.625,2.5,0
0,0.625,1,0,0.342857,19,1.4286,0
0,2,0,0,0.533333,0,1,0
0,0,1,0,0.666667,47.333333,0.6667,0
0,2,0,0,1,0,1,0
0,0.777778,1,0,0.47619,13.857143,1.2857,0
1,0,1,0,0.666667,14.333333,0.6667,0
0,0.6,1,0,0.555556,83.5,0.8333,0
0,0.583333,1,2,0.266667,23.2,2.3,0
0,0.84689,1,4,0.25,39.05,3.05,0
0,2,0,0,1,0,1,0
0,0.592593,0.5,1,0.126984,36.321429,2.5357,0
0,0.571429,1,0,0.375,19.125,1.125,0
0,0.333333,1,0,0.625,10.25,0.75,0
0,0,1,1,0.666667,6,0.8333,0
0,2,0,0,1,48,3.6667,0
0,0.761905,0.5,0,0.35,23,2.25,0
0,0.333333,1,0,0.5,25.75,0.75,1
0,1.5,1,0,1,40,3,0
0,0.960152,1,1,0.181818,66.055556,1.8333,1
0,2,0,0,0.666667,0,1,0
0,2,0,0,0.75,2.5,0.5,0
0,0.25,1,0,0.666667,63,1,0
2,0.865079,1,1,0.225,28.533333,1.8,0
0,2,0,0,1,0,1,0
0,1.5,1,0,1,53,4,0
1,1.083333,0,0,0.207692,35.461538,1,0
0,2,0,0,0.75,21.75,1.5,0
0,0.648352,1,4,0.314815,13.592593,1.5185,0
0,0.52381,1,0,0.47619,38.714286,1.1429,0
0,2,0,0,1,0,1,0
0,0.5,1,0,0.5,48.8,2.8,0
0,0.618182,1,0,0.238095,47,3.4167,0
0,0.75,1,3,0.220779,7.272727,0.7273,0
2,0.78,1,5,0.186508,36.571429,1.5238,0
0,0.7875,1,0,0.285714,32.666667,2.1905,0
0,0,1,1,0.5,33.333333,2,0
0,0.6,1,2,0.333333,34.5,0.8333,0
0,0.736842,1,1,0.284211,17.45,1.15,0
0,0.833333,0.5,0,0.583333,16,1.5,0
0,0.571429,1,0,0.375,19.5,1.125,0
11,0.485714,1,1,0.0875,7.333333,1.1944,0
1,0.870445,1,2,0.212963,32.333333,1.7037,0
0,0.5,1,0,0.7,4.6,0.8,0
0,2,0,0,0.666667,4.5,0.5,0
0,0,1,0,0.666667,5,0.6667,0
0,0.6,1,0,0.4,11.5,0.9,0
0,0.333333,1,0,0.583333,42,1.25,0
0,2,0,0,0.666667,12.333333,0.6667,0
1,0.25,1,0,0.533333,9.6,0.6,0
0,0.583333,1,1,0.264706,16.352941,1.2353,0
0,1,0,0,0.3,18.166667,1,0
0,0.791667,1,0,0.355556,35.444444,2,1
0,0.8,0.5,0,0.266667,37.166667,0.8333,1
