@relation 'PC1-weka.filters.unsupervised.attribute.Remove-R1-2,5-6,8,10-13,15,17-21'

@attribute ev(g) numeric
@attribute iv(G) numeric
@attribute L numeric
@attribute I numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute defects {false,true}

@data
1.4,1.4,1.3,1.3,2,2,false
1,1,1,1,1,1,true
3,2,0.04,75.47,44,31,true
5,18,0.04,89.79,41,24,true
41,82,0.01,272.58,71,49,true
7,14,0.02,80.95,32,39,true
1,8,0.03,66.66,71,49,true
123,123,0.01,246.47,40,225,true
1,2,0.1,72.35,3,8,true
1,1,0.04,61.05,2,10,true
1,6,0.04,114.46,14,18,true
12,4,0.04,55.32,32,17,true
1,3,0.04,43.87,15,24,true
8,9,0.05,163.74,38,17,true
1,2,0.08,27.79,25,9,true
4,5,0.03,85.6,62,39,true
5,4,0.07,38.68,0,12,true
1,1,0.04,160.24,15,17,true
1,8,0.05,54.76,1,10,true
1,2,0.03,43.78,27,23,true
1,3,0.02,65.2,62,34,true
1,5,0.03,36.33,6,11,true
6,6,0.05,66.64,6,20,true
6,6,0.06,60.39,5,19,true
1,3,0.11,32.14,0,8,true
3,2,0.07,31.08,6,8,true
1,3,0.16,33.52,0,7,true
5,4,0.07,36.9,0,13,true
1,3,0.12,45.57,0,15,true
1,2,0.16,30.96,0,8,true
1,4,0.08,50.38,9,3,true
1,4,0.08,44.56,0,12,true
1,1,0.14,33.87,4,6,true
1,6,0.08,67.47,4,9,true
3,2,0.08,31.98,14,28,true
1,8,0.04,52.7,73,32,true
21,9,0.02,97.66,23,37,true
1,3,0.05,98.09,17,18,true
1,23,0.04,218.7,49,39,true
4,7,0.04,40.9,0,13,true
1,1,0.08,17.5,3,2,true
1,1,0.26,59.59,7,8,true
3,4,0.02,118.33,42,36,true
1,5,0.07,34.79,0,7,true
8,7,0.03,64.48,18,80,true
1,4,0.05,96.31,0,11,true
1,1,0.33,11.07,0,1,true
9,18,0.02,87.72,50,56,true
1,1,0.15,21.43,1,7,true
4,12,0.03,70.21,27,31,true
1,1,0.15,21.43,1,7,true
4,4,0.07,42.78,1,9,true
6,13,0.02,95.98,55,55,true
9,7,0.03,88.87,6,5,true
20,5,0.03,92.23,39,32,true
4,3,0.05,32.1,8,9,true
5,5,0.05,44.67,9,7,true
1,3,0.02,140.08,20,27,true
1,1,0.07,40.63,9,12,true
1,1,0.5,17.43,0,0,true
3,2,0.07,31.08,5,7,true
5,5,0.05,43.84,7,5,true
1,1,0.5,17.43,0,0,true
1,3,0.13,32.35,0,9,true
1,1,0.5,17.43,0,0,true
1,1,0.5,17.43,0,0,true
1,4,0.08,46.5,0,12,true
1,1,0.5,17.43,0,0,true
1,1,0.5,17.43,0,0,true
7,7,0.07,81.27,1,16,true
1,2,0.09,32.54,7,4,true
1,2,0.08,39.65,4,3,true
1,1,0.22,15.23,0,2,true
