@relation 'zxing1.6_golden-weka.filters.unsupervised.attribute.Remove-R1-2,54-weka.filters.unsupervised.attribute.Remove-R12,15,20,24,31-32,37-40,45-weka.filters.unsupervised.attribute.Remove-R9-20,34-35-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6'

@attribute AvgEssential numeric
@attribute AvgLineBlank numeric
@attribute AvgLineComment numeric
@attribute CountLineCodeDecl numeric
@attribute CountStmtDecl numeric
@attribute RatioCommentToCode numeric
@attribute isDefective {TRUE,FALSE}

@data
1,0,1,9,8,0.8,FALSE
1,0,1,9,7,0.15,TRUE
1,1,0,36,36,0,FALSE
1,0,1,18,18,0.38,FALSE
1,0,1,60,48,0.09,TRUE
1,0,0,18,21,0.07,TRUE
2,3,1,21,21,0.14,FALSE
1,3,0,15,12,0.15,FALSE
1,3,0,13,10,0.17,FALSE
1,0,0,17,17,0.02,FALSE
1,1,2,13,12,0.11,FALSE
2,1,1,19,16,0.09,FALSE
1,0,0,11,10,0.32,FALSE
1,1,0,12,14,0,TRUE
1,0,0,1,2,0,FALSE
1,0,0,4,3,0,FALSE
1,0,0,5,5,0,FALSE
4,4,16,27,24,0.36,FALSE
1,0,0,4,3,0.14,FALSE
1,0,0,13,13,0.23,TRUE
1,0,0,6,5,0,FALSE
1,1,1,14,13,0.36,FALSE
1,0,0,9,8,0,FALSE
1,0,0,4,3,0.14,FALSE
1,0,0,4,3,0.14,FALSE
1,0,0,35,43,0.45,FALSE
1,0,0,4,3,0,FALSE
1,0,1,26,30,0.54,TRUE
1,0,0,21,20,0.21,TRUE
1,0,1,11,9,0.17,FALSE
1,0,0,6,4,0,FALSE
1,0,0,41,38,0.02,FALSE
1,0,0,13,10,0,TRUE
5,1,2,59,59,0.22,TRUE
1,0,0,10,8,0.62,FALSE
4,1,1,53,53,0.11,FALSE
4,2,2,114,108,0.1,FALSE
2,1,2,111,109,0.28,FALSE
1,0,0,24,22,0.17,TRUE
1,0,0,10,9,0,TRUE
1,0,0,17,16,0,FALSE
1,0,0,10,8,0.14,FALSE
1,0,0,27,31,0,FALSE
1,1,0,18,18,0.72,TRUE
6,4,5,39,44,0.24,FALSE
1,0,0,39,38,0.3,FALSE
2,0,3,18,19,0.72,FALSE
1,0,0,8,7,0,FALSE
3,4,2,51,45,0.08,TRUE
2,1,1,26,27,0.27,TRUE
6,8,8,165,60,0.12,TRUE
1,0,0,6,5,0,FALSE
1,0,0,7,7,0.41,FALSE
1,0,0,15,10,0,FALSE
1,0,0,7,6,0,FALSE
1,0,0,1,2,0,FALSE
1,0,0,16,8,0,TRUE
1,0,0,2,3,0,FALSE
4,1,0,6,4,0,FALSE
1,0,0,35,41,0.41,FALSE
1,0,0,3,1,0,FALSE
1,0,0,38,43,0.13,TRUE
1,0,1,26,18,0.49,TRUE
1,0,0,15,14,1.16,TRUE
1,1,1,48,49,0.24,TRUE
1,0,0,35,29,1.96,TRUE
1,0,3,25,25,0.23,FALSE
