@relation 'Apache2.0_golden-weka.filters.unsupervised.attribute.Remove-R1-2,63-weka.filters.unsupervised.attribute.Remove-R12,15,18-20,23-24,28,35-38,46-47,51,53-54-weka.filters.unsupervised.attribute.Remove-R31-33-weka.filters.unsupervised.attribute.Remove-R9-20,34-35-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R3'

@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute CountLineCodeDecl numeric
@attribute CountLineComment numeric
@attribute CountSemicolon numeric
@attribute MaxCyclomaticModified numeric
@attribute RatioCommentToCode numeric
@attribute isDefective {TRUE,FALSE}

@data
4,82,61,7,191,328,719,51,0.28,TRUE
0,0,0,0,0,16,0,0,0,FALSE
4,54,49,1,185,65,19001,26,0.04,TRUE
2,37,27,5,137,236,397,25,0.32,FALSE
1,21,9,3,13,40,20,5,0.73,FALSE
1,3,3,0,1,17,0,1,5.67,FALSE
1,4,4,0,2,15,2,1,3,FALSE
1,17,14,0,39,17,71,3,0.15,FALSE
1,19,14,5,45,98,85,8,0.61,FALSE
1,13,12,1,52,42,97,7,0.21,FALSE
3,44,31,9,34,89,94,14,0.48,TRUE
1,47,35,9,65,135,179,23,0.35,TRUE
1,58,36,18,8,51,23,5,1.42,FALSE
0,0,0,0,0,16,0,0,0,TRUE
7,48,45,0,18,29,81,16,0.21,FALSE
2,32,23,4,313,320,632,31,0.24,TRUE
3,44,24,12,23,60,36,7,0.85,TRUE
3,36,26,4,684,625,1312,36,0.21,TRUE
1,20,14,3,147,157,220,7,0.35,TRUE
1,94,84,0,3,40,46,22,0.48,FALSE
0,0,0,0,0,16,0,0,0,FALSE
0,0,0,0,0,16,0,0,0,FALSE
1,8,8,0,13,15,14,1,0.48,TRUE
1,10,9,0,19,15,18,2,0.35,FALSE
3,23,19,1,39,55,115,8,0.25,FALSE
1,89,49,12,3,30,16,10,0.61,FALSE
1,14,13,0,22,123,42,4,1.84,FALSE
1,33,26,2,57,45,232,30,0.12,TRUE
1,24,19,0,37,32,108,13,0.18,TRUE
2,54,39,7,44,120,175,23,0.34,TRUE
2,28,19,6,51,82,89,12,0.42,TRUE
4,57,40,10,348,709,901,37,0.34,TRUE
2,43,26,12,38,169,166,12,0.58,TRUE
8,93,72,1,27,23,111,23,0.1,FALSE
2,39,29,6,264,381,624,29,0.3,FALSE
1,13,9,0,18,26,4,1,0.96,FALSE
3,40,22,4,46,55,126,9,0.22,TRUE
1,13,10,1,26,25,45,6,0.29,FALSE
3,41,31,4,254,344,479,16,0.36,TRUE
2,36,22,5,113,148,212,21,0.29,TRUE
3,47,40,0,38,81,141,16,0.37,TRUE
4,100,53,5,34,59,194,25,0.19,TRUE
4,4294967289,21,1,72,35,97,10,0.17,FALSE
2,19,16,1,47,52,52,13,0.44,FALSE
2,23,19,2,129,62,144,14,0.17,TRUE
5,52,34,2,19,25,38,9,0.32,FALSE
4,4294967253,23,2,67,61,96,16,0.28,TRUE
2,24,16,2,58,68,46,11,0.54,FALSE
3,23,20,0,80,50,91,12,0.25,FALSE
3,39,30,3,258,357,572,32,0.27,TRUE
5,65,49,6,197,190,357,40,0.25,TRUE
4,65,54,6,274,324,747,72,0.19,TRUE
2,39,30,5,38,37,52,13,0.32,TRUE
2,56,36,15,123,293,279,50,0.48,TRUE
1,16,12,2,43,26,39,3,0.32,TRUE
