@relation 'zxing1.6_golden-weka.filters.unsupervised.attribute.Remove-R1-2,54-weka.filters.unsupervised.attribute.Remove-R12,15,20,24,31-32,37-40,45-weka.filters.unsupervised.attribute.Remove-R9-20,34-35-weka.filters.unsupervised.attribute.Remove-R1-3,5,7,9-21,23-26'

@attribute AvgEssential numeric
@attribute AvgLineBlank numeric
@attribute AvgLineComment numeric
@attribute RatioCommentToCode numeric
@attribute isDefective {TRUE,FALSE}

@data
1,0,1,0.8,FALSE
1,0,1,0.15,TRUE
1,1,0,0,FALSE
1,0,1,0.38,FALSE
1,0,1,0.09,TRUE
1,0,0,0.07,TRUE
2,3,1,0.14,FALSE
1,3,0,0.15,FALSE
1,3,0,0.17,FALSE
1,0,0,0.02,FALSE
1,1,2,0.11,FALSE
2,1,1,0.09,FALSE
1,0,0,0.32,FALSE
1,1,0,0,TRUE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
4,4,16,0.36,FALSE
1,0,0,0.14,FALSE
1,0,0,0.23,TRUE
1,0,0,0,FALSE
1,1,1,0.36,FALSE
1,0,0,0,FALSE
1,0,0,0.14,FALSE
1,0,0,0.14,FALSE
1,0,0,0.45,FALSE
1,0,0,0,FALSE
1,0,1,0.54,TRUE
1,0,0,0.21,TRUE
1,0,1,0.17,FALSE
1,0,0,0,FALSE
1,0,0,0.02,FALSE
1,0,0,0,TRUE
5,1,2,0.22,TRUE
1,0,0,0.62,FALSE
4,1,1,0.11,FALSE
4,2,2,0.1,FALSE
2,1,2,0.28,FALSE
1,0,0,0.17,TRUE
1,0,0,0,TRUE
1,0,0,0,FALSE
1,0,0,0.14,FALSE
1,0,0,0,FALSE
1,1,0,0.72,TRUE
6,4,5,0.24,FALSE
1,0,0,0.3,FALSE
2,0,3,0.72,FALSE
1,0,0,0,FALSE
3,4,2,0.08,TRUE
2,1,1,0.27,TRUE
6,8,8,0.12,TRUE
1,0,0,0,FALSE
1,0,0,0.41,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,TRUE
1,0,0,0,FALSE
4,1,0,0,FALSE
1,0,0,0.41,FALSE
1,0,0,0,FALSE
1,0,0,0.13,TRUE
1,0,1,0.49,TRUE
1,0,0,1.16,TRUE
1,1,1,0.24,TRUE
1,0,0,1.96,TRUE
1,0,3,0.23,FALSE
7,5,1,0.02,FALSE
1,1,0,0,FALSE
1,3,0,0.06,FALSE
1,1,0,0.05,FALSE
1,0,0,0.15,FALSE
1,1,0,0,FALSE
1,0,0,0.08,TRUE
1,0,0,0,FALSE
1,1,0,0,FALSE
1,0,0,0.13,FALSE
1,1,0,0,FALSE
1,1,0,0.17,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0.27,FALSE
1,0,0,0,FALSE
1,0,0,0.23,TRUE
1,0,0,0.57,FALSE
1,0,0,0,FALSE
1,1,0,0.12,FALSE
2,1,2,0.11,TRUE
1,0,1,0.16,FALSE
1,0,0,0.02,TRUE
1,0,0,0.04,TRUE
2,0,0,0.02,FALSE
1,3,2,0.11,FALSE
1,0,0,0.18,TRUE
1,0,1,0.28,TRUE
2,1,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,TRUE
1,0,0,0.03,TRUE
1,0,2,0.24,TRUE
1,0,0,0.09,TRUE
1,0,0,1.29,FALSE
1,0,0,0.02,TRUE
1,0,0,0,FALSE
4,0,0,0.03,FALSE
2,0,0,0,FALSE
1,0,0,0,TRUE
2,1,2,0.1,TRUE
1,0,0,0.01,FALSE
4,1,1,0.42,TRUE
1,0,0,0,FALSE
1,0,0,0.03,TRUE
1,0,0,0,TRUE
7,0,6,0.21,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,1,0,0,FALSE
7,1,6,0.27,TRUE
1,0,1,0.13,FALSE
2,0,0,0,FALSE
2,0,1,0.08,FALSE
4,2,0,0.03,FALSE
1,0,0,0,TRUE
1,0,0,0,TRUE
1,0,0,0,FALSE
1,0,0,0,TRUE
1,0,0,0.02,FALSE
4,5,14,0.49,FALSE
1,1,0,0.05,TRUE
1,0,0,0.55,FALSE
6,2,3,0.1,FALSE
1,1,0,0.03,TRUE
2,0,0,0.04,FALSE
2,0,0,0.32,FALSE
1,0,0,0,TRUE
1,0,0,0.08,FALSE
1,0,0,0,TRUE
1,1,0,0.13,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,2,0,0,FALSE
1,3,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,TRUE
1,0,0,0,TRUE
1,0,1,0.08,FALSE
1,1,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,1,0,0.1,TRUE
1,0,0,0,FALSE
2,0,0,0,FALSE
1,0,2,0.22,TRUE
1,0,0,0.31,FALSE
1,0,0,0.43,FALSE
1,0,0,0.27,TRUE
2,1,2,0.18,TRUE
4,0,1,0.03,FALSE
1,0,1,0.05,FALSE
1,0,0,0.06,FALSE
1,0,0,0,TRUE
1,0,0,0.45,FALSE
3,1,1,0.14,FALSE
4,0,0,0.13,FALSE
1,0,0,0,FALSE
1,0,0,0.18,FALSE
1,0,0,0.07,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,2,0,0,FALSE
1,0,0,0.54,TRUE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,1,2,0.13,FALSE
1,0,0,0,TRUE
1,1,0,0,FALSE
5,4,0,0.04,FALSE
3,1,3,0.31,TRUE
3,0,4,0.19,TRUE
2,0,0,0.2,FALSE
1,0,0,0.12,TRUE
2,0,0,0.06,FALSE
1,1,6,0.42,TRUE
1,0,0,0,TRUE
1,0,1,0.11,TRUE
1,0,1,0.13,FALSE
1,1,0,0.04,FALSE
1,0,0,0.12,FALSE
1,0,0,0.13,TRUE
1,0,2,0.14,FALSE
1,1,2,0.13,FALSE
1,0,0,0.02,TRUE
1,0,0,0.31,FALSE
2,0,0,0.46,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,1,0.1,FALSE
4,4,3,0.34,FALSE
1,2,0,0,FALSE
2,0,0,0.04,TRUE
1,0,0,0.5,FALSE
1,0,0,1.5,FALSE
1,0,0,0.02,TRUE
1,0,0,0.05,TRUE
1,0,0,0.02,FALSE
1,1,1,0.32,FALSE
0,0,0,0.14,TRUE
1,0,0,0,FALSE
1,0,1,0.09,TRUE
1,1,1,0.11,TRUE
1,0,0,0,FALSE
2,0,1,0.09,TRUE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0.25,FALSE
2,1,0,0.03,FALSE
1,0,0,0.54,FALSE
0,0,0,0,FALSE
1,0,2,0.36,TRUE
1,0,0,0,FALSE
1,0,0,0,TRUE
1,0,0,0.12,FALSE
1,0,0,0.05,TRUE
1,0,1,0.13,FALSE
2,0,1,0.1,FALSE
2,0,0,0,FALSE
1,0,0,0,FALSE
2,0,2,0.12,TRUE
1,3,0,0,FALSE
1,0,1,0.23,TRUE
1,0,0,0,TRUE
1,0,0,0,TRUE
1,1,0,0.01,FALSE
4,1,3,0.42,FALSE
1,0,0,0.02,TRUE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0.09,FALSE
1,0,0,0.18,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,1,0.11,TRUE
1,0,0,0.01,FALSE
1,0,0,0.02,TRUE
1,1,1,0.33,FALSE
1,0,0,0,FALSE
3,3,0,0.04,FALSE
1,0,0,0,TRUE
1,0,0,0,TRUE
1,0,0,0.07,FALSE
1,0,0,0,FALSE
2,0,0,0.04,TRUE
1,0,0,0,FALSE
2,0,0,0,FALSE
2,0,0,0.01,FALSE
1,0,0,0,FALSE
1,0,0,0,TRUE
1,0,0,0.52,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,TRUE
1,0,0,0.41,FALSE
1,0,0,0,FALSE
1,1,1,0.05,TRUE
1,0,0,0.07,FALSE
1,0,1,0.63,TRUE
1,0,1,0.12,TRUE
1,0,0,0.23,FALSE
1,0,0,0.41,TRUE
1,0,0,0,FALSE
1,0,1,0.32,FALSE
1,0,0,2.25,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,1,0.24,FALSE
1,0,0,1.58,FALSE
1,0,0,3.4,FALSE
1,0,0,3.27,FALSE
1,0,0,0.04,FALSE
1,1,1,0.15,TRUE
1,0,0,0,FALSE
1,0,0,0,FALSE
2,1,0,0.11,TRUE
1,0,0,2.42,TRUE
1,0,0,1.25,FALSE
1,0,0,1,FALSE
1,0,0,0.21,FALSE
1,0,0,0,FALSE
1,0,0,0.8,FALSE
1,1,0,0.04,TRUE
1,0,0,0,TRUE
1,0,0,0,TRUE
3,0,0,0.09,FALSE
1,0,0,0.03,FALSE
1,0,0,0.02,FALSE
1,0,0,0.03,TRUE
1,0,0,0,TRUE
1,0,0,0,FALSE
1,0,0,0.07,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,3,1,0.23,TRUE
1,0,0,0,FALSE
1,0,1,0.08,TRUE
3,0,0,0.02,TRUE
3,1,1,0.07,TRUE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0.03,FALSE
1,0,0,0.05,FALSE
1,0,0,0.03,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,TRUE
2,0,0,0,FALSE
1,0,0,0,TRUE
1,0,0,0,FALSE
1,0,1,0.1,FALSE
1,2,5,1.62,FALSE
2,0,0,0.13,FALSE
1,1,0,0.08,FALSE
1,1,3,0.28,FALSE
1,2,2,0.36,FALSE
4,0,1,0.21,TRUE
1,0,0,0,FALSE
1,0,0,0,TRUE
1,0,0,0,TRUE
1,1,0,0.07,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0.52,FALSE
1,0,0,0,FALSE
1,0,0,0.09,TRUE
2,0,2,0.24,FALSE
2,0,2,0.49,FALSE
1,0,0,0,FALSE
3,1,0,0.03,FALSE
3,1,0,0.01,FALSE
1,0,1,0.14,FALSE
2,0,5,0.38,FALSE
1,1,2,0.32,TRUE
2,1,5,0.23,FALSE
2,2,2,0.32,TRUE
1,1,2,0.63,TRUE
1,0,0,0,FALSE
1,0,0,0.16,FALSE
1,0,0,0.16,FALSE
1,0,1,0.15,TRUE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,1,0,0,TRUE
2,3,3,0.65,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,5,0.24,FALSE
1,0,0,0,FALSE
2,3,3,0.37,TRUE
1,0,0,0,FALSE
1,0,0,0,TRUE
1,1,1,0.07,FALSE
2,1,0,0.04,FALSE
3,1,4,0.61,FALSE
1,2,3,0.08,FALSE
2,0,4,0.25,TRUE
1,0,0,0,FALSE
2,1,1,0.3,TRUE
1,2,2,0.24,TRUE
