@relation data/M_multi_metrics_ML.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R61-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R48-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R34-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_fanIn numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute class {buggy,clean}

@data
1,0.024845,0,0.002216,0.018552,0.017874,1.49003,0,0,0,0,0,0,1.01,0.121386,0,0,3,31,0,2,5,0,0,28,0,0.020286,3,0,1.04,0,1.02,0,0.002801,36,6,clean
0,0,0,0.278898,0,0,19.681,0,0,0,4,1,0,0,9.58032,0,0,10,85,0,1,4,0,0,1,0,0.016626,2,2,0,0,2.02,0.013098,0.009791,9,1,buggy
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,9,1,buggy
0,0.056522,0,0.013173,0.001171,0.001505,10.6655,0,0,0,0,1,0,1.01,9.40365,0,0,1,51,0,1,10,0,0,91,0,0.006192,6,1,1.02,0,2.04,0,0.009791,18,14,clean
0,0.01056,0,0.042989,0,0,8.10051,0,0,0,0,1,0,0,9.29601,0,0.0025,3,74,7,1,11,0,0,91,2.07,0.004371,1,1,0,0,5.31,0.022584,0.016354,31,12,clean
0,0,0,0.003364,0,0,5.22331,0,0,0,0,0,0,0,9.18542,0,0,1,10,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,clean
0,0,0,0.013012,0,0.045459,12.3488,0,0,0,0,0,0,1.01,9.47392,0,0,3,34,1,2,2,0,0,1,0,0.061181,1,0,0,0,2.02,0.074547,0.009791,17,1,clean
0,0.00682,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,25,0,1,2,0,0,3,0,0.003043,0,0,0,0,2.06,0,0.009791,32,3,clean
1,0,0,0.008067,0,0,11.6328,0,0,0,0,1,0,0,9.41034,0,0,1,18,0,1,0,0,0,3,0,0.004154,0,1,0,0,0,0,0,0,2,clean
0,0,0,0.012142,0,0,2.02245,0,0,0,0,0,0,0,0.050459,0,0,2,44,0,1,0,0,1.01,6,0,0,3,0,0,0.001502,3.15,0.007324,0.012592,0,4,clean
0,0.002888,0,0.001339,0,0,4.46389,0,0,0,0,0,0,0,9.17814,0,0,0,23,8,4,2,0,1.01,6,0,0.003043,0,0,0,0.002921,4.09,0,0.014863,47,2,clean
0,0,0,0.000511,0,0,1.49003,0,0,0,0,0,0,0,0.121386,0,0,0,6,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,clean
0,0.003678,0,0.000949,0,0,1.84703,0,0,0,1,0,0,0,9.09329,1.01,0,2,21,0,2,2,0.006499,0,21,0,0,1,0,0,0,1.01,0,0.005924,15,7,clean
0,0.00224,1.01,0.171286,0.001852,0.004675,3.39585,0,2.18,1,0,0,0.000977,4.05,0.099537,0,0,5,12,13,3,2,0,0,6,1.02,0.003744,13,0,2.07,0,1.04,0.004082,0.000497,75,4,clean
