@relation 'ivy-1.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-17'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0,1,3,0,0,0
0,0,0.571429,8.571429,2,1,0
0,0,0.444444,24.428571,1,0.7143,1
0,0,0.145062,16.666667,8,1.8519,0
0,0,1,7,0,0,0
0,1,0.5,4.6,2,0.8,0
0,1,0.313725,30.166667,11,2.0556,0
0,1,0.5,4.6,2,0.8,0
0,1,0.625,9,1,0.5,0
0,1,0.316667,17,2,1,0
0,0,0.346154,21.461538,4,1.8462,0
0,0,1,0,1,1,0
0,0,0.166667,33.1,5,1.75,0
3,0,0.666667,4,1,0.6667,0
0,0,0.833333,8,1,0.6667,0
0,2,0.147826,25.130435,4,1.8261,0
5,1,0.177273,11.6,3,1.2,1
0,0,0.487179,13.307692,3,1.0769,0
0,1,0.238095,11.25,1,0.75,1
0,0,1,6,0,0,0
0,0,1,0,1,1,0
0,0,0.416667,69.333333,4,1.6667,0
0,0,0.181818,14.888889,3,1.6667,0
0,0,0.666667,7.6,2,1.2,0
0,0,0.464286,16.714286,3,1.8571,1
5,1,0.205882,36.055556,10,2.1111,1
0,0,0.371429,14.657143,3,1.0286,1
0,1,0.75,5.5,1,0.5,0
0,0,0.666667,0,1,1,0
3,1,0.583333,8,1,0.6667,0
0,0,0.3,94.7,25,3.7,0
0,0,1,0,1,1,0
0,1,0.55,17.6,2,0.9,0
0,2,0.233333,8.6,4,1.05,0
0,0,0.55,13.333333,4,1.1667,0
0,0,0.666667,5.5,2,1,0
0,3,0.75,8.333333,1,0.3333,0
0,0,0.472222,4.583333,1,0.9167,0
0,0,0.226337,31.642857,22,2.4643,0
0,0,0.666667,3.333333,1,0.6667,0
0,0,0.291667,171.285714,4,2.4286,0
2,1,0.65,5.3,2,1,0
0,1,0.555556,5,1,0.6667,0
0,1,0.5,5.5,1,0.5,0
0,0,1,7,0,0,0
1,1,0.166667,20,8,1.8182,0
0,1,0.433333,7.2,2,1,0
0,0,0.533333,27.2,5,2.4,0
0,0,0.276786,30.428571,1,0.9286,0
0,0,0.708333,8.666667,1,0.9167,0
2,0,1,49.666667,1,0.6667,0
0,0,1,0,1,1,0
0,2,0.444444,24,1,0.6667,0
0,0,0.666667,5,1,0.6667,0
6,1,0.333333,3.777778,1,0.7778,0
2,0,0.761905,5.142857,1,0.8571,0
0,0,0.71875,23.75,2,1,0
0,0,0.75,0,1,1,0
0,1,0.5,7,1,0.75,0
0,0,0.333333,14.75,2,1.25,0
0,1,0.52,0.727273,1,0.9091,0
0,1,0.5,5.5,1,0.5,0
0,2,0.6,44,1,0.8,0
0,1,0.318182,4.909091,1,0.9091,0
5,1,0.444444,3.333333,1,0.8333,0
1,0,0.625,3,1,0.5,0
0,0,0.28125,11.6875,5,1.4375,0
0,0,0.5,0,1,1,1
0,0,0.363636,9.590909,1,0.9545,0
0,1,0.428571,4.428571,1,0.8571,0
0,1,0.833333,13,2,0.75,0
