@relation 'KC1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.248n-0.247total_Op-0.246total_Opnd-0.246v-0.243lOCode... numeric
@attribute 0.674l-0.332uniq_Op+0.286t+0.286e+0.259locCodeAndComment... numeric
@attribute -0.766locCodeAndComment-0.525lOComment-0.144lOBlank+0.124e+0.124t... numeric
@attribute -0.563lOComment+0.532locCodeAndComment-0.409l-0.236lOBlank-0.189i... numeric
@attribute 0.522i-0.382lOComment-0.366ev(g)+0.281uniq_Opnd+0.247l... numeric
@attribute '-0.461l+0.38 t+0.38 e-0.363ev(g)-0.345uniq_Op...' numeric
@attribute 0.628lOBlank+0.359uniq_Op-0.345iv(g)+0.332d-0.238i... numeric
@attribute defects {false,true}

@data
0.347693,3.88413,-2.020108,-0.164833,1.51523,-0.144533,0.473374,false
1.028442,2.716194,-0.893828,-0.302682,1.066937,0.289008,0.249992,true
-6.697489,-1.013935,-0.495939,-1.522798,-1.347611,0.099711,-0.67699,true
-4.736009,-0.783727,0.685131,0.073623,-0.390617,-1.297797,-0.445978,true
-0.35099,-0.96982,0.216412,0.280044,0.081655,-0.093664,0.050476,true
-2.227826,-1.302646,-0.121374,-0.596164,0.968627,0.149046,-0.01627,true
-3.565652,-1.039438,0.408178,-0.213783,0.714289,0.094245,-0.662901,true
-7.282617,-0.2851,1.346839,0.225973,-0.011112,0.378213,-1.01796,true
-3.491351,-0.978852,0.472333,-0.09541,0.658899,0.129782,-0.754011,true
-4.011766,-0.982434,0.627862,0.030084,0.542491,-0.007707,-0.716132,true
-5.545502,-0.804076,0.94431,0.043123,0.61044,0.0872,-0.810342,true
-4.39377,-1.14297,-0.002707,-0.666892,0.233621,0.388606,0.14444,true
-10.80989,-0.539121,-0.857073,-2.789907,-0.444919,1.205526,0.317801,true
-0.914708,-0.969893,0.456321,0.443739,0.308626,-0.142328,-0.378328,true
-10.402889,1.091489,1.669379,0.403789,-3.767779,-1.970684,-1.743572,true
1.650638,-0.222665,0.047732,0.194782,-0.008951,0.132235,0.028016,true
0.341797,-0.821924,0.087479,0.025601,0.623197,-0.062037,-0.228728,true
-8.867763,-0.887863,0.452556,-0.874885,0.638324,0.99848,2.502845,true
-0.160367,-1.108437,-0.046959,-0.451932,1.787518,-0.136739,-0.513716,true
0.997961,-0.369694,-0.101384,-0.267491,0.4987,0.099262,-0.218204,true
-0.083828,-0.948311,0.456514,1.024402,-0.762462,0.499272,1.041036,true
-1.843272,-1.218582,0.324328,0.073774,0.89379,0.06828,0.218752,true
-0.534222,-0.792694,0.342,0.456613,-0.487748,0.058111,0.192672,true
-1.182961,-0.144706,0.786485,0.974567,-1.330759,-1.279341,-0.57213,true
-11.317175,-0.238485,-2.33044,-4.353406,-2.544461,2.137441,-1.694401,true
-1.32961,-1.051049,0.403573,0.401937,0.009571,-0.084719,0.071551,true
-1.136144,-1.018281,0.440088,0.510405,-0.067916,-0.102821,-0.048041,true
0.843291,-0.58823,0.030681,0.219998,-0.356762,0.155396,0.341731,true
-2.331677,-1.1546,0.10761,-0.155976,0.613152,0.386459,0.042422,true
-9.756506,0.094949,2.107922,0.761939,-1.170153,-1.766456,-0.313603,true
-3.296232,-1.366918,-0.173157,-0.821684,1.245174,0.423647,0.010322,true
-4.400221,-1.221219,0.375607,-0.260821,1.560595,0.805762,0.531592,true
-6.297404,-1.229416,0.128696,-1.185674,1.492099,0.469999,-0.320035,true
-7.695524,-0.373499,0.763739,-0.332365,0.292187,0.913675,0.25094,true
1.274993,-0.248785,-0.252173,-0.354636,0.072783,0.243067,0.221585,true
1.335764,-0.234066,-0.211118,-0.288287,0.116612,0.235909,0.062278,true
-6.620255,-0.736578,0.146221,-0.901003,-0.553299,0.486248,-0.236481,true
-2.024962,-1.017827,0.383565,0.2571,-0.056282,-0.699872,-0.495612,true
-2.561304,-1.320751,0.426594,-0.133685,1.372564,-0.428218,-1.172941,true
-2.452058,-1.286043,0.389226,-0.131514,1.148217,-0.405229,-0.940964,true
-0.706961,-1.06526,-0.13986,-0.106641,0.116083,0.329711,0.204782,true
-1.223357,-1.343902,0.119977,-0.263285,1.290609,-0.375629,-0.163114,true
-2.713614,-0.955513,0.596219,0.061007,0.509329,-0.301141,-0.894463,true
-2.906697,-0.992586,0.563256,-0.038205,0.571844,-0.287539,-0.755469,true
1.678623,-0.119473,0.047905,0.083771,0.150199,0.101595,-0.052587,true
-6.432722,-0.301654,0.847216,-0.085015,-1.278823,-0.914652,-1.144804,true
0.872274,-0.760931,-0.359466,-0.197656,-0.10489,0.230528,0.298567,true
-0.642958,-1.067921,0.236276,0.204422,0.449343,-0.139309,-0.205151,true
1.738985,0.065895,0.049967,-0.058709,0.283005,0.038977,-0.119353,true
1.01797,-0.625363,0.060196,0.167708,0.444227,0.191135,-0.148974,true
-3.052898,-0.935856,0.662445,0.1913,0.008897,-0.198179,0.152164,true
-14.591464,0.22264,0.998626,-1.338293,-1.177153,-0.586752,1.702694,true
-1.441084,-1.326591,0.466505,0.446275,0.600319,-0.39864,-0.190063,true
-4.5413,-1.513805,0.314708,-0.739661,2.204672,0.03518,-0.201575,true
-0.318652,-1.201654,0.057337,-0.225818,1.777933,-0.024892,-0.46088,true
-3.493409,-1.237035,0.568175,0.538444,-1.047523,-1.248267,1.755619,true
0.065558,-0.933387,0.358945,0.644341,-0.120565,-0.170068,0.034944,true
1.190185,-0.625037,0.034227,0.29463,-0.001072,0.227288,0.221513,true
-0.549058,-1.110866,0.038522,-0.18975,0.967571,-0.034876,0.017643,true
-9.537308,-0.672402,1.390639,-0.192772,1.165203,0.768639,0.964373,true
-6.264937,-1.321206,0.754314,-0.056307,0.539728,-0.030288,0.898738,true
0.891897,-0.867666,0.256688,0.84122,-0.635373,0.062643,0.406996,true
0.949019,-0.646754,0.129498,0.294884,0.245108,0.07838,-0.076489,true
-2.220616,-1.358988,0.420957,0.534377,-0.324562,-0.281032,0.829929,true
1.352645,-0.161234,0.015766,-0.26432,0.824402,-0.125829,-0.350957,true
0.239792,-0.201485,-1.942792,2.24108,-0.026329,-0.20446,0.516788,true
1.927504,-0.045417,0.071004,0.283676,-0.252279,0.344882,-0.011262,true
0.951515,-0.585928,-0.149104,-0.07218,0.095354,0.121606,-0.019194,true
2.013919,0.06263,0.076423,0.245019,-0.266372,0.219683,0.075381,true
1.061111,-0.278988,-0.226001,-0.311691,-0.001215,0.076139,-0.484811,true
1.340419,-0.428728,0.126562,0.380174,-0.133129,0.194508,-0.0446,true
2.216014,0.560433,0.087748,-0.03337,-0.143424,0.105917,0.023085,true
0.737089,-0.75903,-0.007657,0.255637,-0.192689,0.048328,-0.059852,true
-2.959771,-1.767321,-1.252451,-2.258373,0.975022,0.048828,1.123304,true
