@relation 'CM1-weka.filters.unsupervised.attribute.Remove-R1-2,4-6,8-12,16-21'

@attribute ev(g) numeric
@attribute l numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute defects {false,true}

@data
1.4,1.3,2,2,2,false
1,1,1,1,1,true
1,0.11,1,0,6,false
4,0.06,0,0,3,false
6,0.06,0,0,3,false
6,0.06,0,0,3,false
1,0.5,0,0,1,false
1,0.16,0,0,7,false
5,0.07,12,16,13,false
3,0.04,8,35,22,false
5,0.05,11,28,16,false
1,0.11,2,4,4,false
5,0.04,10,17,23,false
5,0.04,10,17,23,false
1,0.04,2,15,40,false
1,0.07,3,20,23,false
1,0.11,6,5,8,false
1,0.25,1,1,2,false
1,0.09,2,0,19,false
1,0.25,1,1,0,false
1,0.08,0,0,1,false
1,0.23,0,0,0,false
1,0.21,0,0,0,false
1,0.07,0,0,1,false
1,0.07,0,0,1,false
1,0.33,0,0,0,false
1,0.4,0,0,0,false
1,0.05,11,30,7,false
1,0.02,5,95,33,false
6,0.02,63,31,134,false
1,0.07,4,5,9,false
27,0.01,37,191,164,false
7,0.03,3,48,27,false
1,0.04,0,10,4,false
1,0.1,0,0,5,false
3,0.05,4,5,7,false
1,0.14,2,24,16,false
1,0.09,3,8,15,false
1,0.08,5,44,42,false
1,0.07,2,16,19,false
4,0.07,5,10,19,false
1,0.04,5,19,15,false
1,0.04,3,18,13,false
1,0.03,2,20,14,false
4,0.05,5,32,26,false
3,0.07,0,34,17,false
1,0.14,0,3,3,false
1,0.13,2,2,12,false
1,0.38,1,2,0,false
1,0.07,4,28,39,false
1,0.04,4,31,77,false
1,0.13,0,23,55,false
1,0.05,1,8,12,false
1,0.06,3,47,40,false
1,0.13,1,20,13,false
1,0.18,0,6,7,false
1,0.07,0,8,7,false
1,0.27,1,6,3,false
1,0.07,2,2,9,false
1,0.05,2,12,12,false
5,0.07,10,9,23,false
1,0.1,0,3,3,false
1,0.1,0,3,3,false
1,0.09,0,0,3,false
1,0.29,0,4,0,false
1,0.05,0,17,6,false
1,0.08,1,11,8,false
5,0.04,0,8,17,false
1,0.06,0,39,14,false
4,0.04,2,14,10,false
1,0.02,3,13,22,false
1,0.04,0,11,10,false
1,0.14,0,0,0,false
1,0.05,9,14,39,false
1,0.16,0,2,5,false
1,0.11,10,6,9,false
1,0.16,0,4,4,false
1,0.1,0,0,3,false
1,0.11,0,13,5,false
3,0.06,3,5,22,false
4,0.06,3,15,19,false
1,0.5,0,1,5,false
1,0.06,2,28,12,false
1,0.4,0,1,2,false
1,0.16,0,2,6,false
1,0.14,1,5,5,false
1,0.12,0,5,3,false
1,0.4,0,1,2,false
3,0.08,0,6,5,false
1,0.17,0,2,5,false
1,0.08,0,6,5,false
1,0.21,0,0,4,false
1,0.14,0,0,5,false
1,0.08,0,8,6,false
1,0.29,0,1,4,false
1,0.04,2,30,21,false
1,0.4,0,1,2,false
1,0.33,0,0,2,false
1,0.29,0,0,2,false
1,0.13,0,0,7,false
1,0.12,0,0,7,false
1,0.1,0,1,13,false
7,0.02,45,13,53,false
1,0.05,3,3,12,false
1,0.08,4,0,10,false
6,0.02,1,6,6,false
1,0.07,0,0,7,false
1,0.07,0,0,6,false
8,0.04,0,5,3,false
1,0.18,0,0,0,false
1,0.33,0,0,0,false
1,0.38,0,0,3,false
7,0.02,13,55,24,false
12,0.02,33,58,2,false
1,0.09,0,11,1,false
1,0.11,0,3,1,false
1,0.11,0,3,2,false
1,0.12,0,2,2,false
10,0.03,20,119,26,false
1,0.02,13,50,21,false
1,0.13,0,1,4,false
8,0.03,7,39,5,false
1,0.3,0,0,0,false
1,0.09,0,9,2,false
1,0.09,0,3,5,false
