@relation 'poi-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,90,0.838141,0.9375,9,0.229167,0.275,1,6,18.25,2,0.95,1
1,14,164,0.842105,1,0,0,0.2375,0,0,5.95,2,1.05,0
1,0,86,0.673913,0.833333,3,0,0.183333,0,0,17.541667,5,1.7083,1
2,0,72,0.933333,0.333333,0,0.458333,0.46875,1,6,14.3125,2,0.875,1
2,0,4,0.8,0.6,0,0.583333,0.375,1,2,16.875,1,0.625,1
2,0,49,0.85,0.5,0,0.578947,0.522727,1,6,8.454545,2,0.8182,1
3,0,1,2,0,0,0.875,0.555556,0,0,7,2,1.3333,0
2,0,20,0.821429,1,4,0.416667,0.666667,1,1,31.875,1,0.875,0
1,0,6,0.787879,0,1,0,0.375,0,0,11.5,2,1,1
2,1,0,0.357143,1,0,0.823529,0.375,1,1,33.5,6,1.625,1
1,0,88,0.683333,0,1,0,0.21875,0,0,14.375,4,1.125,1
2,0,89,0.721088,0.857143,2,0.269231,0.233766,1,2,17.636364,5,1.0455,1
2,0,258,0.758333,0.8,0,0.333333,0.3,1,6,14.4,7,1.76,1
2,0,611,0.953972,0.5,14,0.157143,0.266129,1,6,20.580645,2,0.9677,1
2,0,79,0.785714,0.666667,0,0.478261,0.483333,1,6,15.533333,3,1.2,1
2,0,0,0.684211,0.833333,4,0.392857,0.36,1,6,14.75,2,0.9,1
1,0,0,2,0,0,0,0,0,0,0,0,0,0
2,2,0,0,1,1,0.64,0.55,1,2,4.2,1,0.9,1
2,0,54,0.818182,0.5,0,0.55,0.5,1,6,8.583333,2,0.8333,1
1,0,0,0.925951,0.4375,3,0,0.144928,0,0,14.322581,18,1.6559,1
