@relation 'ant-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4,7-9'

@attribute dit numeric
@attribute noc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
6,0,34,28,0.8125,166,1,0,0.950617,0.4,4,9,17.222222,2,1,1
4,0,37,4,0.714286,277,1,0,0.917647,0.46875,4,4,32.875,5,1.375,0
3,0,39,0,0.333333,200,1,0,0.925,0.5,1,1,48.5,1,0.75,0
3,0,77,69,0.826531,504,1,0,0.72549,0.233333,1,1,32.133333,6,1.4,0
3,0,37,41,0.696429,437,0.75,1,0.454545,0.311111,1,2,27.333333,1,0.8,0
1,0,1,0,2,1,0,0,0,1,0,0,0,1,1,0
3,0,56,119,0.882353,460,1,0,0.685185,0.377778,0,0,23.833333,13,2,0
3,0,7,1,2,23,0,0,0.969697,1,0,0,10.5,1,0.5,0
1,0,4,6,2,4,0,0,0,0.5,0,0,0,1,1,0
4,2,56,48,0.745455,757,1,4,0.836957,0.19375,3,7,45.625,14,2.5,0
3,0,21,0,0.625,144,1,0,0.860465,0.342857,1,1,19,5,1.4286,0
1,0,5,10,2,5,0,0,0,0.533333,0,0,0,1,1,0
3,0,21,0,0,146,1,0,0.948718,0.666667,0,0,47.333333,1,0.6667,0
1,0,1,0,2,1,0,0,0,1,0,0,0,1,1,0
5,0,17,0,0.777778,107,1,0,0.848485,0.47619,2,5,13.857143,5,1.2857,0
1,1,9,0,0,47,1,0,0,0.666667,0,0,14.333333,1,0.6667,0
4,0,33,0,0.6,511,1,0,0.939759,0.555556,1,1,83.5,1,0.8333,0
4,0,36,3,0.583333,246,1,2,0.795455,0.266667,1,3,23.2,7,2.3,0
3,0,67,130,0.84689,812,1,4,0.660714,0.25,1,1,39.05,25,3.05,0
1,0,1,0,2,1,0,0,0,1,0,0,0,1,1,0
3,0,96,286,0.592593,1047,0.5,1,0.545455,0.126984,2,5,36.321429,15,2.5357,0
5,0,26,0,0.571429,164,1,0,0.823529,0.375,2,5,19.125,4,1.125,0
3,0,16,0,0.333333,46,1,0,0.925,0.625,1,1,10.25,1,0.75,0
1,0,8,0,0,43,1,1,0,0.666667,0,0,6,1,0.8333,0
2,0,26,3,2,147,0,0,0.92,1,1,1,48,10,3.6667,0
5,0,23,0,0.761905,198,0.5,0,0.844444,0.35,1,4,23,6,2.25,0
2,0,15,0,0.333333,109,1,0,0.75,0.5,0,0,25.75,1,0.75,1
4,0,20,3,1.5,124,1,0,0.960784,1,2,3,40,8,3,0
4,0,82,83,0.960152,1238,1,1,0.821053,0.181818,2,2,66.055556,8,1.8333,1
1,0,3,3,2,3,0,0,0,0.666667,0,0,0,1,1,0
3,0,3,1,2,7,0,0,0.909091,0.75,1,1,2.5,1,0.5,0
1,0,17,0,0.25,196,1,0,0,0.666667,0,0,63,2,1,0
3,2,47,73,0.865079,452,1,1,0.72549,0.225,1,1,28.533333,12,1.8,0
1,0,1,0,2,1,0,0,0,1,0,0,0,1,1,0
4,0,24,3,1.5,163,1,0,0.960784,1,2,3,53,11,4,0
1,1,66,78,1.083333,476,0,0,0,0.207692,0,0,35.461538,2,1,0
1,0,21,6,2,91,0,0,0,0.75,0,0,21.75,4,1.5,0
1,0,60,145,0.648352,401,1,4,0,0.314815,0,0,13.592593,6,1.5185,0
5,0,19,1,0.52381,285,1,0,0.848485,0.47619,2,5,38.714286,4,1.1429,0
1,0,1,0,2,1,0,0,0,1,0,0,0,1,1,0
2,0,37,4,0.5,250,1,0,0.8,0.5,1,3,48.8,11,2.8,0
3,0,64,0,0.618182,581,1,0,0.770833,0.238095,0,0,47,20,3.4167,0
2,0,15,13,0.75,97,1,3,0.2,0.220779,0,0,7.272727,1,0.7273,0
5,2,83,142,0.78,799,1,5,0.862069,0.186508,3,7,36.571429,9,1.5238,0
4,0,56,24,0.7875,715,1,0,0.795918,0.285714,3,4,32.666667,16,2.1905,0
4,0,22,0,0,104,1,1,0.962264,0.5,2,2,33.333333,5,2,0
3,0,32,0,0.6,216,1,2,0.880952,0.333333,2,2,34.5,1,0.8333,0
1,0,42,130,0.736842,376,1,1,0,0.284211,0,0,17.45,3,1.15,0
3,0,15,0,0.833333,70,0.5,0,0.909091,0.583333,0,0,16,3,1.5,0
5,0,26,0,0.571429,167,1,0,0.823529,0.375,2,5,19.5,4,1.125,0
3,11,84,0,0.485714,302,1,1,0.513889,0.0875,2,2,7.333333,6,1.1944,0
3,1,87,217,0.870445,919,1,2,0.587302,0.212963,2,2,32.333333,13,1.7037,0
1,0,6,0,0.5,30,1,0,0,0.7,0,0,4.6,1,0.8,0
6,0,4,1,2,11,0,0,0.987179,0.666667,0,0,4.5,1,0.5,0
1,0,7,0,0,19,1,0,0,0.666667,0,0,5,1,0.6667,0
3,0,20,21,0.6,130,1,0,0.804348,0.4,1,1,11.5,1,0.9,0
1,0,23,4,0.333333,174,1,0,0,0.583333,0,0,42,3,1.25,0
2,0,12,3,2,40,0,0,0.857143,0.666667,0,0,12.333333,1,0.6667,0
1,1,11,4,0.25,54,1,0,0,0.533333,0,0,9.6,1,0.6,0
5,0,57,22,0.583333,298,1,1,0.869919,0.264706,4,7,16.352941,4,1.2353,0
1,0,24,15,1,116,0,0,0,0.3,0,0,18.166667,2,1,0
3,0,41,14,0.791667,334,1,0,0.822222,0.355556,1,1,35.444444,11,2,1
3,0,24,9,0.8,231,0.5,0,0.880952,0.266667,1,1,37.166667,1,0.8333,1
5,0,22,0,0.555556,150,1,0,0.848485,0.47619,2,5,20,4,1.1429,0
2,0,13,1,2,66,1,0,0.958333,1,0,0,31.5,1,0.5,0
5,0,18,0,0.555556,113,1,0,0.848485,0.47619,2,4,14.714286,4,1.1429,0
1,8,92,81,0.71256,899,1,9,0,0.230159,0,0,45.105263,30,4.2632,1
2,0,16,0,0.333333,59,1,0,0.842105,0.875,1,1,13.5,5,1.75,0
1,0,66,348,0.810714,567,0.9,2,0,0.317241,0,0,18.206897,11,1.3793,0
4,9,7,4,0.666667,22,1,1,0.928571,0.5,0,0,4.25,1,0.5,0
1,0,1,0,2,1,0,0,0,1,0,0,0,1,1,0
1,3,38,80,0.87619,334,0.857143,0,0,0.285714,0,0,19.4375,8,1.6875,0
3,0,38,84,0.674074,541,1,2,0.580645,0.25,2,8,32.25,1,0.8125,0
1,0,1,0,2,1,0,0,0,1,0,0,0,1,1,0
4,0,4,0,0,16,1,1,0.9375,0.666667,1,1,6.5,1,0.5,0
