@relation 'poi-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-9,11,14,16,19-20'

@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,128,0.948864,0.363636,3,0.352,6,15.28,1
0,138,0.84689,0.909091,7,0.225,2,15.25,1
0,235,0.924242,0.444444,0,0.289855,5,15.086957,1
0,159,0.702381,0.75,0,0.266234,6,13.590909,1
0,6,2,0,0,0.666667,0,4,1
0,9,0.833333,1,5,0.571429,0,22.857143,1
0,37,0.833333,0.833333,2,0.375,2,9.357143,0
0,49,0.933333,0.333333,0,0.522727,6,8.454545,0
0,43,0.85,0.5,0,0.522727,6,9.454545,1
0,0,0,1,2,0.5625,0,121,1
0,120,2,0,0,0.53125,0,5.5625,1
0,43,0.717949,0.666667,0,0.517857,6,23.5,1
0,43,0.85,0.5,0,0.418182,6,9.454545,0
0,10,1,1,0,0.6,2,2.4,1
0,49,0.933333,0.333333,0,0.522727,6,8.363636,0
0,32,0.75,0.5,0,0.253968,0,118.666667,1
0,24,0.863636,1,0,0.214286,0,25.25,0
0,10,2,0,0,0.5,0,9,0
0,39,0.772727,0.875,4,0.356522,6,15.26087,1
0,0,2,0,0,1,0,0,0
0,0,0.571429,1,2,0.458333,0,15.375,0
0,24,0.9375,0.75,0,0.416667,2,3.888889,1
0,3,2,0,0,0.333333,0,36.333333,0
0,49,1,0.2,0,0.522727,6,8.454545,1
0,4,0.7,0.8,3,0.376471,6,13.529412,1
0,6,2,0,0,1,0,0,0
0,9,0.8,1,0,0.666667,0,34.833333,1
0,0,2,0,0,1,0,0,0
0,198,0.921429,0.857143,0,0.361905,4,9.809524,1
0,0,0.222222,1,1,0.4375,1,30.5,0
0,4,0.333333,0,0,0.416667,0,19.25,0
0,43,0.85,0.5,0,0.522727,6,9.454545,1
0,43,0.85,0,0,0.418182,6,9.454545,0
0,49,0.933333,0.333333,0,0.522727,6,8.454545,0
0,0,2,0,0,0,0,0,0
0,21,2,0,0,0.4,0,0,1
0,115,0.858553,0.9375,9,0.277778,6,16.461538,0
0,0,1,0.066667,1,0.304762,0,5.761905,1
0,2,0.6875,0.75,0,0.527778,6,14.666667,1
0,28,1.142857,0,0,0.40625,2,5.75,1
0,10,1.25,0.5,0,0.6,2,2.2,1
3,4,0.5,1,0,0.6,0,4.6,1
0,141,0.814815,0.833333,0,0.307018,6,12,1
0,0,0.25,1,0,0.311111,1,31.444444,0
0,2,0.75,1,2,0.36,0,5.4,0
3,257,0.958418,1,14,0.2,0,20.233333,1
0,4,0.333333,1,0,0.333333,0,10,0
0,72,0.916667,0.5,0,0.519231,5,15.846154,1
0,3214,0.981195,0.483146,34,0.313684,6,13.46875,1
0,49,0.85,0.5,0,0.522727,6,8.454545,1
0,0,0.25,1,0,0.666667,0,24.333333,1
0,43,0.85,0.5,0,0.522727,6,9.454545,1
0,43,0.85,0.5,0,0.418182,6,9.363636,1
0,43,0.85,0.5,0,0.418182,6,9.363636,1
0,4,0.833333,1,1,0.4,1,25.5,0
0,9,0.722222,1,0,0.166667,0,93.285714,1
0,1888,0.880784,0.882353,8,0.108571,0,28.355263,1
0,0,2,0,0,1,0,0,0
0,1,2,0,0,0.666667,1,3.5,0
0,0,0.2,1,0,0.166667,0,43.166667,1
0,3,2,0,0,0.583333,0,39.333333,1
0,193,0.879348,0.95,12,0.32766,6,16.787234,1
0,66,0.777778,0.666667,0,0.333333,6,12.230769,1
0,0,0.723077,0.8,2,0.183761,0,19.296296,1
0,479,0.898649,0.9375,6,0.335135,6,12.684211,0
0,217,0.864,0.9,3,0.352,6,11.730769,1
