@relation 'xalan-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,16-20'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute bug {1,0}

@data
0,1.428571,0,0,1,1
0,0.5,1,1,0.333333,0
0,0.875,0.5,1,0.208333,1
0,0.855967,0.888889,5,0.196296,1
0,2,0,0,0.5,1
2,0.733333,0.4,2,0.180108,1
0,2,0,0,0,0
9,2,0,0,0.5,1
0,1.423077,0,0,1,0
2,0.966051,0.913043,4,0.073443,1
0,1.2,1,0,0.5,1
2,2,0,0,0.5,0
0,0,1,1,0.666667,0
0,1,1,0,0.4,0
0,2,0,0,0.153846,0
2,0.88172,1,2,0.180556,1
0,0.285714,0,0,0.34375,0
0,0.458333,1,1,0.285714,0
0,0.520833,0.5,1,0.253333,1
0,0.142857,0.928571,9,1,0
0,0.416667,1,0,1,1
1,0.666667,0,0,0.307692,1
1,2,0,0,0.19107,1
0,1.3,0,0,1,0
0,2,0,0,1,1
0,0.40625,1,0,0.5,0
18,1.223684,0,0,0.416667,1
0,0.4,1,2,0.361111,1
0,2,0,0,0.466667,1
0,2,0,0,0.4,1
0,0,0,1,0.666667,0
5,0.912037,1,6,0.149691,0
0,1,0,0,0.181548,0
0,2,0,0,0.833333,0
0,2,0,0,0.555556,0
0,0.553571,1,1,0.383333,0
1,0.8,1,0,0.327273,1
0,2,0,0,0.666667,0
0,2,0,0,1,1
0,0.555556,0,1,0.28,0
0,0,0.75,3,0.444444,1
0,0.568182,0.6,1,0.175926,1
0,0.543478,1,0,0.316667,1
0,1.3,0,0,1,0
0,0.7375,0.85,12,0.151562,1
0,1,0,1,0.5625,0
0,2,0,0,0.533333,1
0,2,0,0,0.444444,1
0,2,0,0,0.666667,0
0,2,0,0,0.5,1
0,0.333333,1,2,0.305556,0
0,0.95,1,0,0.148218,0
0,0.694444,0,1,0.4,1
0,2,0,0,0.25,0
0,0.6875,1,0,0.555556,1
0,0.644444,1,2,0.3,1
0,2,0,0,0.333333,0
0,0.841667,1,1,0.114403,0
0,0.5,0,0,1,1
0,0.5,0,0,1,1
0,0.454545,1,1,0.533333,0
0,0.6,1,2,0.361111,0
0,0.425,1,0,0.515152,1
0,0.485714,1,2,0.34375,1
0,1.423077,0,0,1,0
0,2,0,0,0.75,1
0,0.166667,1,1,0.75,1
2,2,0,0,0.666667,0
0,2,0,0,1,1
0,2,0,0,0.55,0
0,2,0,0,1,0
0,0.964286,1,1,0.143939,1
0,0.111111,0,1,0.325,0
0,2,0,0,0.5,1
0,0.5,0,0,1,1
3,0.416667,1,2,0.357143,0
1,0.638889,0.666667,3,0.188034,1
1,0.541667,0.5,0,0.269231,1
0,1.095238,0,0,0.666667,1
0,2,0,0,1,0
0,0,1,1,0.428571,0
4,0.888889,1,2,0.288889,0
0,2,0,0,1,1
0,1.5,1,0,0.333333,0
0,2,0,0,1,0
5,0.333333,1,1,0.342857,1
0,2,0,0,0.833333,1
0,0.285714,1,1,0.270833,1
0,0.831481,1,3,0.214141,1
0,0.966667,0,0,0.190217,0
0,2,0,0,0.2,1
1,0.333333,0.666667,1,0.475,1
1,0.333333,1,1,0.5,0
0,2,0,0,0.5,1
0,1.125,0,0,0.555556,0
1,0.75,0,0,0.6,1
0,0.6,1,1,0.275,1
0,2,0,0,1,0
0,0.329412,1,0,0.685185,1
0,2,0,0,0.75,0
0,2,0,0,1,1
0,2,0,0,0.7,1
0,2,0,0,0.555556,0
0,2,0,0,0.555556,0
0,0.780488,1,0,0.226481,0
0,0,0,0,0.4,0
0,2,0,0,0.555556,0
3,0.878882,0.73913,4,0.15102,1
0,1.282051,0,0,0.5,0
0,0.416667,1,1,0.333333,0
0,2,0,0,0,0
0,2,0,0,0.5,1
0,2,0,0,0.666667,0
0,0.755102,0.785714,2,0.153101,1
1,0.884444,0.888889,6,0.22,1
0,0.5,1,0,0.4375,0
0,0,0,1,0.666667,0
0,0.578947,0,0,0.25641,1
0,0.333333,1,1,0.211538,0
0,0.941176,0,0,0.235294,1
0,0.839286,1,0,0.47619,1
0,0,1,1,0.285714,0
0,2,0,0,0.5,1
0,2,0,0,0.555556,0
11,0.821429,1,2,0.348148,1
0,0.428571,1,1,0.3,1
1,2,0,0,0.761905,0
0,0.5,1,1,0.36,1
1,0.422414,1,0,0.4,1
0,2,0,0,1,0
0,2,0,0,1,0
0,2,0,0,0.625,0
0,0.895408,0.828571,3,0.115288,1
0,0.59,1,0,0.261905,0
0,1,1,3,0.5,1
0,0.892857,1,1,0.152727,0
1,0.833333,1,0,0.375,0
0,0.214286,1,0,0.5,0
0,0.416667,0,0,0.182692,1
0,2,0,0,1,1
0,0.711111,0,5,0.4,0
0,2,0,0,1,1
0,0.5,0,0,1,1
0,0.733333,0,0,0.458333,1
0,0.583333,1,2,0.3125,0
10,1.24359,0,0,0.333333,1
0,0.5,0,0,1,1
0,2,0,0,0.75,1
0,0.269231,1,1,0.410714,0
0,0.640625,0.0625,1,0.242063,0
1,0.967949,0.769231,3,0.153846,0
3,0.714286,1,1,0.217172,1
0,0.861111,0.75,2,0.571429,0
0,0.447368,0,2,0.258333,0
0,2,0,0,0.75,1
0,0.083333,0,1,0.230769,0
0,0.62963,1,1,0.35,0
1,0.8,1,0,0.309091,0
0,2,0,0,0.666667,1
0,0,1,1,0.333333,0
0,2,0,0,0.75,1
2,2,0,0,1,0
0,0.333333,1,1,0.4,0
0,0.625,1,0,0.416667,1
0,0.5,0,0,0.555556,0
0,2,0,0,0.625,1
8,2,0,0,0.55,1
0,0.795322,0.888889,0,0.214286,1
0,2,0,0,0.6,1
0,0,1,0,0.666667,0
0,1,0,0,0.375,1
0,0.166667,0,1,0.367347,1
1,2,0,0,1,1
3,2,0,0,0.642857,0
0,2,0,0,0.6,0
0,0.757813,1,1,0.441176,0
0,0.962585,0.166667,2,0.328042,1
0,0.571429,1,0,0.325,0
0,0.583333,1,0,0.266667,0
0,0.361111,1,0,0.410256,1
0,0,1,1,0.5,0
0,2,0,0,0.75,1
0,2,0,0,1,0
0,0.6875,0.833333,0,0.291667,0
0,0.4,1,0,0.444444,1
0,2,0,0,0.6,1
0,2,0,1,1,1
0,2,0,0,0.75,0
0,0.458333,1,1,0.416667,1
0,0.833333,1,1,0.361111,0
0,0.809524,0.333333,1,0.619048,1
3,2,0,0,0.666667,0
0,0.833333,0,2,0.466667,1
0,2,0,0,0.6,0
4,0.166667,1,1,0.428571,1
4,0.375,0,1,0.355556,1
0,2,0,0,0.444444,0
0,0.680272,0.857143,4,0.180952,1
0,2,0,0,0.625,0
0,0.5,1,0,0.4,1
0,0.607143,1,1,0.321429,1
0,0,1,0,0.342857,0
0,0.586667,1,2,0.214815,1
0,0.55,1,4,0.361111,1
0,0.919872,0.576923,7,0.18018,1
0,2,0,0,0.75,1
2,0.993827,0.444444,1,0.157407,0
0,0.5,1,0,0.5,0
0,0,0,0,0.666667,1
0,2,0,0,1,0
0,2,0,0,0.75,1
2,0.919838,1,2,0.180871,1
0,2,0,0,0.75,0
0,0.765,1,4,0.210884,1
0,1.041667,0,0,0.34,0
0,0.75,0.5,1,0.25,1
0,0.5,1,0,0.325,1
0,0.903263,0.576923,0,0.142857,1
0,0.552632,1,0,0.875,1
0,2,0,0,1,0
0,0.642857,0,0,0.666667,1
23,0.931373,0.882353,4,0.128205,1
0,2,0,0,0.333333,0
0,2,0,0,0.6,0
8,0.851307,0.833333,4,0.145105,1
0,0.777778,1,0,0.375,0
0,2,0,0,0.555556,0
0,0.733333,1,0,0.333333,0
0,0.4375,1,3,0.4,0
2,1.0125,1,0,0.096708,0
19,0.807692,1,0,0.404762,1
0,0.833333,0,0,0.5,0
0,0.625,0.5,0,0.340659,0
0,2,0,0,1,0
0,0.794444,0,1,0.185185,1
0,0.948889,0.92,6,0.101604,1
0,2,0,0,0.555556,0
0,0,1,0,0.533333,0
0,0,0,0,0.285714,0
0,2,0,0,0.351852,0
0,2,0,0,0.75,1
0,0.125,1,1,0.197531,1
0,0.083333,1,1,0.306122,1
14,0.363636,1,2,0.21875,0
0,1.001916,0.333333,0,0.114224,1
2,1,0,1,0.122222,1
0,2,0,0,1,0
0,2,0,0,0.333333,0
0,0.9,1,1,0.305556,0
0,0.562963,0.8,0,0.285714,1
0,1,1,0,0.5,1
0,0.657143,1,0,0.35,0
0,0.75,1,2,0.18125,0
0,2,0,0,0.333333,0
0,0.5,0.5,0,0.150538,0
0,0.625,1,0,0.25,1
0,2,0,0,0.111111,1
0,0.833333,1,1,0.333333,1
0,2,0,0,0.666667,0
0,0.571429,0,1,0.3,1
0,2,0,0,0.555556,0
0,2,0,0,0.583333,1
0,0.875,0.5,1,0.44,1
0,0.4,1,1,0.305556,1
0,1.111111,0,0,0.4,0
3,0.25,1,2,0.366667,0
0,0.95,0,0,0.21645,0
0,2,0,0,0,1
0,0.826389,0.75,0,0.201923,0
0,0.833333,0.5,0,0.233333,1
0,1.022222,0,1,0.333333,1
0,0.5,0,0,1,1
0,0.333333,1,1,0.4,1
0,0.52381,0.833333,0,0.583333,1
0,2,0,0,0.555556,0
0,2,0,0,0.4375,0
0,0.7,0,0,0.722222,1
0,2,0,0,0.75,1
0,0.733333,0.777778,3,0.328571,1
0,1,0,1,1,0
1,0.342105,1,0,0.6,1
0,0.947368,1,0,0.25,1
1,0.5,1,0,1,1
0,0.083333,1,4,0.458333,0
7,0.95393,0.111111,0,0.112245,1
0,2,0,0,0.5,1
2,0.56,0,1,0.375,0
0,2,0,0,0.75,1
0,0.666667,1,0,0.5,0
0,0.65,0.4,0,0.4375,1
0,0.333333,1,0,0.333333,0
0,2,0,0,1,1
0,0.25,1,0,0.533333,1
10,0.998047,0,16,0.234375,0
0,0.634483,0.6,0,0.2,1
0,0.9,1,0,0.21875,0
0,2,0,0,1,1
0,1.285714,0,0,0.5,1
0,0.142857,1,1,0.270833,0
0,2,0,0,1,0
0,0.798319,1,8,0.214286,1
0,1.428571,0,0,1,1
0,0.939909,0.944444,11,0.07913,1
0,0.5,1,0,0.220238,0
0,0.25,0,1,0.3,0
0,1.3,0,0,1,0
0,2,0,0,0.444444,1
0,0,1,0,0.777778,0
0,1,1,0,0.466667,0
0,2,0,0,0.625,0
0,2,0,0,0.6,0
0,0.5,1,1,0.285714,0
0,2,0,0,0.395833,1
0,2,0,0,0.5,1
1,0.735294,0.5,1,0.136752,1
0,0.7,0.4,0,0.349206,1
0,1.015385,0,0,0.277056,1
0,2,0,0,1,0
0,0.778947,1,4,0.242857,0
0,2,0,0,0.625,1
1,0.333333,1,2,0.34375,0
1,0.831579,1,1,0.225,1
0,0.25,1,0,0.4,1
1,2,0,0,0.6,0
0,2,0,3,1,1
0,2,0,0,1,0
0,2,0,0,0.5,1
0,1,1,0,1,0
0,0.65625,1,0,0.196078,1
1,0.392857,0,0,0.311111,0
0,0.5,0.5,1,0.357143,1
0,0.45,1,0,0.606061,1
0,0,1,1,0.444444,0
1,2,0,0,0.5,0
1,2,0,0,1,0
0,2,0,0,0.666667,0
0,0.936455,0.307692,0,0.202899,0
0,0.4875,1,0,0.264706,0
0,1,1,1,0.4,1
0,0,1,1,0.34375,0
0,2,0,0,0.533333,0
0,0.25,1,2,0.4,0
0,0.666667,0,0,0.555556,0
0,1.2,0,0,0.533333,0
1,0.79321,0.722222,3,0.289189,0
2,2,0,0,0.4375,0
0,0,1,2,0.666667,0
0,0,0,1,0.416667,0
0,2,0,0,0.444444,0
0,0.952899,0.043478,7,0.266667,0
