@relation PC1-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R7

@attribute ev(g) numeric
@attribute iv(G) numeric
@attribute L numeric
@attribute D numeric
@attribute I numeric
@attribute T numeric
@attribute lOComment numeric
@attribute locCodeAndComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute branchCount numeric
@attribute defects {false,true}

@data
1.4,1.4,1.3,1.3,1.3,1.3,2,2,2,1.2,1.4,false
1,1,1,1,1,1,1,1,1,1,1,true
3,2,0.04,27.68,75.47,3212.96,44,11,31,29,17,true
5,18,0.04,28.37,89.79,4015.7,41,12,24,28,38,true
41,82,0.01,75.93,272.58,87305.94,71,48,49,64,178,true
7,14,0.02,52.91,80.95,12588.26,32,4,39,35,40,true
1,8,0.03,28.77,66.66,3065.47,71,14,49,29,21,true
123,123,0.01,105.26,246.47,151702.06,40,2,225,99,236,true
1,2,0.1,9.93,72.35,395.99,3,1,8,8,3,true
1,1,0.04,23.72,61.05,1907.72,2,2,10,15,5,true
1,6,0.04,26.63,114.46,4508.48,14,13,18,28,21,true
12,4,0.04,23.91,55.32,1756.64,32,20,17,23,39,true
1,3,0.04,24.97,43.87,1519.8,15,2,24,21,5,true
8,9,0.05,20.69,163.74,3894.48,38,24,17,21,57,true
1,2,0.08,12.66,27.79,247.32,25,1,9,15,3,true
4,5,0.03,33.3,85.6,5273.87,62,2,39,26,41,true
5,4,0.07,13.94,38.68,417.61,0,0,12,17,9,true
1,1,0.04,23.38,160.24,4865,15,1,17,21,23,true
1,8,0.05,21.31,54.76,1381.07,1,3,10,25,12,true
1,2,0.03,33.59,43.78,2744.89,27,11,23,23,5,true
1,3,0.02,50.76,65.2,9333.72,62,21,34,34,37,true
1,5,0.03,30.72,36.33,1904.78,6,2,11,28,11,true
6,6,0.05,21.71,66.64,1745.71,6,0,20,19,11,true
6,6,0.06,17,60.39,969.56,5,0,19,19,11,true
1,3,0.11,9.33,32.14,155.56,0,0,8,14,5,true
3,2,0.07,14.73,31.08,374.47,6,1,8,18,7,true
1,3,0.16,6.43,33.52,76.96,0,0,7,10,5,true
5,4,0.07,14.52,36.9,432.2,0,0,13,17,9,true
1,3,0.12,8.11,45.57,166.89,0,0,15,11,5,true
1,2,0.16,6.07,30.96,63.41,0,0,8,10,3,true
1,4,0.08,12.13,50.38,411.72,9,5,3,16,15,true
1,4,0.08,12.22,44.56,369.81,0,0,12,15,7,true
1,1,0.14,7.03,33.87,92.94,4,0,6,11,1,true
1,6,0.08,13.2,67.47,653.12,4,7,9,18,13,true
