@relation 'xalan-2.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,16,19-20'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,0.777778,1,0,0.344444,8,30.625,0
14,0.363636,1,2,0.21875,7,11.25,0
0,1.001603,0.375,0,0.125,0,37.962264,1
2,1,0,1,0.122222,21,14.142857,0
0,2,0,0,1,0,0,0
0,2,0,0,0.333333,0,0,0
0,0.5,1,0,0.314286,7,22.571429,1
0,2,0,0,0.375,4,21.125,0
0,2,0,0,0.28125,0,0,0
0,0,1,0,0.4,0,24.4,0
0,0.25,1,0,0.533333,1,5.2,0
10,0.998047,0,16,0.234375,0,7.606061,0
0,0.5,0,1,0.458333,0,20.857143,1
0,0.2,1,0,0.381818,2,56.181818,0
0,2,0,0,0.75,0,2.5,0
0,2,0,0,0.75,6,6.5,0
0,0.798319,1,8,0.214286,3,85.066667,0
0,2,0,0,1,0,3,0
0,0.895703,0.901961,2,0.236702,0,46.291667,0
0,2,0,0,0.666667,2,1.666667,0
0,0.892857,0,1,0.62963,0,37.444444,0
0,0.814815,0.444444,2,0.285714,8,32.285714,0
0,2,0,0,0.304688,7,13.3125,0
0,2,0,0,0.583333,0,0,0
0,1,0,0,0.375,6,101.166667,1
1,2,0,0,0.4,0,0.6,0
0,2,0,0,0.466667,5,13.8,0
0,1.142857,0,0,0.225,0,17.375,0
0,0.75,1,2,0.44,5,48.4,1
0,2,0,0,0,0,0,0
0,0.826923,0.75,0,0.196429,0,22.642857,0
0,2,0,0,1,0,3,0
0,0.305556,0.75,1,0.44,0,58.2,0
0,0.636364,1,0,0.55,1,41,0
0,0.333333,1,1,0.4,5,29.5,0
0,0.52381,0.833333,0,0.583333,0,25.375,0
0,2,0,0,0.555556,2,12.333333,0
0,0.5,1,0,0.4,4,43.8,0
0,0.7,0,0,0.722222,0,28.5,0
0,2,0,0,0.75,7,6,0
0,0.714286,0.714286,2,0.366667,0,20.272727,0
0,1,0,1,1,0,16,0
0,0.833333,0.833333,3,0.208333,0,7.866667,0
0,0,1,1,0.25974,0,9.428571,0
4,0.2,1,1,0.227273,7,6.909091,0
0,0.535714,1,1,0.193939,0,32.133333,0
0,2,0,0,0.583333,2,9,0
0,0.5,1,0,0.625,3,8,0
0,0.583333,1,1,0.277778,11,46,1
1,0,0,1,0.416667,1,4.75,0
0,2,0,0,0.666667,1,8.5,0
0,2,0,0,0.75,6,16,0
0,2,0,0,1,0,5,0
0,2,0,0,0.5,0,0,1
0,0.5,1,1,0.314286,5,6.714286,0
0,0.96875,0.2,1,0.211765,0,25.588235,0
0,0.153846,1,2,0.42735,0,14,0
0,0.90559,1,6,0.103865,0,23.853448,1
0,0,1,2,0.666667,0,15.5,0
0,2,0,0,1,0,6,0
0,0.5,1,0,0.75,7,57.666667,0
0,0.656566,1,3,0.196078,0,45.794118,0
26,2,0,0,0.5,2,7,0
0,0.333333,0,1,0.583333,0,117.25,0
0,0.5,1,0,0.220238,2,22.47619,0
0,0.333333,1,0,0.371429,8,8.857143,0
0,2,0,0,0.444444,0,0,0
0,1.266667,0,0,0.833333,0,15.25,0
6,0.238095,0,1,0.265152,0,5.863636,0
0,2,0,0,0.296296,0,0,0
0,0.538462,1,0,0.222222,3,10.857143,0
0,2,0,0,1,0,0,0
1,2,0,0,1,0,3,0
0,0.5,1,0,0.4,6,17.2,0
0,2,0,0,1,0,4,0
0,2,0,0,0.625,4,29.25,0
1,0.238095,1,2,0.34375,5,18.25,0
1,0.810458,1,1,0.261905,8,61,0
0,0.571429,1,2,0.349206,1,22.25,1
0,2,0,0,0.444444,13,18.666667,0
0,2,0,0,0.625,4,31.5,0
0,2,0,0,0.833333,2,19.333333,0
0,2,0,0,0.555556,0,7,0
0,0.65625,1,0,0.196078,0,32.235294,0
