@relation 'camel-1.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-20'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute bug {1,0}

@data
0,0,0.347222,1
0,0,0.45,0
0,0,1,0
0,0,0.25,0
0,1,0.428571,0
6,0,0.541667,0
0,0,0.314815,0
0,1,0.235294,0
0,0,0.3,1
0,0,0.5,0
0,2,0.416667,1
0,0,1,0
0,1,0.666667,0
0,1,0.259259,0
0,0,0.666667,0
0,4,0.444444,0
0,0,0.37037,0
0,2,0.221154,0
0,0,0.833333,0
0,3,0.4,0
0,0,0.317647,0
0,0,0.6,0
0,0,0.625,0
0,0,0,0
0,0,0.666667,0
0,0,0.392857,1
0,1,0.5,0
0,0,0.666667,0
0,1,0.357143,0
0,0,0.666667,0
0,0,0.345455,1
0,1,0.666667,0
0,0,0.75,0
0,0,0.35,0
0,0,0.325,0
0,1,0.555556,1
0,0,0.666667,0
0,1,0.666667,0
0,0,0.5,0
0,3,0.178744,0
0,0,0.533333,0
0,1,0.314286,0
0,1,0.4375,0
0,0,0.625,0
0,1,0.466667,0
0,0,0.08284,1
0,4,0.166667,0
0,1,0.6,0
0,0,0.666667,0
0,0,0.157895,1
0,1,0.305556,0
0,0,0.311111,0
1,1,0.229167,0
0,1,0.466667,0
0,0,0.425,1
0,2,0.666667,0
0,2,0.230769,0
0,2,0.266667,0
0,0,0.5,0
0,0,1,0
0,0,0.314286,1
0,2,0.666667,0
0,0,1,0
0,0,0.44,0
0,2,0.285714,0
3,0,0.625,0
0,1,0.366667,0
0,1,0.146694,1
0,0,0.833333,0
0,0,0.277778,1
0,0,0.7,0
0,0,0.36,0
0,0,0.5,0
0,0,1,0
0,1,0.326531,1
0,1,0.466667,0
0,0,0.6,0
0,0,1,0
0,1,0.148148,0
0,0,0.342857,0
0,0,0.666667,0
1,0,0.666667,0
0,0,0.196078,0
0,0,0.833333,0
0,0,0.138095,0
1,1,0.157895,1
0,1,0.5,0
0,1,0.4375,0
0,0,1,0
0,1,0.164502,1
0,0,1,0
0,0,0.666667,0
0,0,0.7,0
0,0,0.1875,0
0,0,0.5,0
2,1,0.357143,0
0,0,0,0
0,0,0.6,0
0,0,0.75,0
1,0,0.535714,0
0,0,1,0
0,3,0.277778,0
0,2,0.388889,0
0,1,0.666667,0
36,1,0.31677,1
0,0,0.666667,0
0,0,0.666667,0
0,0,0.75,0
0,0,1,0
0,0,0.5,0
0,4,0.173611,0
0,0,0.288889,0
3,1,0.37037,1
0,0,0.466667,0
0,0,0.75,0
0,0,0.416667,0
0,0,0.36,0
0,0,0.444444,0
0,0,0.133333,1
0,0,1,0
1,1,0.27619,0
0,2,0.466667,1
0,0,0.541667,0
0,4,0.275,0
0,1,0.541667,0
0,0,0.666667,0
0,0,0.305556,0
0,0,0.833333,0
0,0,0.666667,0
0,0,1,0
3,1,0.472222,1
0,0,0.309524,0
0,0,1,0
0,3,0.128728,0
0,1,0.583333,0
0,0,0.090734,1
0,1,0.428571,0
0,0,0.215278,0
0,0,0.125,0
0,1,0.183007,1
0,0,0.3,1
0,2,0.833333,0
0,0,1,0
0,1,0.106061,0
0,0,0.75,0
0,1,0.314815,0
0,0,0.367647,0
0,0,0.833333,0
1,1,0.35,0
0,0,1,0
0,0,1,0
0,0,0.35,0
0,0,0.583333,0
0,0,0.5,0
31,0,0.380952,1
0,0,0.3125,0
0,0,0,1
0,0,0.6,0
0,0,0.5,0
0,0,1,0
0,0,0.5,1
0,0,0,0
0,0,0.833333,0
0,0,0.44,1
0,1,0.6,0
0,3,0.357143,0
0,0,0,0
0,2,0.555556,0
0,0,0.5,0
0,1,0.666667,0
0,1,0.272727,0
0,0,0.75,0
0,0,0.192308,0
0,1,0.555556,0
0,0,0.333333,0
1,0,0.666667,0
1,1,0.241758,0
0,2,0.5,0
0,0,0.833333,0
0,0,0.283333,0
0,0,0.75,0
0,3,0.116049,1
0,0,1,1
0,2,0.444444,0
0,1,0.425,0
0,0,0.35,0
0,0,1,0
0,0,0.5,0
1,0,0.316239,1
0,0,0.416667,0
0,0,1,0
0,0,0.143939,0
0,1,0.375,1
0,1,0.4,0
0,0,0.555556,0
1,2,0.133995,1
0,2,0.234375,0
0,1,0.235294,0
0,0,0.75,0
0,0,0.583333,0
0,0,1,0
0,0,0.444444,0
0,0,0.199234,1
0,0,0.461538,1
0,0,1,0
0,0,0.371429,0
0,1,0.444444,0
0,0,0.357143,0
0,0,1,0
6,2,0.375,0
0,0,0.75,0
3,1,0.22619,0
0,2,0.4375,0
0,2,0.16,0
2,0,0.4,0
2,1,0.875,0
0,0,0.75,0
0,0,1,0
0,0,0.777778,0
0,0,0.286957,0
0,1,0.1875,0
0,0,1,0
0,0,0.325,0
