@relation 'xerces-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
3,0,1,0,0.555556,1,2,7.833333,3,1,0
3,0.87208,0.896552,6,0.152074,2,11,88.698413,6,1.6984,0
0,2,0,0,1,0,0,5,0,0,1
0,2,0,0,0.52381,0,0,4.714286,1,0.9524,0
3,0.638889,0.833333,3,0.205,2,22,43.56,11,2.28,1
0,1.5,0,0,0.666667,0,0,0,1,1,0
0,2,0,0,1,0,0,0,1,1,1
0,2,0,0,0.666667,0,0,19,3,1.6667,0
0,2,0,0,0.571429,1,6,4.571429,1,0.8571,0
0,2,0,0,0.316667,1,1,7.083333,3,1.25,0
0,0.9375,0,1,0.2125,0,0,49.882353,19,4.7059,0
5,0.638889,0.833333,3,0.205,1,17,43.56,11,2.28,1
1,0.785714,1,0,0.571429,0,0,13.125,1,0.75,1
0,0.680672,0.142857,1,0.361111,1,7,116.833333,17,8,0
0,1,0.5,0,0.75,0,0,4.5,1,0.5,0
0,1.111111,0,0,0.3,0,0,0,1,1,0
1,0.843537,0.857143,1,0.227273,0,0,25,7,2.2727,1
0,2,0,0,0.571429,1,6,4.571429,1,0.8571,0
0,1.083333,1,0,0.25,0,0,100.142857,11,3.5714,0
0,2,0,0,0.638889,0,0,0,1,1,0
0,0.380952,1,0,0.40625,1,3,143,1,0.75,0
0,2,0,0,0.4,0,0,0,1,1,0
0,2,0,0,0.308571,0,0,4.714286,1,0.9714,0
0,2,0,0,0.5,0,0,0,1,1,0
0,0.875,1,0,0.333333,0,0,19.666667,2,1,0
0,2,0,0,0.46875,0,0,0,1,1,1
0,0.763636,0,2,0.5,1,1,12.166667,1,0.6667,0
0,2,0,0,0.342857,0,0,5,1,0.8571,0
0,2,0,0,0.410714,0,0,33.714286,5,3.7143,0
0,0,1,0,0.571429,2,2,118,1,0.5,0
0,2,0,0,0.666667,0,0,4.666667,1,0.6667,0
2,0.91572,1,11,0.113889,0,0,22.877551,3,1.0408,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0,0,0,0,0,0,0
0,0.708333,1,3,0.263889,0,0,22.2,1,0.7,0
0,0.672727,1,2,0.160839,1,3,83.558824,2,1.0588,0
0,0.899187,1,0,0.257937,0,0,10.5,12,1.6429,1
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.5,0,0,0,1,1,0
0,0.903947,1,10,0.30662,1,7,28.560976,3,1.1951,0
1,2,0,0,0.333333,0,0,15,1,0.875,1
0,2,0,0,0.75,0,0,0,1,1,0
0,0.82,0.7,2,0.232323,0,0,27.818182,6,1.2727,0
0,2,0,0,0.645833,0,0,0,1,1,1
1,0.916667,0.75,0,0.52381,1,4,9.857143,3,1.8571,1
0,2,0,0,0.192513,1,10,14.470588,6,1.8824,0
0,0,0,1,0.55,0,0,16.5,2,0.5,0
0,2,0,0,0.571429,1,6,4.571429,1,0.8571,0
0,2,0,0,0.5,0,0,0,1,1,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.6,0,0,9.4,3,1.6,0
0,2,0,0,0.45,0,0,4.6,1,0.8,0
0,0.847751,1,2,0.189815,0,0,105.666667,4,1.1667,0
0,0.780488,1,0,0.226481,0,0,46.142857,33,3.1429,0
0,2,0,0,0.45,0,0,5,1,0.8,0
0,2,0,0,0.75,0,0,0,1,1,0
0,0.76,0.6,1,0.2125,0,0,75.727273,4,1.0909,0
0,2,0,0,1,0,0,0,1,1,1
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.35,0,0,20.4,3,1.8,0
0,2,0,0,0.666667,0,0,5.333333,1,0.6667,0
0,2,0,0,0.428571,0,0,0,1,1,1
0,2,0,0,1,0,0,3,0,0,0
0,0.08,0,0,0.528846,0,0,26.730769,5,2.6538,0
0,0.882033,0.736842,9,0.126667,0,0,27.933333,4,1.2333,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.5,0,0,0,1,1,0
2,0.933333,0.5,0,0.34375,3,18,16.875,11,2.375,1
0,2,0,0,0.666667,0,0,0,1,1,1
0,2,0,0,0.75,0,0,0,1,1,0
2,0.900901,1,9,0.152632,0,0,55.947368,6,1.9737,0
0,1.111111,0,0,0.4,0,0,0,1,1,1
2,2,0,0,0.6,0,0,3,1,0.2,0
0,0,1,0,0.433333,1,2,21.5,5,1.5,0
0,2,0,0,0.538462,1,7,4.538462,1,0.9231,0
0,0.285714,1,0,0.4375,0,0,6.75,1,0.5,0
0,2,0,0,0,0,0,0,0,0,0
0,2,0,0,0.5,0,0,0,1,1,0
0,2,0,0,0.5,0,0,4.666667,1,0.6667,0
1,0.821429,0.875,3,0.383333,2,6,11.8,2,1.5333,0
0,2,0,0,0.555556,0,0,0,1,1,0
0,0.547368,0.2,3,0.31,0,0,26.1,10,3.95,0
0,2,0,0,0.555556,1,6,4.555556,1,0.8889,0
0,2,0,0,1,0,0,3,0,0,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,1,0,0,5,0,0,0
1,0.944444,0.5,0,0.325,1,6,10.3,6,1.5,0
4,0.75,0.666667,1,0.337931,2,11,19.517241,6,2.4828,1
0,2,0,0,0.487179,0,0,0,1,1,0
2,1.2,0,0,0.333333,1,4,13.833333,2,1.1667,1
0,0.89678,0.875,6,0.119298,1,5,19.844444,5,1.5556,0
0,0.804762,1,6,0.125926,0,0,10.944444,2,1.1389,0
0,1.243808,0.009288,0,0.5,0,0,157.2,9,2.2,0
0,2,0,0,0.555556,1,5,4.555556,1,0.8889,0
0,2,0,0,0.285714,0,0,1.222222,1,0.9444,0
0,2,0,0,0.515152,0,0,0,1,1,0
2,0.904762,0.666667,2,0.416667,1,3,7.25,2,1.25,0
0,2,0,0,0.37963,0,0,5.333333,3,1.1111,0
0,0.982906,0.051282,0,0.555556,1,1,134.25,1,0.5,0
0,0.703297,0.692308,4,0.232143,0,0,67.863636,24,4.6818,0
0,2,0,0,0,0,0,0,0,0,0
0,2,0,0,0.5,0,0,4.666667,1,0.6667,0
1,2,0,0,1,0,0,7,0,0,0
0,2,0,0,0.75,0,0,0,1,1,0
1,2,0,0,1,0,0,7,0,0,1
0,0.969697,0.8,5,0.284848,2,4,28.617647,7,2.2059,0
0,2,0,0,0.6,0,0,0,1,1,0
0,2,0,0,1,0,0,3,0,0,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.666667,0,0,0,1,1,1
0,2,0,0,0.488889,0,0,0,1,1,0
0,1.185484,0.064516,0,0.5,0,0,40,9,2.2,0
0,2,0,0,0.75,0,0,0,1,1,1
1,0.720588,1,1,0.179012,0,0,18.388889,3,1.7778,0
0,0.5,0,0,1,0,0,81,1,0.3333,0
0,0.666667,1,0,0.5,0,0,97.25,1,0.5,0
0,0.777778,1,0,0.375,0,0,5,1,0.8,0
0,2,0,0,0.75,0,0,0,1,1,0
