@relation 'xalan-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-9,11,14,16,18-20'

@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute bug {1,0}

@data
0,1,1.428571,0,0,1,0,1
0,0,0.5,1,1,0.333333,7,0
0,76,0.875,0.5,1,0.208333,0,1
0,222,0.855967,0.888889,5,0.196296,26,1
0,6,2,0,0,0.5,8,1
2,239,0.733333,0.4,2,0.180108,9,1
0,0,2,0,0,0,0,0
9,8,2,0,0,0.5,5,1
0,1,1.423077,0,0,1,0,0
2,2539,0.966051,0.913043,4,0.073443,19,1
0,15,1.2,1,0,0.5,0,1
2,1,2,0,0,0.5,0,0
0,0,0,1,1,0.666667,2,0
0,6,1,1,0,0.4,4,0
0,814,2,0,0,0.153846,6,0
2,354,0.88172,1,2,0.180556,19,1
0,0,0.285714,0,0,0.34375,0,0
0,7,0.458333,1,1,0.285714,13,0
0,0,0.520833,0.5,1,0.253333,1,1
0,0,0.142857,0.928571,9,1,0,0
0,0,0.416667,1,0,1,0,1
1,58,0.666667,0,0,0.307692,0,1
1,5671,2,0,0,0.19107,0,1
0,1,1.3,0,0,1,0,0
0,0,2,0,0,1,0,1
0,0,0.40625,1,0,0.5,2,0
18,8,1.223684,0,0,0.416667,0,1
0,0,0.4,1,2,0.361111,7,1
0,3,2,0,0,0.466667,0,1
0,1,2,0,0,0.4,13,1
0,0,0,0,1,0.666667,0,0
5,1101,0.912037,1,6,0.149691,0,0
0,370,1,0,0,0.181548,3,0
0,1,2,0,0,0.833333,6,0
0,3,2,0,0,0.555556,0,0
0,1,0.553571,1,1,0.383333,0,0
1,53,0.8,1,0,0.327273,5,1
0,3,2,0,0,0.666667,1,0
0,0,2,0,0,1,0,1
0,23,0.555556,0,1,0.28,22,0
0,0,0,0.75,3,0.444444,4,1
0,932,0.568182,0.6,1,0.175926,1,1
0,0,0.543478,1,0,0.316667,0,1
0,1,1.3,0,0,1,0,0
0,508,0.7375,0.85,12,0.151562,0,1
0,6,1,0,1,0.5625,0,0
0,15,2,0,0,0.533333,4,1
0,15,2,0,0,0.444444,6,1
0,1,2,0,0,0.666667,0,0
0,1,2,0,0,0.5,3,1
0,0,0.333333,1,2,0.305556,7,0
0,742,0.95,1,0,0.148218,14,0
0,0,0.694444,0,1,0.4,0,1
0,10,2,0,0,0.25,0,0
0,0,0.6875,1,0,0.555556,0,1
0,7,0.644444,1,2,0.3,9,1
0,10,2,0,0,0.333333,0,0
0,0,0.841667,1,1,0.114403,7,0
0,1,0.5,0,0,1,0,1
0,1,0.5,0,0,1,0,1
0,54,0.454545,1,1,0.533333,0,0
0,3,0.6,1,2,0.361111,7,0
0,0,0.425,1,0,0.515152,0,1
0,0,0.485714,1,2,0.34375,5,1
0,1,1.423077,0,0,1,0,0
0,1,2,0,0,0.75,7,1
0,0,0.166667,1,1,0.75,0,1
2,3,2,0,0,0.666667,0,0
0,0,2,0,0,1,0,1
0,6,2,0,0,0.55,0,0
0,0,2,0,0,1,0,0
0,221,0.964286,1,1,0.143939,0,1
0,0,0.111111,0,1,0.325,1,0
0,3,2,0,0,0.5,0,1
0,1,0.5,0,0,1,0,1
3,0,0.416667,1,2,0.357143,4,0
1,40,0.638889,0.666667,3,0.188034,11,1
1,8,0.541667,0.5,0,0.269231,4,1
0,0,1.095238,0,0,0.666667,0,1
0,0,2,0,0,1,0,0
0,0,0,1,1,0.428571,5,0
4,27,0.888889,1,2,0.288889,0,0
0,0,2,0,0,1,0,1
0,3,1.5,1,0,0.333333,0,0
0,0,2,0,0,1,0,0
5,1,0.333333,1,1,0.342857,5,1
0,3,2,0,0,0.833333,0,1
0,0,0.285714,1,1,0.270833,5,1
0,0,0.831481,1,3,0.214141,0,1
0,1009,0.966667,0,0,0.190217,0,0
0,10,2,0,0,0.2,0,1
1,0,0.333333,0.666667,1,0.475,0,1
1,0,0.333333,1,1,0.5,4,0
0,1,2,0,0,0.5,0,1
0,36,1.125,0,0,0.555556,0,0
1,8,0.75,0,0,0.6,0,1
0,49,0.6,1,1,0.275,0,1
0,0,2,0,0,1,0,0
0,3,0.329412,1,0,0.685185,0,1
0,1,2,0,0,0.75,1,0
0,0,2,0,0,1,0,1
0,10,2,0,0,0.7,4,1
0,3,2,0,0,0.555556,0,0
0,3,2,0,0,0.555556,1,0
0,375,0.780488,1,0,0.226481,0,0
0,0,0,0,0,0.4,0,0
0,3,2,0,0,0.555556,1,0
3,1581,0.878882,0.73913,4,0.15102,11,1
0,4,1.282051,0,0,0.5,2,0
0,0,0.416667,1,1,0.333333,6,0
0,0,2,0,0,0,0,0
0,1,2,0,0,0.5,0,1
0,3,2,0,0,0.666667,1,0
0,573,0.755102,0.785714,2,0.153101,0,1
1,315,0.884444,0.888889,6,0.22,0,1
0,0,0.5,1,0,0.4375,0,0
0,0,0,0,1,0.666667,1,0
0,469,0.578947,0,0,0.25641,0,1
0,0,0.333333,1,1,0.211538,0,0
0,151,0.941176,0,0,0.235294,0,1
0,14,0.839286,1,0,0.47619,2,1
0,0,0,1,1,0.285714,7,0
0,3,2,0,0,0.5,6,1
0,3,2,0,0,0.555556,0,0
11,101,0.821429,1,2,0.348148,0,1
0,8,0.428571,1,1,0.3,5,1
1,3,2,0,0,0.761905,0,0
0,4,0.5,1,1,0.36,5,1
1,0,0.422414,1,0,0.4,0,1
0,0,2,0,0,1,0,0
0,0,2,0,0,1,0,0
0,1,2,0,0,0.625,2,0
0,1224,0.895408,0.828571,3,0.115288,0,1
0,0,0.59,1,0,0.261905,0,0
0,4,1,1,3,0.5,1,1
0,254,0.892857,1,1,0.152727,0,0
1,19,0.833333,1,0,0.375,0,0
0,0,0.214286,1,0,0.5,6,0
0,22,0.416667,0,0,0.182692,22,1
0,0,2,0,0,1,0,1
0,0,0.711111,0,5,0.4,0,0
0,0,2,0,0,1,0,1
0,1,0.5,0,0,1,0,1
0,3,0.733333,0,0,0.458333,1,1
0,0,0.583333,1,2,0.3125,7,0
10,8,1.24359,0,0,0.333333,0,1
0,1,0.5,0,0,1,0,1
0,1,2,0,0,0.75,6,1
0,0,0.269231,1,1,0.410714,1,0
0,0,0.640625,0.0625,1,0.242063,0,0
1,5826,0.967949,0.769231,3,0.153846,0,0
3,143,0.714286,1,1,0.217172,4,1
0,13,0.861111,0.75,2,0.571429,0,0
0,0,0.447368,0,2,0.258333,1,0
0,1,2,0,0,0.75,6,1
0,0,0.083333,0,1,0.230769,0,0
0,0,0.62963,1,1,0.35,7,0
1,39,0.8,1,0,0.309091,2,0
0,1,2,0,0,0.666667,0,1
0,0,0,1,1,0.333333,7,0
0,1,2,0,0,0.75,6,1
2,3,2,0,0,1,0,0
0,2,0.333333,1,1,0.4,2,0
0,12,0.625,1,0,0.416667,0,1
0,0,0.5,0,0,0.555556,0,0
0,1,2,0,0,0.625,1,1
8,6,2,0,0,0.55,1,1
0,70,0.795322,0.888889,0,0.214286,0,1
0,10,2,0,0,0.6,7,1
0,0,0,1,0,0.666667,0,0
0,15,1,0,0,0.375,8,1
0,0,0.166667,0,1,0.367347,16,1
1,0,2,0,0,1,0,1
3,6,2,0,0,0.642857,0,0
0,1,2,0,0,0.6,4,0
0,62,0.757813,1,1,0.441176,0,0
0,783,0.962585,0.166667,2,0.328042,0,1
0,4,0.571429,1,0,0.325,8,0
0,0,0.583333,1,0,0.266667,6,0
0,0,0.361111,1,0,0.410256,0,1
0,0,0,1,1,0.5,0,0
0,1,2,0,0,0.75,7,1
0,3,2,0,0,1,1,0
0,0,0.6875,0.833333,0,0.291667,0,0
0,3,0.4,1,0,0.444444,4,1
0,1,2,0,0,0.6,4,1
0,0,2,0,1,1,0,1
0,1,2,0,0,0.75,1,0
0,0,0.458333,1,1,0.416667,0,1
0,9,0.833333,1,1,0.361111,12,0
0,14,0.809524,0.333333,1,0.619048,0,1
3,3,2,0,0,0.666667,0,0
0,0,0.833333,0,2,0.466667,0,1
0,3,2,0,0,0.6,6,0
4,0,0.166667,1,1,0.428571,0,1
4,6,0.375,0,1,0.355556,15,1
0,3,2,0,0,0.444444,0,0
0,121,0.680272,0.857143,4,0.180952,0,1
0,15,2,0,0,0.625,0,0
0,8,0.5,1,0,0.4,6,1
0,8,0.607143,1,1,0.321429,0,1
0,0,0,1,0,0.342857,2,0
0,10,0.586667,1,2,0.214815,0,1
0,0,0.55,1,4,0.361111,5,1
0,552,0.919872,0.576923,7,0.18018,0,1
0,1,2,0,0,0.75,7,1
2,157,0.993827,0.444444,1,0.157407,0,0
0,1,0.5,1,0,0.5,0,0
0,0,0,0,0,0.666667,3,1
0,0,2,0,0,1,0,0
0,1,2,0,0,0.75,6,1
2,0,0.919838,1,2,0.180871,26,1
0,1,2,0,0,0.75,1,0
0,68,0.765,1,4,0.210884,8,1
0,300,1.041667,0,0,0.34,0,0
0,4,0.75,0.5,1,0.25,0,1
0,4,0.5,1,0,0.325,0,1
0,369,0.903263,0.576923,0,0.142857,2,1
0,8,0.552632,1,0,0.875,0,1
0,0,2,0,0,1,0,0
0,0,0.642857,0,0,0.666667,0,1
23,124,0.931373,0.882353,4,0.128205,10,1
0,10,2,0,0,0.333333,12,0
0,10,2,0,0,0.6,0,0
8,1016,0.851307,0.833333,4,0.145105,9,1
0,37,0.777778,1,0,0.375,0,0
0,3,2,0,0,0.555556,0,0
0,0,0.733333,1,0,0.333333,0,0
0,0,0.4375,1,3,0.4,0,0
2,3240,1.0125,1,0,0.096708,0,0
19,59,0.807692,1,0,0.404762,0,1
0,0,0.833333,0,0,0.5,4,0
0,42,0.625,0.5,0,0.340659,0,0
0,0,2,0,0,1,0,0
0,5992,0.794444,0,1,0.185185,0,1
0,1287,0.948889,0.92,6,0.101604,6,1
0,3,2,0,0,0.555556,1,0
0,0,0,1,0,0.533333,3,0
0,0,0,0,0,0.285714,14,0
0,36,2,0,0,0.351852,3,0
0,1,2,0,0,0.75,7,1
0,0,0.125,1,1,0.197531,7,1
0,0,0.083333,1,1,0.306122,9,1
14,0,0.363636,1,2,0.21875,7,0
0,1695,1.001916,0.333333,0,0.114224,0,1
2,1176,1,0,1,0.122222,21,1
0,0,2,0,0,1,0,0
0,36,2,0,0,0.333333,0,0
0,13,0.9,1,1,0.305556,1,0
0,268,0.562963,0.8,0,0.285714,1,1
0,3,1,1,0,0.5,0,1
0,0,0.657143,1,0,0.35,0,0
