@relation 'jedit-4.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
3,0,0,0.625,1,1,0.833333,0.325,1,4,42.5,12,3.5,0
6,0,217,0.842975,0.909091,3,0.96875,0.166008,3,4,21.173913,8,1.9565,1
2,0,3,2,0,0,0.9,0.6,1,1,22.666667,1,0.6667,0
1,0,1049,0.949275,0.222222,1,0,0.118012,0,0,42.021277,16,3.7021,1
1,0,0,2,0,0,0,1,0,0,0,1,1,0
1,0,0,1.095238,1,0,0,0.333333,0,0,51.75,62,20.5,1
2,0,1,2,0,0,0.947368,0.625,1,1,24,1,0.5,0
5,0,74,0.566667,1,5,0.970282,0.206349,1,1,36.095238,29,3.2381,1
6,0,20,0.761905,0.666667,1,0.991111,0.5,4,12,13.75,1,0.75,0
1,11,9,0.4,1,1,0,0.583333,0,0,6.333333,1,0.8333,0
6,0,51,0.817308,1,1,0.980938,0.5,4,12,33.928571,3,1.4286,1
7,0,3,1,1,0,0.99696,0.666667,0,0,35.333333,1,0.6667,1
2,0,0,2,0,0,0.842105,0.5625,1,11,19.75,3,1.25,0
1,0,137,0.785714,0.666667,2,0,0.209524,0,0,54.136364,14,2.0455,1
2,0,4,0.875,0.25,0,0.5,0.5,1,1,8.6,1,0.6,0
5,0,5,0.633333,1,1,0.990895,0.371429,0,0,53.857143,8,2,0
2,0,0,0,1,0,0.7,0.5,1,1,18.5,3,1.25,0
1,0,29,0.653846,1,3,0,0.223214,0,0,33.071429,8,3.5,1
1,0,0,2,0,0,0,1,0,0,9,0,0,0
5,0,0,0.5,1,1,0.995856,0.416667,0,0,13.75,2,1,0
1,0,87,0.873932,1,3,0,0.230453,0,0,48.037037,15,3.9259,1
1,0,0,2,0,0,0,1,0,0,0,1,1,0
2,0,0,2,0,0,1,1,0,0,4,0,0,0
1,0,0,0.133333,1,0,0,0.5,0,0,18.166667,4,2,0
6,0,125,0.916667,1,1,0.973094,0.197368,3,6,16.157895,3,1.0526,0
1,0,0,0.766234,0,1,0,0.375,0,0,42.125,1,0.375,0
