@relation jedit-4.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
3,0,0,2,6,0.625,182,1,1,0.833333,0.325,1,4,42.5,12,3.5,0
6,0,217,4,7,0.842975,521,0.909091,3,0.96875,0.166008,3,4,21.173913,8,1.9565,1
2,0,3,5,9,2,71,0,0,0.9,0.6,1,1,22.666667,1,0.6667,0
1,0,1049,88,23,0.949275,2031,0.222222,1,0,0.118012,0,0,42.021277,16,3.7021,1
1,0,0,32,1,2,1,0,0,0,1,0,0,0,1,1,0
1,0,0,5,1,1.095238,218,1,0,0,0.333333,0,0,51.75,62,20.5,1
2,0,1,1,7,2,50,0,0,0.947368,0.625,1,1,24,1,0.5,0
5,0,74,23,21,0.566667,785,1,5,0.970282,0.206349,1,1,36.095238,29,3.2381,1
6,0,20,4,4,0.761905,121,0.666667,1,0.991111,0.5,4,12,13.75,1,0.75,0
1,11,9,31,1,0.4,45,1,1,0,0.583333,0,0,6.333333,1,0.8333,0
6,0,51,5,13,0.817308,497,1,1,0.980938,0.5,4,12,33.928571,3,1.4286,1
7,0,3,1,5,1,110,1,0,0.99696,0.666667,0,0,35.333333,1,0.6667,1
2,0,0,2,0,2,83,0,0,0.842105,0.5625,1,11,19.75,3,1.25,0
1,0,137,9,22,0.785714,1219,0.666667,2,0,0.209524,0,0,54.136364,14,2.0455,1
2,0,4,4,3,0.875,52,0.25,0,0.5,0.5,1,1,8.6,1,0.6,0
5,0,5,4,15,0.633333,389,1,1,0.990895,0.371429,0,0,53.857143,8,2,0
2,0,0,1,6,0,79,1,0,0.7,0.5,1,1,18.5,3,1.25,0
1,0,29,6,7,0.653846,485,1,3,0,0.223214,0,0,33.071429,8,3.5,1
1,0,0,9,1,2,12,0,0,0,1,0,0,9,0,0,0
5,0,0,4,5,0.5,61,1,1,0.995856,0.416667,0,0,13.75,2,1,0
1,0,87,3,6,0.873932,1342,1,3,0,0.230453,0,0,48.037037,15,3.9259,1
1,0,0,7,1,2,1,0,0,0,1,0,0,0,1,1,0
2,0,0,2,2,2,5,0,0,1,1,0,0,4,0,0,0
1,0,0,3,1,0.133333,118,1,0,0,0.5,0,0,18.166667,4,2,0
6,0,125,11,8,0.916667,336,1,1,0.973094,0.197368,3,6,16.157895,3,1.0526,0
1,0,0,8,9,0.766234,356,0,1,0,0.375,0,0,42.125,1,0.375,0
2,0,0,1,3,0.75,151,0.5,0,0.777778,0.444444,1,2,48,18,7.3333,0
6,0,2,3,6,0.8,202,1,2,0.993893,0.35,0,0,38.4,1,0.8,0
2,0,1,3,6,1,30,0,0,0.947368,0.666667,1,2,8,1,0.3333,0
2,0,1,1,9,1,79,0,0,0.947368,0.625,1,1,38,1,0.5,0
2,0,1,0,1,2,14,0,0,0.923077,0.75,0,0,6,1,0.5,0
1,0,3,29,0,1.5,4,0,0,0,0.833333,0,0,0,1,1,0
1,3,33,6,5,0.633333,141,0.666667,0,0,0.185714,0,0,11.545455,3,1.4545,1
1,0,8,10,3,0.6875,294,0.833333,0,0,0.333333,0,0,31,10,3,1
2,0,0,1,3,0.541667,300,1,1,0.538462,0.333333,1,3,41.285714,16,4.7143,0
1,0,9,1,3,0.488889,135,1,3,0,0.333333,0,0,20,6,1.6667,0
2,0,3,8,8,0.666667,92,1,0,0.782609,0.444444,0,0,13.833333,1,0.8333,0
