@relation poi-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,128,1,5,0.363636,3,0.352,6,15.28,0.92,1
2,0,138,1,4,0.909091,7,0.225,2,15.25,0.9,1
2,0,235,2,6,0.444444,0,0.289855,5,15.086957,1.4783,1
2,0,159,2,3,0.75,0,0.266234,6,13.590909,1.4545,1
4,0,6,2,1,0,0,0.666667,0,4,0,1
1,0,9,2,4,1,5,0.571429,0,22.857143,1,1
2,0,37,2,3,0.833333,2,0.375,2,9.357143,0.8571,0
2,0,49,2,3,0.333333,0,0.522727,6,8.454545,0.8182,0
2,0,43,1,4,0.5,0,0.522727,6,9.454545,0.8182,1
1,0,0,0,10,1,2,0.5625,0,121,2,1
3,0,120,1,3,0,0,0.53125,0,5.5625,0.9375,1
2,0,43,3,4,0.666667,0,0.517857,6,23.5,1.1429,1
2,0,43,2,3,0.5,0,0.418182,6,9.454545,1,0
2,0,10,0,1,1,0,0.6,2,2.4,0.6,1
2,0,49,2,3,0.333333,0,0.522727,6,8.363636,0.8182,0
1,0,32,0,93,0.5,0,0.253968,0,118.666667,11.1111,1
1,0,24,6,2,1,0,0.214286,0,25.25,1.25,0
2,0,10,4,4,0,0,0.5,0,9,0.8,0
2,0,39,1,5,0.875,4,0.356522,6,15.26087,0.913,1
1,0,0,5,1,0,0,1,0,0,1,0
1,0,0,2,5,1,2,0.458333,0,15.375,1.375,0
2,0,24,1,2,0.75,0,0.416667,2,3.888889,0.7778,1
1,0,3,0,2,0,0,0.333333,0,36.333333,2.3333,0
2,0,49,2,3,0.2,0,0.522727,6,8.454545,0.8182,1
2,0,4,1,5,0.8,3,0.376471,6,13.529412,0.8824,1
1,0,6,6,0,0,0,1,0,0,1,0
1,0,9,2,2,1,0,0.666667,0,34.833333,1.1667,1
1,0,0,6,1,0,0,1,0,0,1,0
2,0,198,2,5,0.857143,0,0.361905,4,9.809524,1.5714,1
1,0,0,1,1,1,1,0.4375,1,30.5,2.5,0
1,0,4,1,6,0,0,0.416667,0,19.25,1.25,0
2,0,43,1,4,0.5,0,0.522727,6,9.454545,0.8182,1
2,0,43,2,3,0,0,0.418182,6,9.454545,1,0
2,0,49,2,3,0.333333,0,0.522727,6,8.454545,0.8182,0
1,0,0,0,0,0,0,0,0,0,0,0
1,0,21,4,3,0,0,0.4,0,0,1,1
2,0,115,1,5,0.9375,9,0.277778,6,16.461538,0.9487,0
1,0,0,3,3,0.066667,1,0.304762,0,5.761905,0.9762,1
2,0,2,4,3,0.75,0,0.527778,6,14.666667,1.1111,1
2,0,28,3,2,0,0,0.40625,2,5.75,0.75,1
2,0,10,1,1,0.5,0,0.6,2,2.2,0.6,1
3,3,4,3,0,1,0,0.6,0,4.6,0.2,1
2,0,141,3,4,0.833333,0,0.307018,6,12,0.8947,1
1,0,0,10,0,1,0,0.311111,1,31.444444,1.8889,0
1,0,2,3,2,1,2,0.36,0,5.4,0.8,0
1,3,257,13,5,1,14,0.2,0,20.233333,1.1333,1
1,0,4,4,3,1,0,0.333333,0,10,0.75,0
2,0,72,1,3,0.5,0,0.519231,5,15.846154,1.0769,1
2,0,3214,5,4,0.483146,34,0.313684,6,13.46875,0.9896,1
2,0,49,2,3,0.5,0,0.522727,6,8.454545,0.8182,1
1,0,0,5,1,1,0,0.666667,0,24.333333,0.6667,1
2,0,43,0,4,0.5,0,0.522727,6,9.454545,0.8182,1
2,0,43,2,3,0.5,0,0.418182,6,9.363636,1,1
2,0,43,2,3,0.5,0,0.418182,6,9.363636,1,1
2,0,4,1,4,1,1,0.4,1,25.5,1.25,0
1,0,9,4,10,1,0,0.166667,0,93.285714,2,1
1,0,1888,4,44,0.882353,8,0.108571,0,28.355263,1.8421,1
1,0,0,6,1,0,0,1,0,0,1,0
2,0,1,1,1,0,0,0.666667,1,3.5,0.5,0
1,0,0,1,0,1,0,0.166667,0,43.166667,2,1
1,0,3,2,7,0,0,0.583333,0,39.333333,0.6667,1
2,0,193,3,4,0.95,12,0.32766,6,16.787234,1,1
2,0,66,2,4,0.666667,0,0.333333,6,12.230769,1.1538,1
1,0,0,2,16,0.8,2,0.183761,0,19.296296,1.4815,1
2,0,479,2,4,0.9375,6,0.335135,6,12.684211,0.9211,0
2,0,217,2,4,0.9,3,0.352,6,11.730769,0.8846,1
1,2,19,3,4,1,2,0.325,0,5.9,1.3,0
1,0,3,10,1,0,0,0.666667,0,0,1,1
1,0,9,2,3,1,0,0.454545,0,7.181818,0.6364,0
2,0,119,1,4,0.833333,0,0.460526,6,13.473684,0.8947,1
1,0,6,4,1,0,0,0.583333,0,0,1,0
2,0,174,4,3,0.352941,0,0.452381,6,11.761905,0.9048,1
2,0,49,2,3,0.5,0,0.418182,6,9,0.9091,1
1,0,21,1,3,1,0,0.454545,0,6.909091,0.6364,0
2,0,49,2,3,0.5,0,0.418182,6,9,0.9091,0
3,0,15,1,0,0.057143,2,0.3,2,39,1.1667,1
1,4,6,4,1,0,0,0.666667,0,2.75,0.75,0
