@relation ant-1.7_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R11

@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,3,1,9,1.1,0,0,0.444444,0,32.666667,0.6667,0
0,0,1,4,0.625,1,0.7,0.5,0,13.4,0.6,0
0,0,0,1,2,0,1,1,0,6,0,0
9,12,9,4,0.8,1,0,0.40625,0,11,0.875,0
0,16,0,5,0.75,0,0.8,0.388889,0,19,1,1
5,1,6,1,0.5,0,0.75,0.555556,0,4,0.6667,0
0,130,0,4,0.736842,1,0,0.284211,0,15.9,1.15,1
0,20,2,5,0.809524,2,0,0.3,0,12.538462,1.3846,0
0,8,4,1,0.53125,0,0,0.518519,0,11.777778,1.4444,0
0,0,6,3,0.666667,0,0.863636,0.342857,5,34.857143,3.1429,0
0,26,0,5,0.833333,0,0.949367,0.333333,4,6.555556,1.1111,0
0,3,14,5,2,0,0.923077,0.583333,0,11.666667,0.3333,0
0,0,8,2,2,0,0,1,0,0,1,0
0,20,1,2,0.8125,3,0,0.375,0,4.555556,0.7778,0
0,129,0,7,0.936508,0,0.727273,0.381579,3,11.526316,1.3158,0
2,0,7,7,0.111111,1,0.795455,0.26,1,9.9,1.6,0
0,0,1,1,0,1,0.818182,0.5,2,10,0.6667,0
0,136,5,5,0.897507,1,0,0.19375,0,39.8,1.95,0
0,15,7,1,2,0,0,0.444444,0,0,1,0
0,1,1,4,0.5,1,0.971429,0.75,2,12.333333,1,1
0,6,0,7,0.625,0,0.692308,0.8,0,12.6,1.4,0
0,0,0,1,2,0,0,1,0,0,1,0
0,0,5,2,0.58,0,0.529412,0.409091,0,15,0.7273,0
0,3,0,5,2,0,0.978495,0.666667,1,16,1,0
0,1,1,4,0.5,0,0.818182,0.666667,0,8.333333,0.6667,0
0,76,0,15,0.92,0,0.72549,0.311111,0,28.25,1.5625,1
8,0,8,4,0.333333,1,0.921053,0.4375,0,3.25,0.75,0
0,75,0,11,0.693878,0,0,0.295238,0,28.066667,1.6,0
0,17,0,3,0.671429,0,0.787234,0.545455,0,26.454545,1.9091,0
0,1,1,0,2,0,0.947368,0.75,1,2.5,0.5,0
0,0,0,9,0.678571,1,0.72549,0.225,2,12.333333,1.5333,0
3,85,3,8,0.576923,1,0.759259,0.321429,0,6.571429,1.2857,0
0,157,5,3,0.824786,1,0.294118,0.183761,7,45.62963,1.1111,1
0,4,4,8,0.75,0,0.927273,0.8,2,48.2,0.8,0
0,3,2,0,1.5,0,0,0.666667,0,0,1,0
0,6,0,5,2,0,0.978495,0.625,4,13.25,1,0
