@relation 'camel-1.6_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.378rfc-0.363loc-0.359wmc-0.334npm-0.311ce... numeric
@attribute -0.469mfa-0.43dit-0.388ic-0.296dam+0.292lcom3... numeric
@attribute '-0.413amc+0.409ca-0.408avg_cc+0.38 cbo-0.331max_cc...' numeric
@attribute -0.502ca-0.491cbo-0.349avg_cc-0.324amc+0.271lcom... numeric
@attribute '0.534lcom3-0.492dam+0.286ic+0.234mfa+0.21 cam...' numeric
@attribute '-0.623cbm-0.452moa+0.387dit+0.25 noc+0.241mfa...' numeric
@attribute 0.933noc+0.177cbm+0.123avg_cc-0.116cbo+0.108moa... numeric
@attribute '0.495moa+0.411ce-0.333cbm+0.31 amc-0.307max_cc...' numeric
@attribute -0.64moa-0.49cam+0.261ic-0.251max_cc-0.218dit... numeric
@attribute -0.615cam-0.372amc-0.348cbm+0.279max_cc-0.262lcom... numeric
@attribute 0.744ic-0.434cbm+0.304cam-0.244dit-0.186amc... numeric
@attribute 0.741ce-0.447amc-0.217loc+0.188max_cc+0.182cam... numeric
@attribute bug {1,0}

@data
0.190664,-2.441343,0.492356,-0.013771,-0.617991,0.020291,-0.23629,-0.092118,0.010442,0.126101,0.258206,0.085718,0
1.166264,0.308361,-0.197043,0.97245,-1.73844,-0.375871,-0.184867,-0.155763,-0.194371,-0.080464,0.24413,-0.072598,0
-4.534889,-3.826966,0.92365,-1.31026,2.633189,-0.685264,-0.268834,0.280205,2.90633,-0.5759,2.971711,0.630232,0
-1.797672,0.869568,-5.401401,-4.926111,4.029966,-0.153472,1.24436,-1.966563,-1.458919,0.57624,-0.130433,0.099982,1
-0.285133,0.773007,-0.22491,-0.421219,-1.794195,0.146508,-0.671994,-0.080586,0.965822,-0.340899,-0.291511,-0.90657,1
2.491892,1.947814,0.212748,0.404749,0.796689,-0.215423,0.173222,-0.226903,-0.574982,-0.508044,0.441378,0.397199,0
3.091326,1.554185,0.563566,1.062375,0.598631,-0.102964,0.037007,0.333228,-0.223251,-0.891716,0.320457,-0.162553,0
0.686653,1.865206,-0.588618,0.033456,0.742237,-0.502777,0.045318,0.003053,0.567871,1.044751,-0.35903,0.416097,1
2.244521,1.10357,0.540444,1.143007,-0.237605,-0.782335,-0.147267,0.602443,1.586704,1.530348,-0.786885,-0.720152,0
1.52674,1.555338,0.060317,0.560627,0.423857,-0.527996,-0.071935,0.536496,0.86325,0.60527,-0.355005,0.278733,0
0.461943,1.666997,0.230961,0.684161,0.423601,-0.642603,-0.214754,0.585724,1.331509,1.103507,-0.570965,0.365849,1
-1.41608,-2.838357,0.138199,-0.664941,0.254949,-0.39021,-0.110338,-0.241885,0.624332,-0.000698,1.255981,-0.164081,0
-2.339064,-0.69662,0.640776,0.753886,0.123054,0.121782,-0.577409,-0.201811,1.393203,0.243961,0.420766,0.078148,0
-1.04722,-1.635348,0.161991,-0.192033,-0.724853,1.593277,-0.978256,0.718748,0.408625,-0.194228,-0.992374,1.072513,0
-0.324331,-1.947997,0.053211,0.094031,-0.450529,-0.443717,0.026248,-0.332125,-0.850014,0.496968,0.500314,-0.370729,1
0.694473,1.860638,-1.561174,-0.878019,0.967933,0.070075,0.75765,0.689358,0.53184,-0.266875,-0.518528,-0.478029,0
-1.280872,-2.966789,0.057886,-0.6248,0.369419,-0.36524,-0.000042,-0.015817,-0.162516,0.816073,1.218126,-0.820664,1
-2.550182,-0.522824,-4.167608,-2.938859,1.068659,0.646128,0.190278,-0.907456,-0.001355,-0.389019,0.309997,-0.838891,0
0.698055,2.179409,-1.060409,-1.031859,0.862874,-0.424319,0.157393,-0.308296,0.075442,0.841823,-0.274169,0.387549,0
2.016106,1.746499,-0.333254,0.218815,0.688887,-0.315386,0.126174,0.021828,0.053619,0.110277,-0.049069,-0.05141,0
-0.919204,0.268831,-0.012353,1.292466,-1.95032,-1.965926,0.05915,1.342065,-1.92095,0.930023,0.292676,-0.559813,0
-1.640646,0.608049,-0.9252,0.638858,-1.40535,-1.093206,-0.083571,0.413822,-0.921525,0.859308,0.109384,-0.317468,0
0.630222,-0.071287,4.222952,-2.348595,-2.039941,3.191019,4.894694,0.42602,-0.143347,-0.214118,-0.990383,-0.196905,0
0.535346,0.523192,-0.773705,0.520666,-1.516067,-0.34122,-0.100108,-0.497165,-0.407674,0.020844,0.260618,-0.100505,0
-0.784021,2.820048,-5.129296,-3.249562,2.445582,-0.009631,0.935414,-1.692671,-1.436936,0.842051,-0.228066,0.000717,0
-0.161483,-0.61297,0.320498,0.50467,-0.897651,0.600932,-0.588254,0.020647,0.57182,0.431512,-0.611512,0.724414,1
2.657517,1.857893,0.037584,0.540164,0.829612,-0.218917,0.231176,-0.252758,-0.591385,-0.483225,0.437261,0.310466,0
1.455415,-1.165247,0.212368,0.405344,-0.816266,1.192307,-0.366982,-0.674037,-0.714847,-0.139273,-0.309293,0.148445,1
1.982584,0.550579,0.627038,0.313071,0.982332,0.246747,-0.08837,0.324582,-0.001205,0.590293,-0.58253,0.219741,1
1.099189,1.855204,-0.743214,-0.116182,0.766585,-0.427304,0.098012,0.051149,0.428651,0.554107,-0.286248,-0.077291,0
-1.096217,2.550569,1.621713,1.607363,0.89964,-0.385709,-0.33461,-0.765406,0.470489,0.879104,-0.219593,-0.176713,1
