@relation 'Apache2.0_golden-weka.filters.unsupervised.attribute.Remove-R1-2,63-weka.filters.unsupervised.attribute.Remove-R12,15,18-20,23-24,28,35-38,46-47,51,53-54-weka.filters.unsupervised.attribute.Remove-R31-33-weka.filters.unsupervised.attribute.Remove-R9-20,34-35-weka.filters.unsupervised.attribute.Remove-R1-4,6-14,16-21,23-26'

@attribute AvgLine numeric
@attribute CountSemicolon numeric
@attribute RatioCommentToCode numeric
@attribute isDefective {TRUE,FALSE}

@data
82,719,0.28,TRUE
0,0,0,FALSE
54,19001,0.04,TRUE
37,397,0.32,FALSE
21,20,0.73,FALSE
3,0,5.67,FALSE
4,2,3,FALSE
17,71,0.15,FALSE
19,85,0.61,FALSE
13,97,0.21,FALSE
44,94,0.48,TRUE
47,179,0.35,TRUE
58,23,1.42,FALSE
0,0,0,TRUE
48,81,0.21,FALSE
32,632,0.24,TRUE
44,36,0.85,TRUE
36,1312,0.21,TRUE
20,220,0.35,TRUE
94,46,0.48,FALSE
0,0,0,FALSE
0,0,0,FALSE
8,14,0.48,TRUE
10,18,0.35,FALSE
23,115,0.25,FALSE
89,16,0.61,FALSE
14,42,1.84,FALSE
33,232,0.12,TRUE
24,108,0.18,TRUE
54,175,0.34,TRUE
28,89,0.42,TRUE
57,901,0.34,TRUE
43,166,0.58,TRUE
93,111,0.1,FALSE
39,624,0.3,FALSE
13,4,0.96,FALSE
40,126,0.22,TRUE
13,45,0.29,FALSE
41,479,0.36,TRUE
36,212,0.29,TRUE
47,141,0.37,TRUE
100,194,0.19,TRUE
4294967289,97,0.17,FALSE
19,52,0.44,FALSE
23,144,0.17,TRUE
52,38,0.32,FALSE
4294967253,96,0.28,TRUE
24,46,0.54,FALSE
23,91,0.25,FALSE
39,572,0.27,TRUE
65,357,0.25,TRUE
65,747,0.19,TRUE
39,52,0.32,TRUE
56,279,0.48,TRUE
16,39,0.32,TRUE
18,46,0.26,TRUE
25,92,0.79,TRUE
47,382,0.2,TRUE
45,640,0.21,TRUE
42,295,0.41,TRUE
65,1310,0.36,TRUE
10,24,0.41,FALSE
65,292,0.22,TRUE
30,65,0.34,FALSE
24,317,0.31,TRUE
17,52,0.27,FALSE
13,26,0.38,FALSE
16,50,0.37,TRUE
20,340,2.01,FALSE
34,129,0.8,TRUE
40,281,0.15,TRUE
27,86,0.61,TRUE
19,196,0.36,TRUE
37,257,0.37,FALSE
73,1365,0.15,TRUE
36,185,0.15,TRUE
97,589,0.32,TRUE
19,494,0.29,TRUE
17,111,0.2,FALSE
11,42,0.56,TRUE
30,389,0.28,TRUE
45,314,0.16,TRUE
50,679,0.4,FALSE
57,823,0.58,FALSE
0,0,0,FALSE
29,460,0.13,FALSE
6,4,0.9,FALSE
6,7,0.69,FALSE
6,3,0.75,FALSE
6,4,0.71,FALSE
27,414,0.19,TRUE
54,1488,0.32,TRUE
36,159,0.45,TRUE
49,72,0.97,FALSE
47,126,0.63,FALSE
4294967275,75,0.33,TRUE
111,269,0.17,TRUE
9,26,0.5,TRUE
52,92,1.26,FALSE
49,73,0.79,TRUE
29,118,0.38,TRUE
71,80,0.44,FALSE
48,160,0.27,TRUE
0,0,0,FALSE
0,7,0.9,FALSE
0,24,0.26,FALSE
33,134,0.24,TRUE
37,453,0.26,FALSE
0,0,0,TRUE
28,245,0.24,FALSE
43,202,0.13,FALSE
47,67,0.25,FALSE
10,45,0.25,FALSE
9,1,2.33,FALSE
9,1,2.11,FALSE
232,1453,0.45,FALSE
81,25,0.51,FALSE
31,185,0.19,FALSE
26,60,0.78,FALSE
161,564,0.13,FALSE
39,744,0.21,TRUE
38,87,0.23,FALSE
13,33,0.31,TRUE
14,35,0.32,TRUE
47,388,0.36,TRUE
49,230,0.6,FALSE
42,497,0.35,TRUE
24,22,0.28,FALSE
5,2,1.67,FALSE
77,97,0.58,FALSE
128,557,0.41,TRUE
96,521,0.38,TRUE
38,362,0.31,TRUE
47,531,0.34,FALSE
89,454,0.51,TRUE
57,57,0.67,FALSE
200,89,0.24,TRUE
19,112,0.24,TRUE
45,1606,0.28,TRUE
23,422,0.08,TRUE
9,17,2,FALSE
33,334,0.28,TRUE
49,537,0.39,TRUE
85,437,0.49,TRUE
14,14,0.85,TRUE
20,29,0.41,TRUE
88,255,0.51,TRUE
45,67,0.47,FALSE
32,296,0.14,TRUE
10,22,0.87,FALSE
42,118,0.16,FALSE
221,210,0.37,FALSE
54,409,0.36,FALSE
16,44,0.46,TRUE
61,201,0.24,TRUE
36,476,0.48,TRUE
28,144,0.25,FALSE
18,136,0.23,FALSE
24,180,0.33,TRUE
36,567,1.21,TRUE
20,38,0.34,FALSE
100,134,0.54,FALSE
118,130,0.66,TRUE
53,32,0.69,FALSE
9,17,0.88,FALSE
65,59,0.49,FALSE
8,16,0.94,FALSE
17,11,1.44,FALSE
42,713,0.33,TRUE
50,56,0.79,FALSE
43,85,0.3,TRUE
27,768,0.23,TRUE
55,449,0.52,TRUE
25,10,0.82,FALSE
0,0,0,FALSE
4,16,0.57,FALSE
0,0,0,FALSE
20,191,0.16,TRUE
57,454,0.33,TRUE
0,0,0,TRUE
0,0,0,TRUE
56,182,0.57,FALSE
18,45,1.38,FALSE
12,17,0.37,FALSE
9,1,1.67,FALSE
45,214,0.28,TRUE
39,95,0.59,FALSE
19,28,0.39,FALSE
98,42,0.31,TRUE
35,309,0.46,TRUE
0,0,0,FALSE
100,144,0.16,FALSE
42,666,0.36,TRUE
34,252,0.36,FALSE
