@relation 'camel-1.6_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-12,14'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
3,0,0,1,0.36,1,2,7.4,1,0.6,0
1,0,4,1,0.5,0,0,3,1,0.5,0
4,0,144,0,0.197368,4,5,20.3,3,1,0
2,0,3,0,0.666667,1,3,54,15,5.3333,1
1,0,22,0,0.25,0,0,20.875,1,0.75,1
1,0,3,0,1,0,0,0,1,1,0
1,0,0,0,1,0,0,3,0,0,0
1,0,15,0,0.333333,0,0,6.666667,4,1.3333,1
1,0,0,0,0,0,0,0,0,0,0
1,0,6,0,0.375,0,0,4.5,1,0.75,0
1,0,45,0,0.15,0,0,4.2,1,0.9,1
3,0,25,1,0.3,2,3,15.4,3,0.9,0
2,0,201,0,0.176768,1,1,10.130435,1,0.8696,0
4,0,22,0,0.3125,0,0,16.5,1,0.75,0
3,0,6,2,0.416667,1,2,7.888889,3,0.8889,1
1,2,3,0,0.533333,0,0,31,3,1.6667,0
4,0,5,2,0.25,2,2,15.4,3,1.1,1
2,0,26,0,0.390625,1,1,50.75,8,3.625,0
1,0,6,0,0.45,0,0,12.25,5,2,0
1,0,1,0,0.666667,0,0,7.5,2,1,0
1,0,61,5,0.297619,0,0,4.428571,1,0.9286,0
1,0,62,3,0.229167,0,0,10.1875,4,1.3125,0
4,17,6,0,0.666667,0,0,4,0,0,0
1,0,1,1,0.5,0,0,7,2,1.1667,0
1,0,3,0,0.666667,0,0,41.333333,13,4.6667,0
2,0,25,0,0.25,0,0,5.363636,1,0.7273,1
1,0,1,0,1,0,0,0,1,1,0
3,0,1,0,0.666667,0,0,3.666667,1,0.6667,1
2,0,3,0,0.555556,0,0,2.333333,1,0.6667,1
1,0,10,0,0.45,0,0,11,2,1.6,0
1,0,528,0,0.387205,0,0,0,1,1,1
1,0,3,0,0.777778,0,0,0,1,1,0
1,0,0,2,0.416667,0,0,27.428571,1,0.7143,0
2,0,0,2,0.371429,1,1,35.25,2,0.875,1
1,0,3,0,0.533333,0,0,5.333333,1,0.6667,0
3,0,7,1,0.25,0,0,36.636364,11,1.8182,0
4,0,1,0,0.666667,1,1,11,1,0.5,1
1,0,0,0,1,0,0,0,1,1,0
1,0,0,0,0.583333,0,0,8.5,1,0.75,1
3,13,30,1,0.22619,1,3,8.333333,2,0.8333,0
3,0,59,1,0.261538,1,3,13.642857,3,1.1429,0
4,8,0,1,0.625,0,0,8.25,1,0.5,1
4,0,3,0,0.666667,2,2,15.333333,1,0.6667,0
1,0,0,0,1,0,0,0,1,1,0
1,1,0,0,0.75,1,1,20,2,1,0
0,0,9,0,0.457143,0,0,50.333333,4,1.6667,0
1,0,0,0,1,0,0,6,0,0,0
2,0,15,3,0.357143,1,20,5,1,0.8571,0
1,0,0,0,0.666667,0,0,18.666667,1,0.3333,0
1,1,45,5,0.35,0,0,9.933333,3,1.2,0
1,0,0,0,1,0,0,0,1,1,0
3,0,4,1,0.3,0,0,5.6,1,0.6,0
1,0,6,0,0.625,0,0,8.75,1,0.75,0
3,0,8,1,0.4,1,3,11.2,1,0.8,0
1,0,3,0,0.333333,0,0,9.333333,1,0.6667,0
4,0,73,1,0.257143,1,16,15.571429,6,1.5,0
2,6,105,1,0.113757,1,3,8.703704,4,1.0741,1
2,2,15,0,0.285714,0,0,5.142857,3,1,0
3,0,0,3,0.4,0,0,12.666667,2,1,0
3,0,0,0,0.625,2,2,4,1,0.75,0
1,0,1011,0,0.1825,0,0,13.06,9,1.5,0
1,0,0,0,1,0,0,0,1,1,1
1,0,1,0,0.5,0,0,14.333333,2,1,0
4,0,15,0,0.444444,0,0,6,1,0.5,0
2,0,3,0,0.666667,1,2,3,1,0.3333,0
1,0,0,0,1,0,0,0,1,1,0
1,0,178,0,0.276316,0,0,42.95,15,2.85,0
1,0,1,0,0.5,0,0,9.5,1,0.5,0
5,0,0,1,0.666667,0,0,11,1,0.5,1
1,0,1,0,0.875,0,0,0,1,1,0
1,0,0,0,0.5,0,0,15.25,2,1,0
1,0,6,0,0.5625,0,0,0,1,1,0
1,0,1,0,0.75,0,0,3,1,0.5,0
5,1,1,0,0.666667,1,1,12,1,0.5,0
2,1,142,1,0.2,1,2,12.571429,3,1,0
3,0,1,0,0.666667,1,1,8.5,1,0.5,0
1,0,1,0,1,0,0,3.5,1,0.5,0
1,0,22,1,0.354167,0,0,11.125,2,0.875,0
3,0,0,0,0.5,1,1,44,2,1,0
2,0,0,0,0.45,1,1,6.25,1,0.5,0
2,0,7,0,0.375,1,1,10.5,2,1,0
1,2,21,0,0.666667,0,0,18,5,1.8571,0
1,0,0,0,1,0,0,0,1,1,0
1,0,1,1,0.666667,0,0,45.333333,6,2,0
3,0,0,0,0.533333,1,1,5.6,1,0.6,1
1,1,112,0,0.4875,0,0,16.0625,1,0.875,1
1,0,0,0,1,0,0,3,0,0,0
1,0,0,0,1,0,0,0,1,1,0
3,0,235,2,0.188034,1,3,10.461538,4,1.1923,0
2,0,3,0,0.666667,1,2,3,1,0.3333,0
3,0,7,1,0.4,1,1,16.5,3,1,0
4,0,13,1,0.375,1,1,7,2,0.8,0
1,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0.296296,0,0,20.777778,4,1.1111,0
3,4,10,0,0.44,0,0,5.6,1,0.2,1
1,0,97,0,0.172222,0,0,7.833333,1,0.8333,0
3,0,15,0,0.416667,0,0,22,2,1,0
2,0,9,0,0.5,0,0,5.666667,2,0.8333,0
0,0,1,0,0.75,0,0,28,1,0.5,0
1,2,9,3,0.285714,0,0,7.3,3,1.2,0
3,0,3,0,0.666667,1,3,21.333333,1,0.6667,0
1,0,0,0,0.333333,0,0,6.166667,1,0.8333,0
3,0,1,0,0.666667,0,0,3.666667,1,0.6667,0
1,0,36,0,0.311111,0,0,0,1,1,0
1,0,6646,2,0.081822,0,0,9.883333,33,1.5417,0
3,0,35,0,0.590909,2,5,4.545455,1,0.8182,0
2,0,144,0,0.20625,0,0,6.05,2,0.95,0
2,0,99,3,0.253333,1,20,4.733333,1,0.9333,0
3,0,8,0,0.4,1,1,6,1,0.8,0
1,0,4,0,0.5,0,0,4.25,1,0.75,0
2,0,4,9,0.444444,1,1,24.5,1,0.5,0
2,0,41,9,0.37037,1,1,23.9,4,1.8,0
1,0,314,2,0.144828,0,0,5.62069,2,0.9655,0
0,1,4,0,0.5,0,0,4.75,1,0.5,0
2,1,1296,3,0.240566,1,1,10.490566,9,1.2642,1
2,2,0,0,0.666667,1,1,5.166667,1,0.8333,0
3,0,8,0,0.36,1,2,6,1,0.6,0
