@relation log4j-1.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9

@attribute dit numeric
@attribute noc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
4,0,12,6,2,1,4,2,0,0,0.953488,0.357143,1,3,23.75,3,1,0
1,0,3,1,0,0,2,2,0,0,0,0.5,0,0,2,1,0.5,0
1,0,22,0,3,3,8,0.142857,1,0,0,0.40625,0,0,20.875,5,3.125,0
2,1,24,12,1,6,8,0.936508,0.555556,0,0.533333,0.333333,0,0,20.25,7,2.25,0
1,5,13,45,32,2,9,1,0,0,0,0.407407,0,0,1.6,1,0.8,0
2,0,35,24,0,10,11,0.994135,0.064516,2,0.666667,0.366667,2,4,40.666667,23,5.0833,1
1,0,4,1,1,3,1,2,0,0,0,0.75,0,0,4,1,0.5,0
1,0,14,8,0,1,2,0.875,0,1,0,0.333333,0,0,7.6,1,0.6,0
2,0,11,0,1,3,1,0,0,2,0.983871,0.666667,0,0,31.5,5,2.5,0
1,0,14,3,0,0,2,2,0,0,0,0.333333,0,0,43.333333,4,1.6667,0
1,0,9,9,1,2,6,0.866667,0,0,0,0.458333,0,0,5.833333,2,1.1667,1
3,0,25,0,2,5,8,0.795918,0.571429,0,0.714286,0.40625,1,1,25.25,5,1.625,0
1,0,12,4,0,2,2,0.833333,0,1,0,0.333333,0,0,8,1,0.5,0
1,0,3,3,8,0,3,2,0,0,0,0.666667,0,0,0,1,1,0
1,2,42,91,9,11,9,1.051282,0,0,0,0.134615,0,0,16.428571,3,1.2857,1
1,0,25,0,3,4,2,0.733333,0,2,0,0.416667,0,0,24.25,2,0.75,0
