@relation 'ivy-1.4_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.355rfc+0.353wmc+0.349loc+0.347npm+0.319lcom... numeric
@attribute -0.469dit-0.468ic-0.439mfa-0.437cbm+0.224ca... numeric
@attribute -0.585lcom3+0.572dam+0.284moa-0.284cam-0.2dit... numeric
@attribute -0.579avg_cc-0.467amc-0.39max_cc+0.271cam+0.218lcom... numeric
@attribute '0.502ca+0.493noc+0.34 cbo-0.312amc+0.225cbm...' numeric
@attribute -0.841noc+0.273cbm+0.219ca+0.184ic-0.173mfa... numeric
@attribute '0.458amc+0.436ca+0.333cbo+0.31 mfa-0.27moa...' numeric
@attribute -0.573amc+0.512max_cc+0.369avg_cc-0.248cbm+0.222dit... numeric
@attribute 0.842moa+0.288mfa-0.166lcom-0.152dam+0.147ca... numeric
@attribute 0.761cam+0.281cbm-0.26lcom3-0.248ce-0.213dit... numeric
@attribute bug {1,0}

@data
-2.330878,1.742895,-1.686179,1.404924,-0.588777,-0.187273,-0.734704,-0.628672,-0.432247,0.70239,0
-1.100385,-2.26148,-2.615619,0.369307,-0.160305,0.302904,-0.681881,0.063704,0.42925,-0.327881,0
-0.975985,1.106733,-0.020496,-0.097825,-0.19358,0.219008,-0.144208,-0.78125,-0.653359,-0.253796,1
2.022199,-5.935748,-1.471282,-1.193756,1.140506,1.627877,-1.021857,0.398432,-0.152562,0.204312,0
-2.286361,-0.061799,-2.40458,2.073485,-1.222629,-0.766129,0.448061,0.101416,0.476545,0.090635,0
-0.765266,0.895031,1.347686,0.405324,-0.005881,0.245931,-0.18172,-0.042828,-0.080217,0.061176,0
1.866419,-1.257399,0.384064,-2.030271,0.401906,0.740547,-0.31308,0.60368,0.331865,0.796657,0
-0.874529,0.813092,1.413661,0.356946,-0.204997,0.163765,-0.362338,-0.047509,-0.137515,0.047591,0
-1.370558,-0.579636,-0.211927,1.342878,-0.927286,-0.45453,0.56751,0.281133,0.932249,-0.381866,0
-0.134005,0.552729,1.979706,-0.081733,-0.294021,0.251821,-0.262686,-0.249087,-0.359222,-0.279126,0
0.433139,0.746371,1.093593,-1.065958,0.023159,0.277489,0.194433,0.446995,-0.931,-0.188228,0
-2.165696,1.803135,-1.775402,0.496423,-0.430801,-0.110416,-0.810271,0.10431,-0.283413,0.947976,0
1.499726,-1.95176,0.3161,-1.277729,0.210686,0.684069,0.11537,-0.130644,-0.553772,-0.148793,0
-1.420647,0.513553,1.715024,0.539352,0.916343,-1.441004,0.139704,-0.138129,-1.046475,0.911388,0
-1.848179,-0.418558,-2.267489,0.828834,-0.48999,-0.061656,-0.469953,-0.128012,0.245606,0.406818,0
2.310519,0.907933,1.503241,-0.676394,-0.306522,0.247072,-0.448867,-0.131209,0.381346,-0.910738,0
0.927623,0.547073,1.728794,-0.331572,1.800901,-2.316154,-0.514123,-0.501866,-0.263481,-0.729508,1
-0.384921,-1.289925,0.253947,0.574635,-1.002426,-0.470962,0.846906,1.067725,-0.2091,-0.72235,0
-0.23604,-0.641528,1.204352,0.182651,0.479652,0.761951,-0.300519,-0.619425,-0.01584,-0.464161,1
-2.037285,-1.06319,0.649742,2.292664,-1.07332,-0.638301,1.591737,0.606116,-0.266438,1.160896,0
-2.037374,1.879721,-1.84003,0.558552,-0.278537,-0.056891,-0.65245,0.108589,-0.244005,0.929844,0
-0.212953,0.457129,1.612915,-1.818478,-0.550108,0.057005,1.22379,-0.501975,-0.78003,0.521975,0
0.399251,1.500316,-1.217825,-0.940735,-0.026323,0.15001,-0.797478,-0.215643,-0.408976,-1.924777,0
-1.220585,-1.170727,-2.366027,-0.036745,0.145752,0.510708,-1.09059,-0.21888,0.132365,0.396675,0
-0.473503,-1.278671,1.099318,-0.698392,-0.021134,0.332387,0.427631,0.699121,-0.550455,0.536057,1
2.743909,-5.143569,-0.530453,-2.059115,2.891063,-1.031432,-0.752055,-0.460167,0.741189,1.358326,1
2.280811,-3.882501,-0.749297,0.590112,0.267519,0.993234,-0.916768,-0.33255,-1.090189,0.077705,1
-1.41628,-1.348636,1.017918,1.746563,-0.934622,-0.480301,1.353507,0.854686,0.680339,0.421169,0
-1.760958,1.664722,-1.407901,0.171219,-0.089165,0.124584,-0.889208,-0.103122,-0.276221,-0.15807,0
-1.013216,-0.597532,1.089276,1.068813,0.356505,-1.891691,0.6134,0.088059,0.562553,0.090661,0
3.847295,1.580146,-2.202647,-5.721168,-1.347986,-0.807617,0.284631,1.990397,0.380536,-0.317395,0
-2.021152,1.898997,-1.852102,0.569211,-0.235372,-0.038054,-0.614957,0.113074,-0.231317,0.93415,0
-0.089196,-1.489783,0.662714,0.559929,-0.277046,0.277745,0.07027,-0.212071,0.237347,0.538013,0
0.520852,0.305597,0.636961,0.219079,-0.39838,0.099776,-0.628006,0.174361,1.161825,-1.0669,0
-0.596579,0.700455,1.216668,-0.280928,-0.238409,0.064056,0.141932,0.418853,-0.935671,0.329826,0
-1.257313,0.69999,1.290365,0.208682,-0.224871,0.12366,0.003873,0.359737,-1.005865,0.747787,0
-1.012682,1.624496,0.648584,1.274467,-0.060937,0.319234,-0.507295,-0.759374,1.883104,1.010688,0
-0.962127,-1.82954,-2.363447,0.807995,-0.573677,-0.06823,-0.307885,0.413755,0.429956,-1.292802,0
3.164517,1.340883,-0.629908,-3.41571,0.228972,0.236532,-0.204915,2.567696,-0.122185,0.085177,0
-1.609494,0.715311,1.266367,0.551428,-0.198786,0.132727,-0.005868,0.079705,-0.995382,0.636635,0
0.869581,0.537747,0.954885,-4.134283,-1.683252,-0.296018,2.561241,-2.304947,-0.479322,0.559437,0
-0.476702,0.860929,1.160203,0.450921,0.313592,-1.019142,-0.441465,-0.024671,-0.207028,0.530595,0
-0.946745,0.983869,1.46133,0.695812,0.353397,0.436615,0.25928,-0.151167,-0.023917,0.407305,0
