@relation lucene-2.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R7

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
2,0,1,0,3,2,0,0.666667,0,4,1,0
1,0,0,0,4,0.388889,0,0.34,0,26.6,5,0
1,0,13,1,0,0.600962,0,0.253086,0,42.185185,26,0
1,0,0,20,1,2,0,1,0,0,1,1
1,2,3,18,1,2,0,1,0,1.333333,1,1
3,0,1,2,6,2,0,0.583333,1,29.5,1,1
2,0,1,1,5,0,0,0.314286,1,51.571429,12,0
1,0,0,4,1,2,1,1,0,12,0,1
2,3,0,3,1,0.575,0,0.416667,4,21.111111,2,1
1,0,0,2,6,0.436364,5,0.479167,0,61,1,1
2,1,0,2,18,0.47619,1,0.251852,5,35.933333,6,1
4,0,0,1,1,0.55,1,0.4,1,74,14,1
2,0,12,3,10,0.625,0,0.158824,4,22.529412,7,1
1,1,91,18,0,2,0,0.297619,0,12.5,1,1
2,0,1,4,2,2,0,0.666667,3,18.5,4,0
2,0,15,1,3,2,0,0.666667,3,4.166667,1,0
2,0,0,11,3,2,1,1,0,9,0,0
3,0,0,1,7,0.613636,0,0.208333,2,27.25,7,1
1,0,0,22,1,0.5,0,0.428571,0,23.214286,5,1
1,0,0,3,0,2,0,0,0,68,0,0
1,0,282,1,4,0.720301,1,0.405714,0,77.777778,102,1
3,0,0,2,6,0,0,0.571429,1,51.5,1,1
1,5,15,24,1,2,0,0.583333,0,2.5,1,0
2,0,1,1,11,0.64,6,0.35,0,26.166667,6,0
1,0,41,2,11,0.804762,5,0.237037,0,43,3,0
1,0,2,1,9,0.625,3,0.333333,0,62,1,1
3,0,12,2,2,0.666667,1,0.3,8,14.25,1,0
1,13,72,42,7,0.833333,0,0.230769,0,18.076923,9,0
2,0,0,1,8,0.291667,2,0.259259,3,36.444444,11,0
2,0,0,1,8,0,1,0.333333,3,23.333333,4,0
3,0,15,1,8,0.6,3,0.285714,1,33.2,10,0
1,1,0,13,1,0.666667,1,0.583333,0,6.333333,1,0
2,3,1,3,1,0.5,0,0.666667,0,4.333333,1,0
1,0,3,0,0,1,0,0.333333,0,7.666667,2,0
1,0,0,2,3,0.5,0,0.5,0,134.555556,3,1
1,5,5,5,0,0.6,0,0.7,0,13.333333,1,0
2,0,10,2,9,0.133333,0,0.375,0,15,2,1
2,5,10,10,6,2,0,0.466667,1,1.8,1,0
1,0,25,1,7,0.722222,2,0.228571,0,16.4,1,1
2,0,0,1,5,0.5,2,0.4,2,26.6,1,0
1,1,888,1,29,0.873874,11,0.13273,0,52.711538,23,1
2,0,1,1,3,2,0,0.666667,0,4,1,0
2,0,0,3,3,0.375,1,0.5,3,53.4,18,0
1,6,1,21,0,2,0,0.666667,0,1.5,1,0
4,0,1,1,1,2,0,0.666667,1,5.5,2,0
3,0,0,1,6,0.375,2,0.208791,2,15.615385,6,0
3,0,1,1,4,0.5,0,0.75,0,31,1,0
2,0,0,9,6,0.142857,1,0.232143,2,11.375,4,1
3,2,4,2,2,0.857143,0,0.583333,0,27.75,1,0
1,0,16,0,1,0.142857,0,0.314286,0,40.125,8,0
1,0,6,10,3,1,2,0.833333,0,2.25,1,0
1,3,66,32,3,2,0,0.875,0,0.25,1,1
3,0,0,3,6,0.45,0,0.220779,2,24.727273,7,1
3,0,3,1,5,2,0,0.5,1,6.666667,2,1
1,1,0,2,1,0.571429,0,0.35,0,15.25,4,0
1,0,22,1,0,0.428571,0,0.178571,0,14.625,5,0
2,0,1,3,1,1,0,0.875,0,6.5,0,0
3,0,15,2,0,1.12,0,0.5,1,28.833333,14,0
1,0,0,1,21,0.701961,8,0.188889,0,55.888889,1,1
1,1,15,2,4,0.514286,4,0.246753,0,19.363636,1,0
1,0,0,3,2,2,0,1,0,0,1,0
2,0,0,1,3,0.466667,2,0.5,3,17.333333,1,0
2,0,0,1,3,0.65,0,0.287879,3,38.090909,6,1
1,0,0,0,0,1.166667,0,0.333333,0,30,6,0
2,1,0,1,1,0,1,0.428571,2,5.571429,1,0
1,0,3,3,0,1.4375,2,0.5,0,4,2,0
2,0,0,0,2,0.5,1,0.4,1,19,2,1
1,0,1,2,2,2,0,1,0,0,1,0
1,0,0,3,0,2,0,1,0,11,0,1
3,0,15,2,3,0.333333,0,0.514286,0,13.857143,3,0
1,0,0,1,2,2,2,1,0,33,0,0
1,0,742,8,20,0.891064,6,0.115278,0,23.708333,2,1
1,0,62,2,6,0.686667,6,0.28125,0,27.1875,4,1
3,0,58,0,11,0.960526,0,0.219697,0,48,1,0
2,2,0,2,7,0.675926,4,0.21978,3,24.615385,3,1
2,0,0,0,8,0.5,0,0.333333,0,8.285714,1,0
3,0,4,2,3,0.357143,1,0.270833,2,22.25,5,1
1,0,10,15,0,2,0,0.6,0,0,1,0
1,0,0,6,0,2,0,1,0,24,0,1
1,0,0,1,2,0.375,1,0.6,0,10.6,2,0
2,0,86,5,14,0.669173,3,0.223684,3,21.1,6,1
1,0,0,13,0,0.6,0,0.518519,1,15.333333,3,1
1,0,0,1,18,0.700855,5,0.254545,0,96.7,10,1
1,0,1,0,0,1,0,1,0,17,0,0
2,2,1,2,8,0.333333,1,0.342857,3,18,5,0
2,0,15,2,7,0.644444,3,0.287879,3,38.181818,2,1
2,0,0,1,6,0.375,1,0.4,1,22.2,2,1
3,0,3,1,16,0.4,1,0.351852,3,48.166667,1,0
2,1,0,4,4,0.545455,0,0.283333,3,18.416667,2,1
1,0,21,1,0,2,0,0.321429,0,21.142857,4,0
3,0,1,1,2,0.5,0,0.666667,0,19,1,0
1,0,0,2,0,2,0,0,0,132,0,1
1,0,15,11,0,2,0,0.375,0,0,1,0
1,0,1,3,0,1.4,0,1,0,52.5,0,1
4,0,3,9,4,0.6,0,0.5,0,34.5,1,1
2,1,0,2,5,0.4375,1,0.5,0,20.2,4,0
4,1,1,1,1,2,0,0.666667,1,3.5,1,0
2,0,15,2,5,2,0,0.333333,3,8.5,3,1
