@relation 'lucene-2.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-20'

@attribute noc numeric
@attribute bug {1,0}

@data
0,1
1,1
0,1
5,0
0,1
6,1
0,0
0,0
0,1
0,0
0,1
2,1
0,1
0,0
1,0
0,1
0,1
2,1
0,0
0,0
0,1
0,1
1,1
0,0
0,1
0,1
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,0
0,1
9,1
15,0
0,1
0,0
1,1
0,0
0,1
4,1
0,1
0,0
0,1
1,0
0,1
2,1
0,0
0,1
0,0
3,1
0,1
3,1
0,1
6,1
0,1
1,0
0,0
1,0
0,0
0,1
1,0
0,1
1,0
0,1
0,0
0,1
0,0
0,0
1,1
3,1
0,0
0,1
0,1
0,1
1,0
0,0
0,0
0,0
0,1
0,0
1,1
0,1
0,1
2,1
0,0
4,1
0,0
1,1
0,1
3,1
0,0
0,1
0,1
5,0
0,1
0,1
0,1
0,1
1,0
0,0
0,1
1,1
0,0
0,1
0,0
0,1
0,0
0,0
0,1
7,1
0,0
0,1
0,1
0,1
0,0
0,0
0,0
1,0
0,1
0,1
0,0
0,1
0,0
0,1
0,1
5,1
2,1
0,0
0,1
0,0
0,1
0,0
0,1
0,1
0,0
0,1
0,0
0,0
0,1
0,0
4,1
0,0
0,0
0,1
1,0
0,0
0,0
0,1
0,0
1,1
5,0
0,0
0,1
0,0
0,1
0,1
0,1
0,1
2,0
0,0
0,1
0,1
0,0
6,0
0,0
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,1
5,1
0,1
0,1
0,0
0,1
0,1
0,1
0,0
0,1
0,1
0,1
1,1
0,1
1,1
0,1
0,0
0,0
0,0
1,0
0,0
0,1
0,1
0,1
0,0
17,1
4,1
0,1
0,0
0,1
0,0
0,1
0,1
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,0
0,0
3,1
0,1
0,0
0,0
2,0
0,0
0,0
0,1
1,1
0,1
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,0
2,0
0,1
0,0
0,0
1,0
0,0
0,1
0,1
0,1
