@relation 'poi-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,16-17,19-20'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,0.948864,0.363636,3,0.352,15.28,1
0,0.84689,0.909091,7,0.225,15.25,1
0,0.924242,0.444444,0,0.289855,15.086957,1
0,0.702381,0.75,0,0.266234,13.590909,1
0,2,0,0,0.666667,4,1
0,0.833333,1,5,0.571429,22.857143,1
0,0.833333,0.833333,2,0.375,9.357143,0
0,0.933333,0.333333,0,0.522727,8.454545,0
0,0.85,0.5,0,0.522727,9.454545,1
0,0,1,2,0.5625,121,1
0,2,0,0,0.53125,5.5625,1
0,0.717949,0.666667,0,0.517857,23.5,1
0,0.85,0.5,0,0.418182,9.454545,0
0,1,1,0,0.6,2.4,1
0,0.933333,0.333333,0,0.522727,8.363636,0
0,0.75,0.5,0,0.253968,118.666667,1
0,0.863636,1,0,0.214286,25.25,0
0,2,0,0,0.5,9,0
0,0.772727,0.875,4,0.356522,15.26087,1
0,2,0,0,1,0,0
0,0.571429,1,2,0.458333,15.375,0
0,0.9375,0.75,0,0.416667,3.888889,1
0,2,0,0,0.333333,36.333333,0
0,1,0.2,0,0.522727,8.454545,1
0,0.7,0.8,3,0.376471,13.529412,1
0,2,0,0,1,0,0
0,0.8,1,0,0.666667,34.833333,1
0,2,0,0,1,0,0
0,0.921429,0.857143,0,0.361905,9.809524,1
0,0.222222,1,1,0.4375,30.5,0
0,0.333333,0,0,0.416667,19.25,0
0,0.85,0.5,0,0.522727,9.454545,1
0,0.85,0,0,0.418182,9.454545,0
0,0.933333,0.333333,0,0.522727,8.454545,0
0,2,0,0,0,0,0
0,2,0,0,0.4,0,1
0,0.858553,0.9375,9,0.277778,16.461538,0
0,1,0.066667,1,0.304762,5.761905,1
0,0.6875,0.75,0,0.527778,14.666667,1
0,1.142857,0,0,0.40625,5.75,1
0,1.25,0.5,0,0.6,2.2,1
3,0.5,1,0,0.6,4.6,1
0,0.814815,0.833333,0,0.307018,12,1
0,0.25,1,0,0.311111,31.444444,0
0,0.75,1,2,0.36,5.4,0
3,0.958418,1,14,0.2,20.233333,1
0,0.333333,1,0,0.333333,10,0
0,0.916667,0.5,0,0.519231,15.846154,1
0,0.981195,0.483146,34,0.313684,13.46875,1
0,0.85,0.5,0,0.522727,8.454545,1
0,0.25,1,0,0.666667,24.333333,1
0,0.85,0.5,0,0.522727,9.454545,1
0,0.85,0.5,0,0.418182,9.363636,1
0,0.85,0.5,0,0.418182,9.363636,1
0,0.833333,1,1,0.4,25.5,0
0,0.722222,1,0,0.166667,93.285714,1
0,0.880784,0.882353,8,0.108571,28.355263,1
0,2,0,0,1,0,0
0,2,0,0,0.666667,3.5,0
0,0.2,1,0,0.166667,43.166667,1
0,2,0,0,0.583333,39.333333,1
0,0.879348,0.95,12,0.32766,16.787234,1
0,0.777778,0.666667,0,0.333333,12.230769,1
0,0.723077,0.8,2,0.183761,19.296296,1
0,0.898649,0.9375,6,0.335135,12.684211,0
0,0.864,0.9,3,0.352,11.730769,1
2,0.611111,1,2,0.325,5.9,0
0,1.5,0,0,0.666667,0,1
0,0.25,1,0,0.454545,7.181818,0
0,0.824074,0.833333,0,0.460526,13.473684,1
0,2,0,0,0.583333,0,0
0,0.961765,0.352941,0,0.452381,11.761905,1
0,0.85,0.5,0,0.418182,9,1
0,0.533333,1,0,0.454545,6.909091,0
0,0.85,0.5,0,0.418182,9,0
0,1.177143,0.057143,2,0.3,39,1
4,2,0,0,0.666667,2.75,0
0,0.8,0,0,0.418182,15.363636,0
0,2,0,0,0.666667,3.5,0
0,2,0,0,1,0,0
0,1.125,0,0,0.555556,6.888889,1
0,2,0,0,0.5,40,0
0,0.90625,0.375,4,0.388889,9.888889,1
0,0.923274,0.565217,6,0.280952,16.685714,1
0,0.25,1,0,0.522727,6.545455,0
0,0.8,0.5,0,0.418182,9.636364,1
15,2,0,0,0.458333,19.75,1
0,1.090909,0.333333,0,0.333333,6.833333,1
0,0,0,1,0.666667,5.5,0
0,0.85,0.5,0,0.522727,9.454545,1
0,2,0,0,0.526316,5.631579,1
0,0.871429,0.8,0,0.516667,14,0
0,2,0,0,1,0,0
0,0.8125,0.8,0,0.470588,12.823529,1
0,0.796296,0.833333,0,0.21875,14.285714,1
0,0.830357,0.571429,2,0.376471,13.294118,1
0,0.85,0,0,0.418182,9.454545,1
1,0.357143,1,0,0.375,33.5,0
0,0.782609,0.8,0,0.305556,14.041667,1
0,1.142857,0,0,0.40625,5.75,1
0,0.333333,1,0,0.466667,35.25,0
0,0.975,0.25,0,0.522727,8.454545,0
0,0.828704,0.888889,2,0.352,15.12,1
0,0.888288,0.933333,1,0.243421,41.368421,1
0,0.892573,1,2,0.187192,39.372881,1
0,0.5,1,1,0.342857,5.714286,0
0,1.2,0,0,0.333333,21.666667,1
0,1.5,0,0,0.555556,11.333333,0
0,0.924242,1,1,0.3125,17,0
0,0.883929,0,1,0.485294,15.823529,1
0,2,0,0,0,0,0
0,2,0,0,0.333333,104,1
0,0.388889,1,0,0.313333,24.04,0
0,2,0,0,0.5,13,1
0,2,0,0,0.555556,0,1
0,0.85,0.5,0,0.522727,8.454545,0
0,0.85,0.5,0,0.418182,9.363636,0
0,0.388889,1,0,0.36,24.04,0
0,0.533333,1,0,0.291667,9.5,0
0,2,0,0,0.2,20.65,0
0,0.75,0.75,0,0.310606,13.818182,1
0,0.933333,0.333333,0,0.418182,8.363636,1
0,0.94,0.4,1,0.301587,14.190476,1
0,0.901235,0.555556,0,0.460526,13.473684,1
0,0.833333,0.75,0,0.5,9.769231,1
0,0.25,1,0,0.454545,7.181818,0
0,2,0,0,0,0,0
0,2,0,0,0.75,0,0
0,1.142857,0,0,0.40625,5.75,1
0,2,0,0,1,4,0
0,0.744318,0.875,6,0.356522,15.478261,1
0,0.805556,0.666667,0,0.5,10.923077,1
0,2,0,0,0.666667,8,0
0,2,0,0,0.5,5.4,0
4,0.333333,1,0,0.666667,10.25,0
0,0.796296,0.833333,1,0.368421,13.684211,1
0,0.642857,1,1,0.25641,19.307692,0
0,0.75,0.6,4,0.147929,36.076923,1
0,0.577778,0.8,0,0.206349,39.9,1
0,0.85,0.5,0,0.522727,8.454545,0
0,0.876923,0.8,0,0.517857,13.071429,1
0,2,0,0,0.306122,49,1
0,0.978947,0.133333,1,0.258333,5.25,1
0,0.85,0.5,0,0.418182,9.454545,1
0,1.125,0,0,0.555556,6.888889,0
0,2,0,0,0.583333,0,0
0,0.666667,1,2,0.4375,5.25,0
0,0.795455,0.875,3,0.356522,14.956522,1
0,0.777778,0.666667,0,0.333333,12.153846,1
0,0.85,0.5,0,0.418182,13,1
0,0.833333,0.833333,0,0.369565,15.217391,1
0,0.566667,1,1,0.272727,17.818182,0
0,2,0,0,0,0,0
0,0.85,0.5,0,0.522727,8.454545,0
0,0.782609,0.8,0,0.261905,14,1
0,0.659004,1,0,0.353448,18.133333,1
0,2,0,0,1,0,0
0,0.673913,0.833333,3,0.183333,17.541667,0
0,0.5,1,3,0.198864,27.0625,0
0,0.809524,1,2,0.5,20.5,1
0,1.125,0,0,0.555556,6.888889,0
0,2,0,0,1,3,0
0,0.673077,0,0,0.297619,11.785714,1
0,0.865079,0.857143,0,0.368421,12.631579,1
0,0.895833,0.166667,0,0.485714,32.36,0
0,2,0,0,1,3,1
40,1.25,1,0,0.8,56.4,1
0,0.865306,0.928571,5,0.282407,15.861111,1
0,2,0,0,0.666667,4,1
0,0.975,0.25,0,0.522727,8.454545,1
0,0.814286,0.8,0,0.322222,12.6,1
0,0.833333,0.833333,0,0.470588,12.294118,1
1,0.725,0.75,4,0.3625,15.428571,1
0,2,0,0,0.583333,0,0
0,2,0,0,0.75,0,0
0,0.75,0,0,0.294872,13.307692,1
0,1.5,0,0,0.777778,54.666667,0
1,0.5,1,0,0.6,4.6,1
0,0.866667,1,0,0.203704,9.870968,1
0,0.857143,0.25,1,0.342857,25.875,1
0,0.805556,0.666667,0,0.4,9.538462,0
0,0,1,1,0.514286,35.571429,0
0,2,0,0,0.666667,4,1
0,1,0.2,0,0.522727,8.454545,0
0,0.805556,0.666667,0,0.5,9.538462,1
0,0.927083,1,1,0.265306,30.473684,0
0,0.333333,1,0,0.5,25.666667,0
0,0.809524,1,5,0.571429,42.857143,1
0,1.125,0,0,0.555556,6.888889,0
0,0.890909,0.6,0,0.35,12.833333,1
0,0.838843,0.636364,5,0.297101,15.304348,1
0,0.911702,0.95,8,0.27305,12.6875,1
0,0.941176,0.818182,0,0.225,10,1
2,0.5,1,2,0.458333,16.5,0
0,0.85,0.5,0,0.522727,8.454545,1
0,0.85,0.5,0,0.522727,9.454545,1
0,0.875,0.625,0,0.298611,14,1
0,2,0,0,0.666667,0,0
100,0.846154,0.75,0,0.5,7.642857,1
0,0.864943,0.916667,9,0.287356,11.633333,1
0,0.971053,0.315789,0,0.452381,14,1
0,1.047619,1,0,0.2,19.75,1
0,0.85,0.5,0,0.418182,9.454545,1
0,0,1,0,0.5,23,0
0,1,0.2,0,0.522727,9.454545,1
0,0.805556,0.666667,0,0.5,9.538462,0
0,0.354167,1,2,0.144796,25.470588,1
0,0.607843,1,2,0.172222,16.388889,1
0,1.142857,0,0,0.40625,5.75,1
0,1.1,0.8,0,0.6,6.2,1
0,0.85,0.5,0,0.522727,8.454545,0
0,0.85,0.5,0,0.522727,8.454545,0
0,0.794872,0.666667,0,0.4,15.5,1
0,0.85,0.5,0,0.418182,9.454545,1
0,0.740741,1,0,0.228571,21,1
0,0.083333,1,1,0.303571,39,0
0,2,0,0,0.5,18.5,0
0,0.938063,0.625,4,0.239382,14.236842,1
0,0.382353,1,0,0.433333,8.333333,0
0,2,0,0,0,0,1
0,0.785714,0.666667,0,0.483333,15.533333,1
0,0.712963,0.833333,4,0.368421,14.315789,1
0,0.6,1,0,0.375,37.666667,1
0,2,0,0,0,0,0
0,0.55,0,2,0.375,39.5,0
2,0,1,1,0.55,4.2,1
0,0.85,0.5,0,0.522727,8.454545,1
0,0.428571,1,0,0.425,9.875,0
0,0.832447,0.875,3,0.165957,11.6875,1
0,2,0,0,0.666667,4,1
0,0.81746,0.857143,1,0.368421,12.578947,0
0,0.75,1,1,0.407407,5,0
0,2,0,0,0.357143,2,1
0,2,0,0,0.5,11,0
0,0.85,0.5,0,0.418182,9.454545,1
0,0.8125,0.8,0,0.470588,10.941176,1
0,0.75,1,2,0.36,18.8,1
