@relation 'log4j-1.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,18-20'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute bug {1,0}

@data
0,0.876923,0.4,1,0.442308,1,3,1
0,0.911111,0.555556,0,0.30303,0,0,1
0,0.75,0,2,0.238095,0,0,0
0,0,1,0,0.375,0,0,0
0,0.697917,0,4,0.15,0,0,1
0,0.875,0,1,0.333333,0,0,0
0,0,0,0,0.583333,0,0,0
0,1.25,0,1,0.466667,0,0,0
0,0,0,0,1,0,0,0
0,2,0,0,1,0,0,1
0,2,0,0,0.75,0,0,0
0,0.822917,0,1,0.21875,0,0,0
0,0.777778,0,0,0.5,1,1,0
0,0.864198,0.888889,0,0.355556,1,1,1
0,0.942857,0,7,0.285714,0,0,1
0,1,0,0,0.5,1,1,0
0,0.666667,0,1,0.277778,0,0,0
0,0.714286,0,1,0.214286,0,0,1
0,2,0,0,1,0,0,0
0,0.936275,0.25,1,0.277778,1,1,1
0,0.666667,0,0,0.333333,0,0,0
0,0.792308,0,5,0.35,0,0,1
0,2,0,0,0.75,0,0,0
0,0.88,0.2,0,0.466667,0,0,0
0,0.555556,0,1,0.466667,0,0,0
0,0.898496,0.421053,4,0.196429,0,0,1
0,0.666667,0,0,0.555556,0,0,1
0,0.644444,1,0,0.314286,0,0,0
0,0.333333,0,0,0.333333,0,0,0
0,0.375,0,1,0.4375,0,0,0
0,2,0,0,0.666667,0,0,1
0,0.333333,0,1,0.52381,0,0,0
0,2,0,0,0.75,0,0,0
0,0.833333,0,1,0.2,0,0,0
0,0.883333,0,3,0.25,2,3,1
0,0.333333,0,0,0.357143,1,3,0
0,0.666667,0,0,0.333333,0,0,0
0,2,0,0,0.75,0,0,0
0,0.666667,0,1,0.333333,0,0,0
0,2,0,0,0,0,0,0
0,0.5,1,0,0.444444,1,3,0
0,0.833333,0.333333,0,0.5,0,0,0
2,1.333333,0,0,0.357143,1,3,0
0,0.833333,0,1,0.277778,0,0,0
0,2,0,0,1,0,0,0
0,0.666667,0,1,0.333333,0,0,1
0,0.733333,0,2,0.416667,0,0,1
0,0.5,0,1,0.25,0,0,0
0,0.875,0,1,0.175,0,0,0
0,2,0,0,0.5,0,0,0
0,2,0,0,1,0,0,0
0,0.956044,0.461538,3,0.375,0,0,0
0,0.666667,0,3,0.257143,0,0,1
0,0.694444,0.5,0,0.35,0,0,1
0,2,0,0,0.357143,1,3,0
0,0.142857,1,0,0.40625,0,0,0
4,1,0,0,0.407407,0,0,0
0,0.833333,0,0,0.3125,0,0,0
0,1,0.064516,1,0.259259,2,4,1
0,2,0,0,0.75,0,0,0
0,0.8,0,0,0.444444,0,0,0
0,0.25,0,3,0.555556,0,0,0
0,2,0,0,0.333333,0,0,0
0,2,0,0,0.5,1,1,0
0,0.75,0,1,0.277778,0,0,0
0,0.666667,0,0,0.090909,0,0,1
2,0,1,1,0.5,2,2,0
0,0.901235,0.666667,1,0.5,0,0,1
0,0.607143,0.285714,0,0.466667,1,1,0
0,0.873737,0.111111,3,0.186869,0,0,1
0,0.938034,0.055556,2,0.240741,2,3,1
0,0.666667,0,1,0.277778,0,0,0
0,0.208333,0,0,0.333333,0,0,0
5,0.72,0,1,0.44,0,0,0
0,2,0,0,0.5,0,0,0
0,2,0,0,0.555556,0,0,0
0,0.68,0.6,0,0.44,0,0,1
0,0.875,0,0,0.3,0,0,1
0,0.920635,0.714286,0,0.333333,0,0,0
0,0.666667,0,1,0.321429,0,0,1
0,2,0,0,0.266667,0,0,0
0,0.910714,0,0,0.154762,0,0,1
0,0.666667,1,1,0.666667,0,0,1
0,2,0,0,0.833333,1,5,0
0,0.666667,0,1,0.333333,0,0,0
1,0.666667,0.6,0,0.322917,1,13,1
1,0.703704,0.666667,1,0.190789,1,3,1
0,0.5,0,0,0.5,2,2,0
0,0.916667,0.375,0,0.244444,1,1,1
0,0.25,0,0,0.25,0,0,0
0,2,0,0,0.75,0,0,0
0,0.75,0.5,0,0.45,1,2,0
2,0.814869,0.5,5,0.149137,0,0,1
0,2,0,0,0.46875,1,2,0
0,2,0,0,0.236111,0,0,0
0,0.666667,0,1,0.375,0,0,0
0,0.866667,0,0,0.458333,0,0,0
0,0.888889,0.133333,1,0.198864,2,3,1
0,0.833333,0,1,0.333333,0,0,0
0,2,0,0,0.666667,0,0,1
1,1.057692,0,0,0.138462,0,0,1
0,0.333333,1,0,0.4,2,2,0
0,0.7,0,0,0.277778,0,0,0
0,0.845238,0,0,0.365385,2,3,1
0,2,0,0,1,0,0,0
0,0.5,1,0,0.555556,1,1,0
0,0.75,1,1,0.75,0,0,0
0,0.767857,0.5,0,0.241667,1,10,1
8,0.904762,0.875,5,0.201299,0,0,1
