@relation 'ivy-2.0_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.354rfc-0.343wmc-0.339loc-0.318npm-0.309ce... numeric
@attribute 0.489dit+0.465ic+0.451mfa+0.416cbm-0.235ca... numeric
@attribute -0.42amc-0.383avg_cc+0.299lcom3+0.293ca-0.278max_cc... numeric
@attribute 0.519dam-0.511lcom3-0.359avg_cc-0.275max_cc-0.226amc... numeric
@attribute 0.601ca+0.427cbo-0.277lcom-0.27cam-0.203moa... numeric
@attribute -0.951noc+0.128cbm-0.12lcom3-0.101max_cc+0.099ic... numeric
@attribute 0.462mfa+0.434amc-0.377cbm+0.292dit+0.271cbo... numeric
@attribute -0.424cbm-0.404ce+0.394max_cc-0.377amc+0.264dit... numeric
@attribute 0.565cam+0.419moa+0.387max_cc-0.282amc+0.274avg_cc... numeric
@attribute -0.511moa+0.487cam+0.412lcom-0.31ce+0.218amc... numeric
@attribute 0.438avg_cc+0.417lcom-0.406loc-0.336rfc+0.302amc... numeric
@attribute bug {1,0}

@data
-3.894459,-1.398281,-1.551947,-2.735801,1.154143,-0.366435,-0.51188,2.733858,0.945414,0.074416,-1.093624,1
1.248624,-0.499918,-0.620954,1.727736,0.382683,-0.980071,-0.602467,-0.251893,-0.222031,0.298393,-0.149143,0
1.245967,0.272489,-0.070345,1.511937,-0.327821,0.357539,0.520259,0.087647,0.103054,-0.433582,-0.141344,0
1.967893,-1.468856,0.872641,-0.994102,-0.26135,0.022931,-0.721146,-0.001024,-0.198503,0.028783,0.00691,0
2.444826,-1.510812,0.936128,-1.221404,-0.759255,-0.042235,-0.397524,-0.375085,0.591248,0.513901,-0.358255,0
-5.310284,-2.923573,4.237454,-2.344001,9.692872,1.492376,4.092468,0.938192,0.979422,0.966937,-0.576939,1
-0.197555,-0.763373,-1.467922,0.944714,-0.056393,0.434503,-0.20897,-0.17766,0.360247,-0.720835,0.373351,0
-1.86262,1.488698,-1.003662,-0.581657,-0.262945,-0.278503,0.839291,2.767019,0.110537,0.303982,-0.588054,1
1.17857,-0.590107,-0.642883,1.272425,-0.179829,0.416594,-0.47173,-0.040357,-0.094156,0.611155,-0.246783,0
-0.523637,-0.850468,0.007988,1.775119,-0.105435,0.498371,-0.947937,0.371065,-0.592791,-0.547163,0.528914,0
2.218319,0.800526,1.3392,-1.130163,-0.714818,0.032116,-0.253831,-0.225926,-0.178615,-0.381818,0.028343,0
0.35863,-1.360927,-0.633976,-1.961095,-0.08122,-0.137919,-1.151268,0.696374,-0.353177,-0.570595,0.84399,0
-1.523064,2.691881,1.101769,0.580154,-0.022279,0.417384,-0.357617,0.709589,-1.159017,0.780209,0.021359,0
0.525159,-0.528363,-0.517453,1.284405,-0.058791,-1.098675,-0.484712,-0.300308,-0.365755,0.808053,-0.414288,0
