@relation 'synapse-1.0_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.39rfc-0.377loc-0.317wmc-0.305ce-0.28max_cc... numeric
@attribute -0.338cbm-0.334ic-0.312mfa-0.301dit+0.285ca... numeric
@attribute '0.388mfa+0.38 dit+0.361ic+0.357cbm-0.288avg_cc...' numeric
@attribute '0.446cbo-0.392dam+0.39 ca+0.375lcom3-0.345moa...' numeric
@attribute '-0.523dam+0.42 lcom3-0.415noc-0.384ca-0.338cbo...' numeric
@attribute -0.849noc+0.254cam+0.217dam+0.207ca-0.156cbm... numeric
@attribute 0.515ce-0.433avg_cc-0.412max_cc-0.289cam-0.224npm... numeric
@attribute -0.562moa+0.547cam+0.266lcom-0.265ca+0.205ce... numeric
@attribute 0.493dit-0.419cbm+0.407mfa-0.404ic+0.257lcom3... numeric
@attribute -0.642cam-0.59moa-0.334ce-0.157cbo+0.145wmc... numeric
@attribute 0.567loc-0.444lcom-0.384ce-0.261avg_cc+0.244rfc... numeric
@attribute bug {1,0}

@data
-4.553924,-2.935748,-4.580614,3.104796,0.70522,0.557834,-2.724782,-0.468941,0.627618,0.558145,0.024905,0
2.160854,-0.736493,0.8708,-1.637142,-1.282948,1.127676,0.143453,1.210131,1.278617,-0.067544,-0.042395,0
-2.067159,-2.179059,-2.249147,1.111716,-0.429969,0.822935,-0.685164,0.380331,0.820109,0.3401,0.604235,0
0.045358,-0.328549,-1.849077,-1.215292,-1.287147,0.799752,-1.000319,0.253662,-0.897655,0.59756,-0.19549,0
3.819818,1.908723,-0.46036,0.916906,1.185612,0.435601,-0.741421,0.796049,-0.317612,-1.318202,0.433708,0
1.054789,-1.047843,-0.580819,-1.042313,-1.103359,1.037952,-0.43448,0.874138,0.577066,0.16493,0.338203,1
-1.788404,0.146397,0.192998,0.132506,0.382123,-0.04978,0.489203,0.673003,0.788515,0.98309,0.946975,0
3.706413,0.074177,1.821814,0.758069,0.866741,0.660126,-0.13705,0.885956,2.438212,-0.361713,0.225786,0
-0.769746,-0.006463,-1.548003,0.053645,-0.08141,-0.369962,-0.40907,0.128488,-0.017047,0.413009,-0.072184,0
1.119452,0.507211,-1.140969,-1.772677,-0.51155,0.421493,-0.728278,0.054859,-0.458492,0.966182,0.2793,0
3.724976,2.00107,-0.361576,1.143802,1.018641,0.495181,-0.627098,0.737779,-0.381115,-1.402313,0.367627,0
1.319391,-3.172757,2.958486,-0.444977,0.114729,0.16888,-0.983157,-0.190491,-0.473649,-0.045275,0.033645,0
2.139657,-0.060148,0.032346,-1.792322,-1.033241,0.860426,0.036642,0.974589,0.303133,-0.079914,0.014808,0
-0.438175,0.98171,-0.748999,0.819554,-3.720458,-4.856142,-0.282102,0.447292,0.126111,-0.556466,-0.111471,0
-1.345449,-0.148315,-1.787632,0.058319,0.040629,0.190043,0.018112,-1.009542,0.260549,-0.672633,-0.497934,0
4.176999,1.703454,-0.565673,-0.013832,1.745558,0.116818,-0.447456,1.16551,-0.139719,-1.18048,0.790928,0
0.999231,0.768335,0.614559,-1.92207,-0.254853,0.283305,0.042598,-0.822249,0.944776,0.479082,-0.214473,0
-3.586723,0.494885,1.992689,-1.690944,0.659451,-0.116101,-0.904934,-1.049921,0.164708,-0.778428,0.286991,0
0.86193,-1.825827,1.82185,-0.039345,0.679342,-0.415686,0.324567,-0.070972,-0.651466,-0.011517,-0.488502,0
-0.21926,0.862736,-0.717184,-1.300285,0.110877,-0.221711,0.889445,-0.947798,-0.011368,-0.051382,-0.224304,0
-2.514698,-0.400496,-0.00918,0.156525,-0.226518,0.109874,0.970596,0.687013,0.832269,0.664884,0.802287,1
-2.836218,2.073019,0.138615,-2.2955,0.215273,0.043374,0.092975,-2.041187,0.678984,-1.690393,0.123466,0
