@relation 'PC1-weka.filters.unsupervised.attribute.Remove-R1-6,8-13,15,17-21'

@attribute L numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute defects {false,true}

@data
1.3,2,2,false
1,1,1,true
0.04,44,31,true
0.04,41,24,true
0.01,71,49,true
0.02,32,39,true
0.03,71,49,true
0.01,40,225,true
0.1,3,8,true
0.04,2,10,true
0.04,14,18,true
0.04,32,17,true
0.04,15,24,true
0.05,38,17,true
0.08,25,9,true
0.03,62,39,true
0.07,0,12,true
0.04,15,17,true
0.05,1,10,true
0.03,27,23,true
0.02,62,34,true
0.03,6,11,true
0.05,6,20,true
0.06,5,19,true
0.11,0,8,true
0.07,6,8,true
0.16,0,7,true
0.07,0,13,true
0.12,0,15,true
0.16,0,8,true
0.08,9,3,true
0.08,0,12,true
0.14,4,6,true
0.08,4,9,true
0.08,14,28,true
0.04,73,32,true
0.02,23,37,true
0.05,17,18,true
0.04,49,39,true
0.04,0,13,true
0.08,3,2,true
0.26,7,8,true
0.02,42,36,true
0.07,0,7,true
0.03,18,80,true
0.05,0,11,true
0.33,0,1,true
0.02,50,56,true
0.15,1,7,true
0.03,27,31,true
0.15,1,7,true
0.07,1,9,true
0.02,55,55,true
0.03,6,5,true
0.03,39,32,true
0.05,8,9,true
0.05,9,7,true
0.02,20,27,true
0.07,9,12,true
0.5,0,0,true
0.07,5,7,true
0.05,7,5,true
0.5,0,0,true
0.13,0,9,true
0.5,0,0,true
0.5,0,0,true
0.08,0,12,true
0.5,0,0,true
0.5,0,0,true
0.07,1,16,true
0.09,7,4,true
0.08,4,3,true
0.22,0,2,true
0.06,6,7,true
0.08,6,8,true
0.5,0,0,true
0.05,4,20,true
0.5,0,0,true
0.27,2,6,false
0.08,2,21,false
0.22,3,2,false
0.03,35,43,false
0.07,0,1,false
0,0,0,false
0.08,0,2,false
0,0,0,false
0.02,1,2,false
0,0,0,false
0,0,0,false
0,0,0,false
0,0,0,false
0,0,0,false
0,0,0,false
0,0,0,false
0,0,0,false
0.24,9,5,false
0.24,2,2,false
0.17,15,11,false
0.24,9,5,false
0.24,2,2,false
0.13,19,18,false
0.11,2,7,false
0.09,5,14,false
0,0,0,false
0,0,0,false
0.13,8,9,false
0.4,2,1,false
0.4,3,3,false
0.14,6,5,false
0,0,0,false
0.15,0,0,false
0,0,0,false
0.56,0,1,false
0.11,0,5,false
0.05,0,1,false
0.06,9,23,false
0.05,11,30,false
0,0,0,false
0.04,2,16,false
0.5,0,5,false
0.04,17,18,false
0.08,3,16,false
0.16,15,7,false
0.09,0,2,false
0.14,19,11,false
0.16,15,7,false
0.09,0,2,false
0.16,15,15,false
0,0,0,false
0,0,0,false
0.04,19,25,false
0.08,6,14,false
0,0,0,false
0.17,0,1,false
0.3,4,4,false
0.21,4,7,false
0.29,0,0,false
0.07,0,3,false
0.5,0,1,false
0.15,0,0,false
0.1,0,0,false
0,0,0,false
0,0,0,false
0,0,0,false
0.05,10,28,false
0,0,0,false
0,0,0,false
0,0,0,false
0,0,0,false
0,0,0,false
0.24,9,6,false
0.05,5,7,false
0.16,16,10,false
0.24,9,6,false
0.29,0,1,false
0.14,19,11,false
0.06,5,22,false
0.1,5,13,false
0,0,0,false
0,0,0,false
0,0,0,false
0.03,10,31,false
0.12,9,7,false
0,0,0,false
0.08,0,0,false
0.02,0,8,false
0.03,0,2,false
0.03,4,4,false
0.04,0,1,false
0.06,15,15,false
0,0,0,false
0.5,0,1,false
0.24,9,6,false
0.18,9,5,false
0.12,12,11,false
0.24,9,6,false
