@relation KC2-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3

@attribute ev(g) numeric
@attribute l numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute lOCodeAndComment numeric
@attribute uniq_Op numeric
@attribute problems {no,yes}

@data
1.4,1.3,2,2,2,1.2,no
1,1,1,1,1,1,yes
50,0.01,35,9,10,47,yes
10,0.03,15,34,5,23,yes
12,0.03,7,19,4,18,yes
13,0.03,2,20,0,19,yes
6,0.03,18,17,0,18,yes
1,0,0,0,0,1,no
1,0.17,0,1,0,9,no
1,0.14,0,0,0,8,no
1,0.5,0,0,1,4,no
1,0.67,0,2,0,3,no
1,0.27,9,0,0,6,no
1,0.67,0,0,0,3,no
1,0,0,0,0,3,no
1,0.67,0,0,0,1,no
1,0.05,1,7,0,19,no
1,0.4,1,0,0,5,no
1,0.25,0,0,0,8,no
1,0.25,0,0,0,8,no
1,0.35,0,0,0,5,no
1,0.35,0,0,0,5,no
1,0.27,0,1,0,7,no
1,0.13,1,0,0,11,no
4,0.05,2,4,0,14,no
1,0,0,0,0,1,no
4,0.05,5,8,0,22,no
1,0.5,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.4,0,0,0,5,no
1,0.67,0,0,0,3,no
5,0.07,1,1,0,13,no
1,0.15,0,1,0,10,no
1,0.07,1,5,1,16,no
1,0.07,1,4,2,12,no
1,0.22,0,0,0,6,no
1,0.07,0,7,0,11,no
1,0.18,0,1,0,8,no
1,0.17,0,1,0,9,no
1,0.14,28,5,0,9,no
1,0.67,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.5,0,2,0,4,no
1,0.05,7,5,0,14,no
1,0.4,0,0,0,5,no
1,0.16,0,2,0,10,no
1,0.15,6,4,0,11,no
1,0.15,3,1,0,10,no
1,0.67,0,2,2,3,no
1,0.13,0,3,0,11,no
1,0.13,3,2,0,10,no
1,0.11,0,3,0,13,no
1,0.29,0,0,0,7,no
1,0.13,0,1,0,12,no
1,0.29,0,0,0,7,no
1,0.33,0,0,0,6,no
1,0.33,0,0,0,6,no
1,0,0,0,0,1,no
1,0.09,0,2,0,14,no
1,0.17,1,4,0,10,no
1,0.12,2,5,0,9,no
1,0.1,0,2,0,11,no
1,0.1,1,3,0,11,no
1,1.33,0,0,0,3,no
1,0.12,0,0,0,2,no
1,0.91,0,0,0,1,no
1,0.67,0,0,0,3,no
1,0.5,0,0,0,4,no
1,0.67,0,1,0,3,no
1,0.17,0,1,0,6,no
1,0.67,0,0,0,3,no
1,0.06,3,13,0,11,no
1,0.5,0,0,0,4,no
1,0,2,1,0,5,no
5,0.04,5,4,0,16,no
1,0,0,0,0,1,no
1,0.14,0,2,0,9,no
3,0.08,2,5,0,15,no
5,0.07,2,5,0,14,no
1,0.67,0,0,0,3,no
4,0.05,3,5,0,17,no
1,0.17,0,0,0,8,no
1,0.09,1,7,1,11,no
1,0.06,1,7,1,13,no
4,0.08,0,2,0,12,no
1,0,0,0,0,1,no
1,0.08,0,4,0,12,no
1,0.05,0,14,0,11,no
1,0.67,0,0,0,3,no
1,0.33,0,0,0,4,no
1,0,0,0,0,4,no
1,0.36,0,0,0,2,no
1,0.92,0,0,0,1,no
1,0.07,1,5,0,16,no
1,0.4,0,0,0,5,no
1,0.67,0,0,0,3,no
1,0.14,0,2,0,8,no
1,0.67,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.67,0,1,0,3,no
1,0.23,0,0,0,6,no
1,0.67,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.4,0,0,0,5,no
4,0.05,9,40,0,19,no
1,0.67,0,0,0,3,no
1,0.3,0,1,0,5,no
1,0.67,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.3,0,1,0,5,no
1,0.3,0,1,0,5,no
1,0.17,0,1,0,9,no
1,0.3,0,0,0,5,no
1,0.3,0,1,0,5,no
1,0.3,0,1,0,5,no
1,0.3,0,2,0,5,no
1,0.3,0,1,0,5,no
1,0.67,0,1,0,3,no
1,0.67,0,0,0,3,no
1,0.3,0,1,0,5,no
1,0.3,0,1,0,5,no
1,0.67,0,0,0,3,no
4,0.05,2,19,0,17,no
1,0.2,0,2,0,9,no
1,0.06,0,12,0,17,no
1,0.08,0,4,0,11,no
1,0.27,0,1,0,5,no
1,0,0,0,0,1,no
1,1.33,0,0,0,1,no
1,0.67,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.67,0,0,0,3,no
1,0.07,1,3,0,10,no
1,0.67,0,0,0,3,no
1,0.4,0,0,0,5,no
1,0.09,0,5,0,9,no
1,0,0,0,0,1,no
1,0.17,0,1,0,8,no
1,0.67,0,0,0,3,no
1,0,0,0,0,5,no
1,0.07,3,3,0,15,no
1,0.07,3,3,0,15,no
1,0.12,0,3,0,12,no
