@relation 'ant-1.6_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.363wmc-0.362rfc-0.339npm-0.3ce-0.297loc... numeric
@attribute '-0.468dit-0.45mfa-0.43ic-0.405cbm+0.25 ca...' numeric
@attribute 0.474ca+0.448cbo+0.348noc-0.344max_cc-0.341avg_cc... numeric
@attribute 0.639lcom3-0.588dam+0.227cam+0.225lcom-0.175noc... numeric
@attribute '0.54 avg_cc+0.459max_cc+0.314noc+0.302ca+0.253cbo...' numeric
@attribute '0.88 amc-0.243avg_cc+0.234loc-0.205cam-0.205max_cc...' numeric
@attribute 0.643noc+0.484moa-0.262ca-0.247lcom+0.215lcom3... numeric
@attribute '0.551cbm-0.515mfa+0.4  ic-0.29dit-0.264ce...' numeric
@attribute -0.571moa-0.571cam+0.383ce-0.289lcom-0.221dam... numeric
@attribute 0.552moa-0.497noc-0.28lcom+0.273cbo-0.236npm... numeric
@attribute -0.584ce-0.568cam+0.343dit-0.226ic+0.216lcom... numeric
@attribute -0.686loc+0.406avg_cc+0.322amc+0.301npm+0.265lcom... numeric
@attribute bug {1,0}

@data
1.965503,1.290273,-0.304192,-0.502922,-0.598854,0.152412,0.019004,0.479873,-0.124393,-0.098239,-0.547475,-0.122408,0
1.745558,-1.286593,0.626081,2.180344,0.608365,-0.278082,-0.085949,-0.726006,0.392973,0.168696,1.169567,0.111113,0
-0.042332,1.547788,-0.572156,0.003417,-0.630995,0.285883,0.677524,0.260739,1.182199,0.865286,-0.335478,-0.008471,0
-3.578413,-1.891561,-0.331219,0.598088,-0.249535,0.495434,0.336167,0.973862,0.865033,-0.267883,-1.040013,-0.8719,1
0.56853,1.248413,-0.783966,-1.374942,-0.552013,0.023498,0.301394,0.598665,0.000847,0.279918,0.509856,0.063375,0
-1.544354,-0.622126,-0.77015,-0.101732,0.167262,-0.383717,-0.505116,-0.578972,0.537369,-0.5579,-0.246189,0.05995,0
2.918261,0.007311,0.709898,2.192195,-0.327251,-0.397752,-0.073917,-1.172592,-0.429799,-0.139945,-0.181417,-0.273664,0
1.592165,-0.272738,0.246813,-1.688112,-0.582611,-0.152279,-0.796712,-0.82542,-0.555753,-0.132955,-0.283765,0.07013,0
-4.917321,-2.968507,-0.477261,0.706544,1.026673,0.142759,1.562565,0.73038,-0.380875,0.824832,-0.71488,-0.455861,0
-0.85066,-1.863999,0.147504,-0.857668,0.014799,0.091393,-0.18716,0.547549,0.884184,-0.014348,-0.212026,0.357212,1
1.586832,1.583572,-1.033104,0.199614,0.092047,1.566703,-0.326336,0.4395,-0.515536,-0.473494,-0.189069,-1.275356,0
-2.770127,-2.910904,0.553905,0.623955,-0.72415,0.814183,-0.010032,1.260791,1.068344,-0.846228,-0.872586,-0.775351,1
0.408391,1.248657,-0.58892,-1.672603,-0.459847,0.032386,0.122294,0.55296,0.0267,0.413655,0.250282,0.1823,0
1.712587,-0.157354,0.405734,-1.140092,-0.77094,-0.08563,-0.569553,-0.823347,-0.384906,-0.081848,-0.352332,-0.03177,0
-2.687235,2.32681,-0.810944,-0.877621,0.808115,-0.446219,-1.224893,0.432923,0.61986,-0.506006,0.468568,0.054379,1
1.928978,-2.407572,1.389534,2.878956,0.682346,-0.492114,-0.178432,-0.202088,-0.568352,-0.335418,0.094326,0.057623,0
-3.577275,0.080686,-0.804256,0.883353,-0.723756,-0.050394,0.951677,-0.523128,-0.508032,0.997219,0.287274,-0.556209,0
-0.297741,-3.0092,0.875579,-0.3374,0.01309,0.221297,-0.260477,0.575582,0.305162,-0.14412,0.065723,0.002115,0
-1.747405,-0.436286,0.227479,-0.422616,-1.34943,0.503485,1.69714,-0.617306,-0.786591,2.434521,-0.789485,-0.357093,1
-3.102414,-1.150819,-0.741243,0.090568,-0.027501,-0.310088,0.109436,0.004548,0.932216,-0.094463,-0.438589,0.265312,0
2.970218,2.026733,0.449025,1.607507,0.398614,-0.499754,0.0573,0.595709,-0.458749,0.140566,-0.70503,-0.043772,0
-4.937729,-0.603845,0.534636,0.97128,1.656319,0.183968,-0.817061,1.361995,0.831199,0.250128,-0.250908,-0.710689,0
-0.076496,-2.994168,0.841016,-0.406765,0.059568,0.220187,-0.31999,0.715571,0.09852,-0.273986,0.394114,-0.052264,0
1.5923,-0.751613,0.555614,-1.535522,-0.853053,-0.050976,-0.861992,-1.172478,-0.538432,-0.155671,-0.047383,-0.102935,0
1.431362,1.045413,-0.261663,-2.007459,-0.934984,-0.11198,-0.089055,0.521744,-1.011384,-0.022087,-0.381798,0.141912,0
1.289345,-0.415934,-1.015813,2.429644,2.283808,-1.136097,-0.138353,-0.877375,-0.362767,0.033309,-1.06512,1.01568,1
-1.204305,-3.388853,0.820622,0.018021,0.658608,-0.052114,-0.294951,1.430084,0.291595,-0.32291,0.523871,0.52306,0
-0.00917,-2.101074,0.363305,0.299656,0.80398,-0.132851,-0.435375,0.022055,0.453717,0.076846,0.974288,0.345324,0
0.079057,-2.868828,0.862378,0.246648,0.515321,0.060226,-0.271855,0.72699,0.45141,-0.012501,0.708859,0.250257,0
0.900535,-2.385078,-0.219336,0.858348,1.850558,-0.801571,-0.568061,-0.285551,-1.297907,-0.506493,-0.816018,0.762134,0
1.26472,-0.52769,0.397321,-0.78178,-0.792472,0.021137,-0.509947,-1.12944,0.008809,-0.016237,0.125007,-0.024495,0
2.693694,1.74533,-0.266449,1.355989,-0.09609,-0.304832,0.505165,0.726113,0.225349,0.026475,0.111329,0.076062,0
2.683607,-0.59833,0.710652,2.050324,-0.183663,-0.197329,0.149507,-0.141109,-0.134902,-0.228948,0.438774,-0.274298,0
1.570266,1.081821,-0.478828,-1.693865,-0.401201,0.408657,-0.453567,0.426403,-0.670167,-0.283807,-0.578358,-0.041413,0
-1.969511,-0.596343,-0.090187,-0.115939,-0.487417,-0.013024,-0.455399,-1.848201,1.302195,-0.117558,0.252459,-0.225668,1
3.059642,1.820832,0.063085,1.626318,0.141239,-0.535597,0.278777,0.517997,-0.428412,-0.030084,-0.755188,0.031259,0
1.155967,-0.027512,0.240837,-1.044259,-0.888817,0.051667,-0.048712,-0.741515,-0.334335,0.460149,-0.015031,0.010403,0
0.450758,-2.451806,-0.903291,0.894889,2.825702,-1.099995,-0.686332,-0.495425,-1.324478,-0.411862,-0.853256,1.230291,0
-0.976274,2.155984,-0.172507,0.332295,-0.177928,0.123574,0.251889,0.393178,1.665872,-0.023248,0.154654,0.017996,1
0.262227,-1.042967,-0.078821,-0.726461,-0.299695,0.287086,-0.463343,-0.258491,0.162145,-0.321693,0.570511,-0.232823,0
-1.263998,1.48014,-1.622348,-1.158249,-0.200578,-0.032134,0.232159,0.40843,-0.589735,0.069519,0.598654,-0.048326,1
-3.772114,1.960761,-1.115044,-0.477029,-1.896891,-0.437278,1.744233,0.099614,-1.30159,1.417912,0.495512,0.698771,1
-0.888476,-2.916942,-0.086592,-0.215997,1.117435,-0.175909,-0.10165,0.528675,-0.409702,0.054993,0.55899,0.150354,0
0.939855,-2.678879,1.257365,-0.901303,-0.442691,0.185225,-0.688915,0.507338,-0.898443,-0.606041,-0.515536,-0.147191,0
-6.197972,3.168421,-1.594655,0.546237,0.588448,-0.500464,-1.130432,-0.238075,-0.829023,-1.128196,0.436595,-0.877138,1
0.724913,1.506499,-0.078395,-1.284101,-0.52916,-0.030489,-0.020803,0.476108,-0.095106,-0.647029,-0.118645,0.040269,1
1.484006,1.328677,-0.072393,-1.455477,-0.557088,0.024745,-0.058046,0.676794,-0.101521,-0.318754,0.132994,0.101009,0
-1.064705,-4.614978,1.612403,0.471994,-0.082491,0.329556,0.403806,1.642534,-0.040028,0.083954,0.073712,0.061507,0
-1.888517,-0.416977,-1.099455,-0.139869,0.710413,-0.652393,-0.209621,-1.72308,0.91826,0.673407,0.349586,0.385977,0
-0.585649,-3.442539,0.697933,0.094748,0.307023,0.20119,-0.200967,1.183706,0.039846,-0.640084,-0.725304,0.060621,0
0.095028,-1.877491,0.583572,-0.634297,-0.581364,0.505521,-0.268906,0.091445,0.353125,-0.139396,-0.559864,-0.129957,0
-2.581659,-5.567898,1.524266,0.785464,0.918036,0.417109,0.165599,4.009673,0.270618,-0.838054,-0.3308,0.206353,1
-0.177949,1.584807,-1.466616,-0.011427,0.024664,0.273257,0.106333,0.537702,1.069853,-0.061813,0.729176,-0.398976,1
2.039708,1.144967,-0.010309,-1.540583,-0.632064,-0.243938,-0.473756,0.463394,-0.994882,-0.427692,-0.917266,0.051951,0
2.456201,1.728345,-0.478723,1.382467,-0.137005,-0.225216,0.543801,0.702695,0.307136,-0.048152,0.174003,0.012691,0
2.262524,-0.68621,0.666138,2.118876,-0.206688,0.077917,0.25295,-0.39053,0.2882,0.052337,0.125127,-0.292212,0
-7.404953,0.036828,1.312637,1.247519,-1.235981,-0.186678,-0.288004,0.693136,1.765536,-0.891544,-1.418517,1.153708,1
