@relation 'zxing1.6_golden-weka.filters.unsupervised.attribute.Remove-R1-2,54-weka.filters.unsupervised.attribute.Remove-R12,15,20,24,31-32,37-40,45-weka.filters.unsupervised.attribute.Remove-R9-20,34-35-weka.filters.unsupervised.attribute.Remove-R1-21,23-26'

@attribute RatioCommentToCode numeric
@attribute isDefective {TRUE,FALSE}

@data
0.8,FALSE
0.15,TRUE
0,FALSE
0.38,FALSE
0.09,TRUE
0.07,TRUE
0.14,FALSE
0.15,FALSE
0.17,FALSE
0.02,FALSE
0.11,FALSE
0.09,FALSE
0.32,FALSE
0,TRUE
0,FALSE
0,FALSE
0,FALSE
0.36,FALSE
0.14,FALSE
0.23,TRUE
0,FALSE
0.36,FALSE
0,FALSE
0.14,FALSE
0.14,FALSE
0.45,FALSE
0,FALSE
0.54,TRUE
0.21,TRUE
0.17,FALSE
0,FALSE
0.02,FALSE
0,TRUE
0.22,TRUE
0.62,FALSE
0.11,FALSE
0.1,FALSE
0.28,FALSE
0.17,TRUE
0,TRUE
0,FALSE
0.14,FALSE
0,FALSE
0.72,TRUE
0.24,FALSE
0.3,FALSE
0.72,FALSE
0,FALSE
0.08,TRUE
0.27,TRUE
0.12,TRUE
0,FALSE
0.41,FALSE
0,FALSE
0,FALSE
0,FALSE
0,TRUE
0,FALSE
0,FALSE
0.41,FALSE
0,FALSE
0.13,TRUE
0.49,TRUE
1.16,TRUE
0.24,TRUE
1.96,TRUE
0.23,FALSE
0.02,FALSE
0,FALSE
0.06,FALSE
0.05,FALSE
0.15,FALSE
0,FALSE
0.08,TRUE
0,FALSE
0,FALSE
0.13,FALSE
0,FALSE
0.17,FALSE
0,FALSE
0,FALSE
0.27,FALSE
0,FALSE
0.23,TRUE
0.57,FALSE
0,FALSE
0.12,FALSE
0.11,TRUE
0.16,FALSE
0.02,TRUE
0.04,TRUE
0.02,FALSE
0.11,FALSE
0.18,TRUE
0.28,TRUE
0,FALSE
0,FALSE
0,TRUE
0.03,TRUE
0.24,TRUE
0.09,TRUE
1.29,FALSE
0.02,TRUE
0,FALSE
0.03,FALSE
0,FALSE
0,TRUE
0.1,TRUE
0.01,FALSE
0.42,TRUE
0,FALSE
0.03,TRUE
0,TRUE
0.21,FALSE
0,FALSE
0,FALSE
0,FALSE
0,FALSE
0.27,TRUE
0.13,FALSE
0,FALSE
0.08,FALSE
0.03,FALSE
0,TRUE
0,TRUE
0,FALSE
0,TRUE
0.02,FALSE
0.49,FALSE
0.05,TRUE
0.55,FALSE
0.1,FALSE
0.03,TRUE
0.04,FALSE
0.32,FALSE
0,TRUE
0.08,FALSE
0,TRUE
0.13,FALSE
0,FALSE
0,FALSE
0,FALSE
0,FALSE
0,FALSE
0,FALSE
