@relation 'xalan-2.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,19-20'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute bug {1,0}

@data
3,0,112,0.777778,1,0,0.74,0.344444,2,8,30.625,0
2,14,0,0.363636,1,2,0.731707,0.21875,1,7,11.25,0
1,0,1362,1.001603,0.375,0,0,0.125,0,0,37.962264,1
3,2,1176,1,0,1,0.606838,0.122222,3,21,14.142857,0
1,0,0,2,0,0,0,1,0,0,0,0
1,0,36,2,0,0,0,0.333333,0,0,0,0
4,0,15,0.5,1,0,0.973094,0.314286,4,7,22.571429,1
3,0,28,2,0,0,0.860465,0.375,2,4,21.125,0
1,0,28,2,0,0,0,0.28125,0,0,0,0
2,0,4,0,1,0,0.851852,0.4,0,0,24.4,0
1,0,0,0.25,1,0,0,0.533333,1,1,5.2,0
1,10,526,0.998047,0,16,0,0.234375,0,0,7.606061,0
1,0,0,0.5,0,1,0,0.458333,0,0,20.857143,1
2,0,0,0.2,1,0,0.590909,0.381818,1,2,56.181818,0
1,0,1,2,0,0,0,0.75,0,0,2.5,0
4,0,1,2,0,0,0.979592,0.75,1,6,6.5,0
3,0,23,0.798319,1,8,0.811594,0.214286,2,3,85.066667,0
1,0,0,2,0,0,0,1,0,0,3,0
1,0,388,0.895703,0.901961,2,0,0.236702,0,0,46.291667,0
5,0,3,2,0,0,0.990698,0.666667,1,2,1.666667,0
1,0,0,0.892857,0,1,0,0.62963,0,0,37.444444,0
3,0,0,0.814815,0.444444,2,0.934211,0.285714,2,8,32.285714,0
2,0,120,2,0,0,0.821429,0.304688,1,7,13.3125,0
1,0,6,2,0,0,0,0.583333,0,0,0,0
3,0,15,1,0,0,0.615385,0.375,3,6,101.166667,1
1,1,10,2,0,0,0,0.4,0,0,0.6,0
3,0,10,2,0,0,0.98,0.466667,2,5,13.8,0
3,0,28,1.142857,0,0,0.857143,0.225,0,0,17.375,0
5,0,4,0.75,1,2,0.968992,0.44,1,5,48.4,1
1,0,0,2,0,0,0,0,0,0,0,0
1,0,39,0.826923,0.75,0,0,0.196429,0,0,22.642857,0
1,0,0,2,0,0,0,1,0,0,3,0
1,0,0,0.305556,0.75,1,0,0.44,0,0,58.2,0
5,0,0,0.636364,1,0,0.989529,0.55,1,1,41,0
3,0,0,0.333333,1,1,0.949153,0.4,2,5,29.5,0
1,0,0,0.52381,0.833333,0,0,0.583333,0,0,25.375,0
3,0,3,2,0,0,0.953488,0.555556,2,2,12.333333,0
4,0,4,0.5,1,0,0.969697,0.4,2,4,43.8,0
1,0,0,0.7,0,0,0,0.722222,0,0,28.5,0
5,0,1,2,0,0,0.982143,0.75,2,7,6,0
1,0,5,0.714286,0.714286,2,0,0.366667,0,0,20.272727,0
1,0,1,1,0,1,0,1,0,0,16,0
1,0,49,0.833333,0.833333,3,0,0.208333,0,0,7.866667,0
2,0,0,0,1,1,0.5,0.25974,0,0,9.428571,0
2,4,0,0.2,1,1,0.75,0.227273,1,7,6.909091,0
5,0,0,0.535714,1,1,0.954064,0.193939,0,0,32.133333,0
5,0,3,2,0,0,0.990698,0.583333,1,2,9,0
5,0,1,0.5,1,0,0.992806,0.625,2,3,8,0
5,0,0,0.583333,1,1,0.94697,0.277778,3,11,46,1
2,1,0,0,0,1,0.740741,0.416667,1,1,4.75,0
5,0,1,2,0,0,0.995327,0.666667,1,1,8.5,0
5,0,1,2,0,0,0.982456,0.75,1,6,16,0
6,0,0,2,0,0,1,1,0,0,5,0
1,0,15,2,0,0,0,0.5,0,0,0,1
3,0,9,0.5,1,1,0.970297,0.314286,2,5,6.714286,0
1,0,78,0.96875,0.2,1,0,0.211765,0,0,25.588235,0
1,0,55,0.153846,1,2,0,0.42735,0,0,14,0
1,0,4934,0.90559,1,6,0,0.103865,0,0,23.853448,1
1,0,0,0,1,2,0,0.666667,0,0,15.5,0
2,0,0,2,0,0,1,1,0,0,6,0
5,0,1,0.5,1,0,0.982456,0.75,1,7,57.666667,0
1,0,211,0.656566,1,3,0,0.196078,0,0,45.794118,0
2,26,3,2,0,0,0.964286,0.5,1,2,7,0
1,0,2,0.333333,0,1,0,0.583333,0,0,117.25,0
3,0,0,0.5,1,0,0.5,0.220238,1,2,22.47619,0
3,0,1,0.333333,1,0,0.922078,0.371429,2,8,8.857143,0
1,0,66,2,0,0,0,0.444444,0,0,0,0
1,0,0,1.266667,0,0,0,0.833333,0,0,15.25,0
1,6,0,0.238095,0,1,0,0.265152,0,0,5.863636,0
1,0,36,2,0,0,0,0.296296,0,0,0,0
2,0,71,0.538462,1,0,0.733333,0.222222,2,3,10.857143,0
1,0,0,2,0,0,0,1,0,0,0,0
4,1,0,2,0,0,1,1,0,0,3,0
3,0,8,0.5,1,0,0.904762,0.4,1,6,17.2,0
4,0,0,2,0,0,1,1,0,0,4,0
4,0,6,2,0,0,0.985366,0.625,2,4,29.25,0
2,1,0,0.238095,1,2,0.588235,0.34375,1,5,18.25,0
6,1,31,0.810458,1,1,0.853448,0.261905,3,8,61,0
2,0,20,0.571429,1,2,0.5,0.349206,1,1,22.25,1
4,0,3,2,0,0,0.979592,0.444444,3,13,18.666667,0
4,0,1,2,0,0,0.995261,0.625,3,4,31.5,0
3,0,3,2,0,0,0.95,0.833333,1,2,19.333333,0
2,0,3,2,0,0,0.5,0.555556,0,0,7,0
1,0,50,0.65625,1,0,0,0.196078,0,0,32.235294,0
2,0,0,0,1,0,0.684211,0.342857,1,2,29.285714,0
4,0,1,2,0,0,0.979592,0.75,1,6,7.5,0
1,0,0,2,0,0,0,1,0,0,3,0
1,0,0,2,0,0,0,0,0,0,28,0
1,0,0,2,0,0,0,1,0,0,0,0
2,1,6,2,0,0,0.823529,0.5,1,4,13.5,0
3,1,0,2,0,0,1,1,0,0,3,0
1,0,1,2,0,0,0,0.666667,0,0,0,0
3,0,210,0.916667,0.357143,0,0.465116,0.199074,1,2,37.6,1
3,0,188,1.019737,1,0,0.709677,0.292857,2,8,41.55,1
1,0,0,0,0,0,0,0.833333,0,0,11.333333,0
1,0,1,2,0,0,0,0.75,0,0,0,0
4,1,1873,0.911111,0.933333,11,0.591195,0.131313,2,19,32.507463,1
3,0,3,2,0,0,0.953488,0.555556,1,1,7.333333,0
3,0,119,0.85,0.8,4,0.756757,0.239234,1,3,75.578947,0
1,2,1037,0.878405,0.604651,6,0,0.133333,0,0,36.760563,1
2,0,0,0.166667,1,0,0.8,0.4,0,0,21.75,0
4,0,4,0.666667,1,0,0.964286,0.45,0,0,5.25,0
3,0,0,2,0,0,1,1,0,0,4,0
2,10,10,2,0,0,0.931034,0.44,1,4,10.2,0
3,0,0,0.45,1,2,0.918033,0.305556,2,8,67.666667,0
2,0,0,0,1,0,0.684211,0.342857,1,2,8.142857,0
5,0,6,2,0,0,0.986111,0.5,4,6,116,1
1,0,57,0.666667,0,1,0,0.278195,0,0,7,0
2,4,30,0.912946,1,0,0.704545,0.25,0,0,27.058824,1
1,6,466,0.806452,1,1,0,0.163462,0,0,7.59375,0
6,0,6,2,0,0,0.955224,0.5,2,8,27.25,0
4,0,21,2,0,0,0.923077,0.339286,2,7,63.571429,0
4,0,1,2,0,0,0.987805,0.6,0,0,5.5,0
1,0,561,2,0,0,0,0.119485,0,0,0,0
1,0,0,0.4375,1,2,0,0.45,0,0,21.2,1
2,0,0,0.55,0.5,1,0.583333,0.409091,1,3,10.363636,0
2,2,0,0.5,1,0,0.75,0.666667,0,0,9,0
1,0,3,2,0,0,0,0.333333,0,0,46,1
7,2,0,0.2,1,0,0.970803,0.4,4,10,14.5,0
5,0,28,2,0,0,0.951049,0.416667,3,19,2.875,0
3,0,3,2,0,0,0.989899,1,2,4,2.333333,0
1,0,0,2,0,0,0,1,0,0,0,0
8,0,2,0.333333,1,1,0.978571,0.4375,2,2,22.75,0
3,0,3,2,0,0,0.952381,0.555556,1,1,5.333333,0
1,0,0,0.5,1,1,0,0.555556,0,0,10,0
4,0,1,2,0,0,0.979592,0.75,1,6,6.5,0
1,0,3,2,0,0,0,0.444444,0,0,12.666667,0
1,0,0,0.68254,0.333333,2,0,0.365079,0,0,20.363636,0
7,0,6,0.409091,1,1,0.93007,0.291667,4,13,18,1
1,0,114,0.846429,1,4,0,0.237069,0,0,12.241379,0
1,0,0,2,0,0,0,1,0,0,0,0
5,0,3,2,0,0,0.990698,0.583333,2,4,12.333333,0
2,1,2,0.666667,1,0,0.942857,0.666667,2,3,21.25,1
4,0,1,0.5,0,0,0.97619,1,0,0,198.333333,0
5,0,1,2,0,0,0.995833,0.75,1,1,2,0
4,0,0,0.333333,1,0,0.979592,0.45,2,4,36,0
4,0,1,0.5,0,1,0.990868,0.555556,0,0,7.333333,0
2,1,36,2,0,0,0.6,0.314815,0,0,2.111111,0
4,0,0,0.166667,1,3,0.979592,0.444444,4,15,86,0
1,0,0,2,0,0,0,0,0,0,119,0
4,0,1,2,0,0,0.989691,0.6,2,4,20.5,1
1,0,3,1,0,3,0,0.388889,0,0,58.666667,0
4,0,3,2,0,0,0.990566,0.666667,1,1,55.333333,0
4,0,25,0.555556,0,1,0.905263,0.28,3,22,7.5,1
7,0,0,0,0.75,3,0.985185,0.444444,3,4,54.666667,0
4,1,1,2,0,0,0.995261,0.625,2,2,24,0
3,0,3,2,0,0,0.953488,0.555556,1,1,7.333333,0
2,0,0,0.444444,0,2,0.727273,0.5625,1,4,36.25,0
3,0,0,0.333333,1,0,0.959459,0.4,2,7,9.75,0
5,0,15,2,0,0,0.977064,0.533333,2,4,31.166667,1
3,0,15,2,0,0,0.975124,0.444444,2,5,25.666667,0
1,0,1,1.456897,0.896552,0,0,0.5,0,0,174,0
4,0,1,2,0,0,0.979592,0.75,2,7,35,0
3,0,0,0.75,1,1,0.933333,0.333333,2,6,27.4,0
1,0,66,0.909091,0,0,0,0.25,0,0,38.583333,1
2,0,337,0.894661,1,6,0.288889,0.131488,0,0,48.5,0
3,0,55,2,0,0,0.830189,0.348485,0,0,3,0
3,2,241,0.733333,0.4,2,0.641975,0.180108,2,9,34.16129,0
1,0,0,2,0,0,0,0,0,0,0,0
4,9,28,2,0,0,0.872727,0.5,2,5,12.75,0
3,0,53,0.785714,1,5,0.933333,0.293333,2,5,9.6,0
3,0,27,0.666667,1,2,0.937799,0.25,3,4,19.5,0
4,0,3,2,0,0,0.990566,0.666667,2,3,17,0
4,1,4,0.666667,1,0,0.990868,0.45,0,0,6.25,0
1,0,0,0.65,1,2,0,0.466667,0,0,63.6,0
2,0,0,0.5,0,2,0.714286,0.407407,1,1,6.222222,0
4,0,0,0.142857,1,2,0.925532,0.270833,2,3,15.625,0
3,0,1,0.5,1,1,0.965517,0.555556,1,4,11,0
1,0,666,2,0,0,0,0.191892,1,1,0,0
1,0,0,2,0,0,0,1,0,0,0,0
3,0,6,2,0,0,0.949153,0.4,1,4,9.75,0
5,0,1,2,0,0,0.982143,0.75,3,8,31.5,0
1,0,0,1.211538,0.051282,1,0,0.375,0,0,69.4,0
3,12,8,1.223684,0,0,0.926829,0.416667,0,0,80,0
3,0,0,0.4,1,2,0.918033,0.361111,1,6,32.166667,0
1,0,3,2,0,0,0,0.466667,0,0,86,0
4,0,15,2,0,0,0.938272,0.4,2,12,46,0
4,2,516,0.96875,0,6,0.801471,0.173611,3,29,17,1
1,6,3,2,0,0,0,0.555556,0,0,1,0
3,0,617,0.86031,1,9,0.830508,0.136298,2,6,55.571429,0
1,0,0,2,0.015625,0,0,1,0,0,3,0
3,0,0,0.65,1,3,0.918033,0.305556,1,5,58.5,0
2,0,10,2,0,0,0.5,0.35,2,5,60,0
3,0,0,0.285714,1,1,0.965517,0.270833,2,5,13.5,0
1,0,0,0.783972,1,2,0,0.23545,0,0,9.238095,0
1,0,0,2,0,1,0,1,0,0,12,0
3,0,3,2,0,0,0.952381,0.555556,1,1,7,0
4,0,3,2,0,0,0.979592,0.444444,3,14,42.666667,0
1,0,1,0.75,0.5,0,0,0.571429,0,0,69.714286,0
3,0,89,1.030769,0.3,0,0.821918,0.207143,2,5,55.785714,0
1,0,0,2,0,0,0,1,0,0,0,0
