@relation xalan-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R10

@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,1,0,1,1.428571,0,0,0.97619,1,0,618.333333,0.3333,1
0,0,0,20,0.5,1,1,0.933333,0.333333,7,33.8,1.8,0
0,76,1,10,0.875,0.5,1,0,0.208333,0,27.230769,1.9231,1
0,222,1,11,0.855967,0.888889,5,0.866667,0.196296,26,87.25,1.1429,1
0,6,0,7,2,0,0,0.96,0.5,8,19.25,0.75,1
2,239,11,13,0.733333,0.4,2,0.641975,0.180108,9,34.16129,3.0645,1
0,0,2,0,2,0,0,0,0,0,0,0,0
9,8,9,9,2,0,0,0.872727,0.5,5,12.75,1.125,1
0,1,0,1,1.423077,0,0,0.97619,1,0,1251,0.3333,0
2,2539,37,17,0.966051,0.913043,4,0.728625,0.073443,19,14.040541,1.8378,1
0,15,0,17,1.2,1,0,0,0.5,0,60.166667,0.8333,1
2,1,7,5,2,0,0,0.986111,0.5,0,21,1.5,0
0,0,0,3,0,1,1,0.952381,0.666667,2,12.5,1.5,0
0,6,1,7,1,1,0,0.952381,0.4,4,6,0.75,0
0,814,2,1,2,0,0,0.74,0.153846,6,2.926829,0.9512,0
2,354,6,12,0.88172,1,2,0.866953,0.180556,19,19.21875,1.8438,1
0,0,17,0,0.285714,0,0,0.666667,0.34375,0,13.75,1,0
0,7,0,19,0.458333,1,1,0.941176,0.285714,13,37.714286,3.2857,0
0,0,4,3,0.520833,0.5,1,0.890909,0.253333,1,5.36,1,1
0,0,1,13,0.142857,0.928571,9,0,1,0,100.5,1.5,0
0,0,2,0,0.416667,1,0,0,1,0,19.75,1,1
1,58,10,3,0.666667,0,0,0,0.307692,0,18.923077,2,1
1,5671,1,1,2,0,0,0,0.19107,0,5.056075,0.9907,1
0,1,0,1,1.3,0,0,0.97619,1,0,289,0.3333,0
0,0,3,2,2,0,0,0,1,0,0,1,1
0,0,8,0,0.40625,1,0,0,0.5,2,11.555556,1.1111,0
18,8,19,0,1.223684,0,0,0.926829,0.416667,0,80,1,1
0,0,0,21,0.4,1,2,0.918033,0.361111,7,32.166667,1.6667,1
0,3,0,10,2,0,0,0,0.466667,0,84.666667,0.6667,1
0,1,10,28,2,0,0,0.938272,0.4,13,46,3.6667,1
0,0,0,2,0,0,1,0,0.666667,0,6.666667,0.6667,0
5,1101,74,43,0.912037,1,6,0,0.149691,0,18.872727,2.1818,0
0,370,13,34,1,0,0,0.564516,0.181548,3,18,1.8214,0
0,1,1,5,2,0,0,0.953488,0.833333,6,13,0.6667,0
0,3,13,0,2,0,0,1,0.555556,0,4.333333,0,0
0,1,12,2,0.553571,1,1,0,0.383333,0,30.533333,2.4667,0
1,53,7,3,0.8,1,0,0.714286,0.327273,5,10.272727,1.4545,1
0,3,1,9,2,0,0,0.990566,0.666667,1,55.333333,0.6667,0
0,0,0,1,2,0,0,1,1,0,3,0,1
0,23,1,8,0.555556,0,1,0.905263,0.28,22,7.8,1,0
0,0,0,15,0,0.75,3,0.985185,0.444444,4,54.666667,3,1
0,932,23,41,0.568182,0.6,1,0.328125,0.175926,1,25.066667,1.2222,1
0,0,4,0,0.543478,1,0,0,0.316667,0,18.875,1.6667,1
0,1,0,1,1.3,0,0,0.97619,1,0,289,0.3333,0
0,508,6,4,0.7375,0.85,12,0,0.151562,0,34.030769,1.8462,1
0,6,0,2,1,0,1,0.966667,0.5625,0,5.25,0.25,0
0,15,1,25,2,0,0,0.977064,0.533333,4,36.666667,1.6667,1
0,15,0,9,2,0,0,0.975124,0.444444,6,25.666667,1.3333,1
0,1,2,0,2,0,0,0,0.666667,0,0,1,0
0,1,1,17,2,0,0,0.974359,0.5,3,49.666667,3,1
0,0,2,22,0.333333,1,2,0.934211,0.305556,7,34,1.3333,0
0,742,2,2,0.95,1,0,0.74,0.148218,14,7.195122,1,0
0,0,1,1,0.694444,0,1,0,0.4,0,11.692308,1.6923,1
0,10,1,4,2,0,0,0,0.25,0,5,0.8,0
0,0,12,0,0.6875,1,0,0,0.555556,0,29,2.1111,1
0,7,1,22,0.644444,1,2,0.861538,0.3,9,49,3.9,1
0,10,6,0,2,0,0,0,0.333333,0,0,1,0
0,0,1,9,0.841667,1,1,0.520958,0.114403,7,11.654321,1.1728,0
0,1,0,1,0.5,0,0,0.97619,1,0,103.333333,0.3333,1
0,1,0,1,0.5,0,0,0.97619,1,0,161,0.3333,1
0,54,0,5,0.454545,1,1,0,0.533333,0,10.5,0.8333,0
0,3,1,28,0.6,1,2,0.918033,0.361111,7,54,2.6667,0
0,0,8,0,0.425,1,0,0,0.515152,0,19.909091,1.7273,1
0,0,1,5,0.485714,1,2,0.65,0.34375,5,21.25,1.625,1
0,1,0,1,1.423077,0,0,0.97619,1,0,1251,0.3333,0
0,1,0,5,2,0,0,0.982143,0.75,7,16.5,0.5,1
0,0,2,2,0.166667,1,1,0,0.75,0,17.5,1,1
2,3,3,1,2,0,0,0.972603,0.666667,0,1,0.6667,0
0,0,4,2,2,0,0,0,1,0,0,1,1
0,6,4,1,2,0,0,0,0.55,0,0,1,0
0,0,3,1,2,0,0,0,1,0,0,1,0
0,221,1,1,0.964286,1,1,0,0.143939,0,14.318182,1,1
0,0,2,4,0.111111,0,1,0.689655,0.325,1,4.7,0.9,0
0,3,5,3,2,0,0,0,0.5,0,0,1,1
0,1,0,1,0.5,0,0,0.97619,1,0,103.333333,0.3333,1
3,0,10,9,0.416667,1,2,0.934211,0.357143,4,19.571429,1.1429,0
1,40,2,14,0.638889,0.666667,3,0.946903,0.188034,11,25.846154,1.1538,1
1,8,2,2,0.541667,0.5,0,0.771429,0.269231,4,18.615385,1.8462,1
