@relation 'log4j-1.0_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.349wmc-0.337rfc-0.33loc-0.302npm-0.296ce... numeric
@attribute -0.489mfa-0.473dit-0.471ic-0.426cbm+0.194ca... numeric
@attribute '-0.446amc+0.351ca-0.321avg_cc+0.3  noc-0.288max_cc...' numeric
@attribute 0.693lcom3+0.372cam-0.353dam-0.252moa-0.214noc... numeric
@attribute 0.444avg_cc+0.366max_cc+0.365dam+0.341cam+0.309noc... numeric
@attribute -0.634moa+0.578dam-0.238dit+0.191npm-0.173cbo... numeric
@attribute -0.649noc+0.459ca-0.346lcom3+0.331cbo-0.228ce... numeric
@attribute '0.641cam-0.35cbm-0.288noc+0.28 moa+0.268dam...' numeric
@attribute -0.444amc-0.394dit+0.354cbm-0.294lcom3-0.257dam... numeric
@attribute -0.394dam-0.392ce-0.343moa+0.312lcom+0.308noc... numeric
@attribute 0.391lcom3-0.37ce+0.366moa-0.352cam-0.274cbm... numeric
@attribute -0.538amc-0.466cbm+0.458ce-0.268moa+0.216max_cc... numeric
@attribute bug {1,0}

@data
1.151661,-3.067904,0.514737,1.369014,-0.330774,-0.557871,0.007761,-1.103129,-1.160424,0.458222,1.041426,-0.607242,0
2.894211,1.183459,0.488666,0.812965,-0.405075,0.506507,-0.533074,-0.349281,0.094295,-0.23712,0.729437,-0.082783,0
-1.058708,0.326684,-0.52901,-1.839721,2.01263,2.794051,0.746196,0.728451,0.340584,-0.414381,0.24964,0.207112,0
-1.218657,-0.510356,-0.214122,-0.508226,1.159155,1.358519,-0.400866,0.147735,-0.674433,0.145238,0.456119,1.182869,0
-1.291801,2.792343,4.572275,-0.073831,1.68024,-0.930107,-0.187268,-2.340963,-0.779964,1.117996,-1.7093,0.627397,0
-5.698661,-3.426969,-3.57106,2.007429,2.933947,-0.021313,-0.513992,-1.153455,2.450867,-0.106973,1.12122,0.989884,1
2.70951,1.160347,0.560156,1.455189,-0.027298,0.242709,-0.606406,0.490593,0.092845,-0.531437,-0.191191,0.195846,0
1.659135,1.135181,0.044698,-0.819056,-0.892885,-0.073988,-0.087548,-0.184843,0.430481,-0.170656,0.349515,-0.043962,0
0.520992,-0.807328,-1.279319,-0.86404,1.47545,-1.59988,0.654711,1.303525,0.338664,1.101222,0.204825,0.432481,0
1.291348,1.135763,-1.525708,0.881472,0.225077,0.65162,-0.386915,-0.888042,-0.758424,0.351162,0.854945,-0.890034,0
1.323967,1.040204,0.224583,-0.200167,-0.355572,0.58613,0.095233,-0.100334,0.816967,0.337085,0.112928,0.38358,1
-0.917731,-2.307646,0.126589,-0.34699,0.532933,1.020219,0.439511,0.377528,-0.82322,-0.08037,0.230776,0.398411,0
1.681698,1.1165,0.045583,-0.823804,-0.871634,-0.162058,-0.095022,-0.15356,0.349736,-0.34477,0.155022,0.101667,0
2.370828,1.472871,1.122319,1.4136,0.402804,0.253685,0.165739,-0.146452,0.290067,-0.17774,0.417045,-0.074433,0
-2.934367,1.618301,0.975704,0.300678,-1.175294,0.400106,-0.837031,-0.823045,-0.679668,-0.142366,-1.244117,1.549578,1
0.497923,1.223775,-0.488696,-0.666184,-0.493897,-0.904597,-0.000209,0.364635,0.060102,-0.700753,-0.322511,-0.231339,0
0.420403,1.005654,-1.221032,-0.536652,-0.767287,0.476258,0.18642,-0.380381,-0.273183,0.31808,-0.432016,-0.078681,0
2.207856,1.024072,0.205285,-0.211408,-0.376756,0.176838,0.155319,0.404179,0.38822,0.185055,-0.749751,-0.006363,0
-0.177214,1.122891,-0.868704,-0.643965,-1.11406,0.171152,-0.105384,-0.401038,0.201712,-0.129765,0.397754,0.243572,0
0.593617,1.006721,-2.083807,1.5523,1.273765,0.57915,-0.435717,-0.421724,-0.257513,0.193513,0.551806,-0.048563,0
1.876923,0.514083,1.270901,-1.590571,1.222112,1.925529,-0.056261,1.890462,0.226583,-1.103086,0.209206,-0.796512,0
-2.722501,-4.846751,1.046087,0.150705,-0.509326,0.968437,-0.82478,-2.111187,1.048299,-1.284736,-1.84813,-1.684073,1
-5.481858,2.126856,4.69455,-3.186297,2.377774,-0.677443,-5.704239,-0.420598,-0.870236,0.112423,-0.207929,0.364109,0
0.059302,1.071588,-0.644235,-0.574717,-1.196196,-0.144534,-0.17964,0.046761,-0.051121,-0.639779,-0.490058,0.490483,0
-1.833218,1.299838,-0.69152,-0.317322,-0.314958,0.757793,1.140094,-1.372766,0.392092,0.506853,0.415791,0.442954,1
0.060512,-3.302928,2.318107,-2.399957,1.966303,0.463819,0.198348,0.125732,-0.659425,-0.352042,-0.475431,-0.409244,0
1.15326,-0.11029,-0.786814,0.072562,0.740962,0.497169,0.281146,-0.771193,1.463275,0.413503,0.121601,0.049641,0
