@relation 'lucene-2.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,13-14,16-20'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute cam numeric
@attribute bug {1,0}

@data
0,0.785714,0,0.4,1
0,0.638889,0.5,0.285714,1
0,0.388889,1,0.34,0
0,2,0,0.5,0
2,0.881944,0.833333,0.197917,1
3,2,0,0.6,0
0,0.881944,0.333333,0.179487,1
0,0.722222,0.777778,0.173611,1
0,0.791667,1,0.201923,0
0,2,0,0.3,0
0,0.142857,0.142857,0.555556,0
0,0.428571,0,0.3,0
1,2,0,0.416667,0
2,2,0,0.4,0
0,0.666667,0,0.333333,1
0,0.1,1,0.583333,1
0,0.833333,0,0.75,1
0,0.761538,1,0.102564,1
0,2,0,0.666667,1
0,0.125,0,0.55,0
0,0.125,0,0.294872,1
2,0,1,0.666667,0
0,0.142857,1,0.232143,1
2,0.875,0.75,0.366667,1
0,2,0,1,0
0,0.590909,1,0.283333,0
0,1,0,0.833333,0
0,0.666667,1,0.392857,1
2,2,0,0.466667,0
3,0.894737,0.5,0.291667,1
2,0.920833,0.333333,0.26875,1
5,0.5,1,0.8,1
0,0.833333,0,0.416667,0
0,2,0,0.666667,1
0,0.796296,0,0.277778,0
0,2,0,0.666667,0
0,2,0,1,0
1,0.690476,1,0.309524,1
0,0.813725,0.833333,0.426471,0
0,2,0,0.583333,1
0,0.678571,0,0.533333,0
0,0.625,1,0.325,1
0,0.934343,0.222222,0.221739,1
0,2,0,1,0
0,0.703125,0.75,0.303571,0
0,0.64,1,0.35,0
0,0.813725,0.888889,0.152381,1
0,0.928571,0,0.5,1
0,1.166667,0,0.666667,0
0,0.757143,0,0.2125,0
1,2,0,0.466667,0
0,0.3125,0,0.222222,1
0,0.777778,0.333333,0.333333,1
2,2,0,0.666667,0
0,0.454545,1,0.229167,1
0,0.692308,1,0.333333,1
5,1,0.333333,0.6,1
0,0.25,0,0.285714,0
0,0.461538,1,0.196429,1
1,0.666667,0.333333,0.583333,1
0,1,1,0.533333,1
6,2,0,0.833333,1
0,1.041667,0,0.427083,1
7,0.921569,1,0.25,1
6,0.729167,1,0.769231,1
0,2,0,0.583333,1
0,0.333333,0,0.466667,0
1,0.897436,0.333333,0.403846,1
0,2,0,0.75,0
0,0.776871,0.52381,0.182857,1
2,0.695313,0.625,0.302083,0
0,0.5,0,0.45,0
0,0.344,1,0.184615,1
0,0.375,0,0.466667,0
3,2,0,0.555556,0
0,2,0,0.263636,1
0,0.666667,0.666667,0.47619,0
3,0.962963,1,0.25,1
0,0.578947,1,0.128125,1
0,2,0,0.333333,1
0,2,0,0.666667,1
0,0.85,0.5,0.4,1
0,0.658333,0,0.214286,0
0,0.574074,1,0.228571,0
0,2,0,0.375,1
3,1,0,0.342857,0
1,0.555556,0.75,0.36,0
0,1.24359,0,0.444444,0
0,0.937997,0.411765,0.162162,1
0,2,0,0.30719,1
1,0.466667,1,0.611111,1
0,0.8,0,0.333333,1
0,2,0,1,0
1,2,0,0.666667,0
0,2,0,0.333333,1
0,0.916667,0,0.270833,0
0,0.454545,1,0.22619,1
1,2,0,0.4,0
0,2,0,0.5,1
0,0.666667,1,0.5,1
0,0.968496,0.707317,0.214286,0
0,0.767857,0.857143,0.197917,1
0,0.35,0,0.242424,0
0,0.428571,1,0.178571,1
0,1,0,0.875,1
0,1.12,0,0.5,1
1,2,0,1,0
0,0.812937,0.884615,0.169421,1
0,0.75,0.5,0.288889,0
0,0.941202,0.409836,0.069867,1
0,0.285714,1,0.4375,1
0,2,0,0.75,0
4,0.333333,1,0.75,1
0,1,0,0.333333,0
2,2,0,1,0
0,0.2,1,0.333333,1
0,0.178571,1,0.34375,0
5,0.6,0.5,0.7,0
0,0.765,1,0.204082,1
0,2,0,0.291667,1
0,1,0,1,1
2,0.333333,1,0.342857,1
0,0.979167,0,0.52381,1
0,2,0,0.555556,0
0,0.6,1,0.380952,0
0,0.4,1,0.351852,1
1,0.475,1,0.355556,1
0,2,0,0.321429,0
0,0.583333,1,0.444444,0
0,0.712919,0.818182,0.205263,1
0,0.779221,0,0.190476,1
0,0.709402,1,0.25,1
0,0.96337,0.571429,0.205128,0
0,2,0,0.5,0
1,2,0,0.428571,1
0,1,0,0.333333,0
0,2,0,0.833333,0
3,2,0,1,1
0,2,0,1,0
0,0,1,0.666667,0
1,0.611111,1,0.292308,1
0,2,0,0.6,1
0,0.75,0.333333,0.4,1
0,0.583333,1,0.416667,1
0,0.44,0.2,0.4,0
0,2,0,0.333333,0
0,0.547619,0.5,0.309524,0
0,0.72,1,0.5,0
0,0.763889,0.333333,0.179487,0
0,0.875,0.125,0.555556,1
0,0,1,0.416667,1
0,0.5,0.5,0.357143,1
0,0.85,1,0.388889,0
0,0.466667,1,0.5,1
0,0.847594,0.470588,0.231405,0
0,1.166667,0.5,0.333333,1
0,0.783333,0.8,0.269231,0
0,0.75,0.5,0.333333,0
0,0.894231,0.769231,0.178571,1
0,1,1,0.5,0
0,0,1,0.666667,1
0,0.857143,0,0.339286,1
0,0.763889,0.5,0.1875,1
0,0.833333,0.5,0.386364,0
0,2,0,1,0
0,2,0,1,0
0,0.692308,0,0.320513,1
0,0.8125,0,0.4,1
0,0.886538,0.737705,0.070034,1
0,0.45,1,0.287879,1
0,2,0,0.777778,1
0,2,0,0.261905,1
1,0.611111,1,0.5,0
0,0.577778,0.333333,0.3625,1
0,0.836538,0,0.232143,1
2,1,0,0.267857,0
5,2,0,0.5,1
2,0.5,1,0.407407,0
1,0.710317,1,0.126689,1
1,0.908333,0.571429,0.093421,1
0,0.775,0,0.222222,1
1,0.903738,0.580645,0.139194,1
0,2,0,0.777778,1
0,0.855263,0.75,0.245614,1
0,0.375,0,0.5,0
4,0.428571,1,0.3125,1
7,2,0,0.666667,1
0,0.833333,0,0.19697,0
2,2,0,0.47619,0
0,0.423077,1,0.214286,1
0,0.75,0.5,0.416667,0
0,0.428571,1,0.25,1
0,0,1,0.205128,1
0,0,1,0.185714,1
0,0.428571,1,0.314286,1
0,1.5,0,0.555556,1
0,2,0,0.555556,0
0,0.333333,0.333333,0.466667,1
0,0.230769,1,0.428571,0
0,0.75,0,0.6,0
0,1,0,0.4,0
0,0.703704,1,0.325,1
0,1,0,0.7,1
0,0.785088,0.291667,0.157895,0
0,0.710938,1,0.170799,1
0,2,0,1,0
1,0.520833,1,0.309524,1
0,0.583333,1,0.211538,1
0,0.90625,0.5,0.25,0
0,0.484848,1,0.625,0
0,0.1875,0,0.3,1
0,0.719814,0.210526,0.405882,1
0,2,0,0.666667,1
1,0.5,0,0.265306,1
5,2,0,0.583333,1
2,0.285714,0,0.5,0
0,0,1,0.533333,0
0,0.628571,0.571429,0.3,1
0,0.545455,1,0.285714,1
0,2,0,0.833333,1
0,0.777778,0.333333,0.333333,1
0,0.810897,0.846154,0.208333,1
9,0.444444,1,0.461538,1
15,0.833333,1,0.230769,1
0,0.821429,1,0.35,1
2,0.875,1,0.18125,1
0,0,1,0.333333,1
0,0.977273,0.1875,0.287879,1
0,0.7,0.8,0.428571,0
0,0.777778,0.333333,0.333333,1
0,0.666667,0.666667,0.375,0
0,0,0,0.4,0
0,0.600962,1,0.253086,0
0,2,0,0.5,0
0,0.833333,0.5,0.416667,1
2,0.833333,0,0.388889,1
0,0.142857,1,0.375,1
0,0.083333,1,0.314815,1
0,2,0,0.666667,0
0,0.666667,0.333333,0.375,0
0,0.333333,1,0.47619,1
0,0.777778,0.333333,0.416667,0
0,0.719048,0.52381,0.366667,1
0,0.571429,1,0.425,0
1,0.466667,1,0.23125,1
0,0.761111,0.533333,0.211538,0
0,0.625,1,0.158824,1
0,0.708333,0.5,0.388889,1
0,0.866667,0.857143,0.214286,1
1,2,0,0.366667,0
0,0.458333,1,0.458333,0
1,0.454545,1,0.416667,1
0,2,0,0,0
1,1,0,0.342857,0
0,0.866667,0.2,0.155556,1
0,0.729167,0,0.208333,1
0,1.333333,0,0.5,1
0,0.666667,0.666667,0.5,1
0,0.777778,0.333333,0.333333,1
2,2,0,0.75,0
1,0.6,1,0.5,1
0,0.357143,0.142857,0.666667,0
0,2,0,0.777778,1
2,0.846429,0.8,0.267857,1
0,0.8,0.5,0.4,1
0,0.333333,1,0.375,0
0,2,0,1,0
0,0.125,0.5,0.466667,0
0,0.75,1,0.625,0
1,2,0,1,1
1,0.571429,1,0.35,0
3,2,0,0.444444,0
0,0.75,0,0.4,0
0,0.357143,0.5,0.189744,1
0,0.55,0.4,0.4,1
0,1.2,0,0.5,1
0,2,0,0.416667,1
17,0.8,1,0.458333,1
4,0.946667,0.571429,0.100833,1
0,0.671053,1,0.233333,1
1,2,0,1,0
0,0.75,0.142857,0.416667,0
0,0.583333,0.666667,0.5,0
0,2,0,0.666667,1
1,0.240741,1,0.287879,1
0,0.285714,1,0.321429,1
3,0.855978,1,0.171875,1
0,0.384615,1,0.171429,1
4,0.833333,1,0.380952,0
4,2,0,0.625,1
0,0.675325,0.928571,0.321429,1
0,0.609091,1,0.305556,1
1,0,1,0.266667,1
0,2,0,0.333333,0
0,0.666667,1,0.45,0
0,0.5,0.875,0.270833,0
3,0.913043,1,0.275,1
0,2,0,0.35,1
6,0.6,1,0.5,1
0,0.2,1,0.611111,1
0,2,0,1,0
8,0,1,0.666667,1
0,0.694444,0,0.277778,0
0,1.075758,0.363636,0.333333,1
0,2,0,0.666667,0
2,0.666667,1,0.21978,1
0,1,1,0.666667,1
0,0.537037,0.666667,0.25,1
0,0.688889,0.666667,0.175,0
0,2,0,1,0
0,0.766667,0.4,0.6,1
0,2,0,0.666667,0
0,0.148148,0,0.45,1
2,0.682292,0.875,0.230769,1
0,2,0,1,1
0,0.375,1,0.6,0
0,0.65625,1,0.2375,1
0,0.614286,1,0.191667,1
0,0.655385,0.230769,0.285714,1
0,0.333333,1,0.5,1
0,2,0,1,1
1,2,0,0.466667,0
0,0.777778,0,0.4,0
0,0.625,1,0.287879,1
0,0.708333,0,0.428571,1
0,0.333333,1,0.571429,1
1,0,1,0.395833,1
0,0,1,0.833333,1
0,0.821429,0.75,0.238095,1
0,0.900794,0.222222,0.380952,1
1,0.4,1,0.416667,1
0,2,0,1,0
0,0.602564,0,0.404762,0
0,0.825,0,0.333333,1
3,2,0,0.541667,1
0,0.716667,0.6,0.285714,1
0,0.383333,1,0.328125,1
0,2,0,0.5,0
0,0.759259,0,0.188889,0
0,2,0,0.571429,1
