@relation KC1-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R2

@attribute ev(g) numeric
@attribute l numeric
@attribute i numeric
@attribute t numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Op numeric
@attribute defects {false,true}

@data
1.4,1.3,1.3,1.3,2,2,2,1.2,false
1,1,1,1,1,1,1,1,true
1,0.04,40.27,1187.7,10,6,0,18,true
6,0.07,51.81,635.37,2,5,0,16,true
1,0.11,27.25,132.33,0,2,0,11,true
1,0.09,50.53,356.87,2,4,0,11,true
1,0.06,48.72,644.24,2,2,0,12,true
1,0.04,44.45,1836.77,3,2,0,16,true
1,0.06,45.99,670.5,2,1,0,12,true
1,0.06,44.97,793.24,2,1,0,14,true
1,0.05,49.62,1181.2,2,2,0,15,true
1,0.05,40.62,878.23,4,5,0,14,true
4,0.04,63.91,2512.35,14,12,0,19,true
1,0.09,30.6,219.65,0,0,0,11,true
12,0.03,42.59,2024.14,7,7,0,18,true
1,0.29,13.32,9.06,0,0,0,7,true
1,0.18,35.32,57.83,0,1,0,8,true
3,0.03,50.21,2486.52,4,15,0,22,true
1,0.21,64.87,80.81,0,1,0,7,true
1,0.3,25.75,15.9,0,1,0,5,true
1,0.03,2.77,234,0,0,0,3,true
1,0.08,40.76,382.74,0,3,0,12,true
1,0.07,17.26,174.74,0,3,0,9,true
7,0.1,25.13,128.21,0,1,0,10,true
1,0.03,52.25,2740.04,26,6,0,18,true
1,0.07,25.32,287.92,0,2,0,12,true
1,0.07,23.08,269.62,0,1,0,12,true
1,0.16,14.45,32.89,0,3,0,8,true
1,0.06,37.74,536.77,2,2,0,12,true
9,0.04,53.35,1890.52,0,10,0,21,true
1,0.07,54.62,602.13,3,4,0,12,true
1,0.05,48.4,1185.9,2,3,0,15,true
1,0.06,67.19,1170.16,4,6,0,14,true
3,0.03,46.62,2192.83,5,5,0,17,true
1,0.3,22.83,14.09,1,3,0,5,true
1,0.3,22.83,14.09,1,2,0,5,true
1,0.04,42.36,1470.92,7,6,0,16,true
3,0.09,36.86,278.7,1,1,0,14,true
1,0.1,60.05,310.8,0,0,0,12,true
1,0.1,55.44,296.92,0,1,0,12,true
1,0.08,26.4,229.17,2,2,0,10,true
1,0.14,55.59,155.88,0,3,0,11,true
1,0.08,43.58,351.33,0,2,0,10,true
1,0.08,45.58,375.28,0,3,0,10,true
1,0.33,16.73,8.36,0,0,0,6,true
5,0.05,45.08,1047.81,4,5,0,15,true
1,0.18,21.07,37.04,2,2,0,9,true
1,0.11,32.82,153.2,0,1,0,11,true
1,0.4,19.37,6.73,0,0,0,5,true
1,0.19,26.79,41.02,0,0,0,7,true
1,0.06,36.49,519.03,0,6,0,12,true
11,0.03,69.24,3381.26,7,22,0,26,true
1,0.08,35.53,274.19,0,0,0,15,true
1,0.08,74.95,724.57,1,5,0,13,true
1,0.16,58.93,125.85,0,0,0,8,true
5,0.05,26.93,534.42,0,10,0,21,true
1,0.1,20.27,108.57,0,0,0,12,true
1,0.17,16.5,33,0,1,0,8,true
1,0.14,44.72,126.91,0,3,0,9,true
1,0.03,57.05,2612.01,2,10,0,22,true
1,0.04,43.95,1445.88,2,7,0,22,true
1,0.08,6.82,62.43,0,0,0,11,true
1,0.18,23.08,40.22,0,0,0,8,true
1,0.05,22.01,508.81,1,3,0,18,true
1,0.4,37,12.85,0,0,0,5,true
1,0.07,9.94,104.46,0,1,2,11,true
1,0.27,7.49,5.85,0,0,0,5,true
1,0.22,23.93,27.78,1,1,0,8,true
1,0.33,6.55,3.28,0,0,0,6,true
1,0.29,25.9,16.92,2,0,0,6,true
1,0.19,14.1,21.59,0,0,0,7,true
1,0.5,5.8,1.29,0,0,0,4,true
1,0.15,17.59,46.19,1,0,0,10,true
1,0.13,71.67,223.96,5,14,0,10,true
1,0.11,27.14,126.7,0,4,0,11,true
1,0.04,62.43,1847.08,0,2,3,18,true
3,0.05,31,586.32,0,2,0,18,true
1,0,0,0,1,0,0,1,true
1,0.29,29.02,19.75,2,3,0,7,true
1,0.29,31.28,20.43,0,0,0,4,true
1,0.33,8,4,0,0,0,6,true
1,0.15,47.55,111.61,1,2,0,9,true
1,0,0,0,0,0,0,0,true
1,0.67,5.33,0.67,0,0,0,3,true
1,0.07,22.33,249.48,1,1,0,12,true
1,0.24,32.11,31.47,0,0,0,7,true
1,0.1,16.18,83.57,0,2,0,9,true
1,0.07,35.93,459.18,1,2,0,13,true
1,0.07,26.83,285.78,1,1,0,12,true
1,0.06,41.29,605.68,3,2,0,13,true
1,0.25,12.95,11.51,0,1,0,8,true
6,0.05,17.52,381.31,0,4,0,19,true
1,0.67,5.33,0.67,0,0,0,3,true
8,0.04,39.75,1764.38,1,8,0,27,true
11,0.03,104.99,6458.83,5,18,0,25,true
1,0.26,27.6,22.73,0,2,0,7,true
3,0.05,43.01,1033.89,0,10,0,16,true
10,0.03,35.3,2674.72,0,5,0,22,true
1,0.2,12.19,16.93,0,2,0,8,true
1,0.67,7.74,0.97,0,0,0,3,true
1,0.1,21.1,110.09,0,3,0,14,true
1,0.07,20.51,256.42,0,17,0,18,true
1,0.04,36.31,1462.33,2,6,0,20,true
14,0.02,40.24,3813.41,0,11,0,21,true
3,0.04,27.78,802.17,0,5,0,24,true
6,0.05,34.45,777.91,0,3,0,18,true
1,0.23,24.31,24.72,0,3,0,7,true
1,0.13,28.62,88.58,2,0,0,11,true
8,0.07,37.05,445.4,0,1,0,13,true
4,0.1,16.8,89.21,0,1,0,11,true
1,0.13,23.87,79.19,0,1,0,10,true
3,0.14,29.01,78.23,0,2,0,11,true
1,0.06,61.1,1076.95,3,9,0,19,true
6,0.02,48.29,5266.99,0,8,0,27,true
4,0.05,19.94,488.56,0,6,0,21,true
1,0.11,48.29,212.72,0,3,0,11,true
3,0.04,27.18,943.61,0,5,0,25,true
3,0.04,29.12,1000.72,0,3,0,26,true
1,0.05,37.35,722.99,0,3,0,16,true
1,0.05,19.15,484.13,0,5,0,12,true
9,0.03,34.9,2422.21,0,8,0,29,true
1,0.14,39.4,107.25,0,2,0,9,true
1,0.08,34.7,290.62,0,4,0,13,true
11,0.04,64.25,2236.31,1,18,0,23,true
1,0.14,11.31,32.56,0,1,0,8,true
5,0.07,29.91,333.49,0,3,0,15,true
3,0.07,16.01,162.07,0,2,0,12,true
3,0.1,34.99,192.35,0,5,0,14,true
5,0.04,107.5,4491.81,44,35,3,17,true
1,0.09,29.72,199.77,0,1,0,14,true
1,0.06,52.58,962.6,2,2,0,16,true
1,0.08,35.74,304.07,2,5,0,12,true
7,0.05,55.59,1229.19,11,19,2,21,true
7,0.05,53.5,1148.03,11,20,2,21,true
3,0.07,50.35,584.21,9,11,3,16,true
1,0.09,32.84,205.24,3,5,0,11,true
1,0.07,63.37,693.27,6,12,0,15,true
8,0.03,59.7,3028.87,11,28,3,21,true
3,0.06,55.37,802.26,3,7,0,19,true
1,0.08,23.31,186.46,1,1,0,12,true
1,0.06,20.09,292.98,1,1,0,12,true
1,0.2,7.3,10.14,0,1,0,5,true
4,0.03,72.43,5975.1,3,24,2,26,true
1,1,4.75,0.26,0,0,0,2,true
1,0.5,5.8,1.29,0,0,0,4,true
4,0.03,53.74,3332.46,2,4,1,28,true
1,0.4,7.86,2.73,0,0,0,5,true
1,0.4,6.2,2.15,0,0,0,5,true
1,0.22,34.29,38.57,5,4,0,6,true
1,0.15,103.45,247.89,2,11,0,9,true
1,0.67,5.33,0.67,0,0,0,3,true
1,0.5,22.5,5,0,0,0,4,true
1,0.27,6.74,5.26,0,1,0,5,true
1,0.14,16.45,47.37,0,1,0,8,true
1,0.33,12.18,6.09,0,1,0,6,true
1,0.15,9.32,23.59,0,0,0,9,true
1,0.02,71.91,7007.88,0,5,0,37,true
1,0.07,31.49,315.72,1,2,0,13,true
11,0.02,50.99,5303.37,22,23,0,27,true
1,0.08,33.08,273.01,11,7,0,13,true
1,0,0,0,0,0,0,1,true
1,0.16,43.51,99.89,0,0,0,10,true
1,0.18,59.23,103.2,0,0,0,8,true
1,0.26,25.48,20.98,0,0,0,7,true
1,0.07,46.48,506.13,2,3,0,14,true
3,0.13,17.63,58.29,0,1,0,9,true
3,0.07,34.3,358.8,0,3,0,13,true
4,0.04,98.25,2841.34,24,22,0,17,true
3,0.07,78.07,997.64,5,2,0,12,true
1,0.33,36.14,18.07,0,1,0,6,true
3,0.07,73.03,956.39,4,4,0,12,true
1,0.09,68.76,447.42,12,5,0,11,true
12,0.03,86.96,5454.4,27,18,0,28,true
3,0.12,15.15,57.3,0,0,0,9,true
3,0.08,35.44,332.76,0,2,0,13,true
1,0.5,9.83,2.18,0,1,0,4,true
1,0.1,40.21,245,0,3,0,13,true
1,1.33,21.67,0.68,0,1,0,1,true
3,0.14,20.12,59.78,0,3,0,9,true
4,0.06,37.93,573.62,2,3,0,15,true
1,0.2,43.92,61,0,1,0,7,true
5,0.05,26.93,534.42,0,9,0,21,true
1,0.08,22.36,192.9,0,2,0,12,true
5,0.06,96.33,1675.67,19,16,0,18,true
3,0.06,36.84,490.01,0,2,0,14,true
3,0.12,15.15,57.3,0,0,0,9,true
3,0.11,19.01,84.37,0,1,0,11,true
1,0.5,7.75,1.72,0,2,0,4,true
1,0,0,0,0,0,0,1,true
1,0.29,30.98,21.08,0,0,0,7,true
1,0.08,42.79,388.44,4,3,0,14,true
1,0.19,6.64,10.17,0,0,0,7,true
1,0.05,26.16,510.9,0,2,0,15,true
1,0.06,14.98,253.59,0,3,0,16,true
1,0.07,31.3,331.91,1,3,1,15,true
1,0.05,33.47,796.64,0,3,2,18,true
1,0.09,81.45,605.91,3,9,0,15,true
1,0.41,46.36,15.19,1,0,0,4,true
1,0.4,22.2,7.71,1,0,0,5,true
1,0.08,36.26,331.77,0,3,0,11,true
1,0.67,5.33,0.67,0,0,0,3,true
1,0.13,18.41,56.43,0,1,1,8,true
1,0.33,13.29,6.64,1,0,0,6,true
1,0.4,9.6,3.33,0,1,0,5,true
5,0.05,40.21,893.59,2,5,0,20,true
1,0.17,31.39,59.04,0,2,0,8,true
1,0.14,30.33,89.99,1,1,0,10,true
1,0.21,16.32,19.74,0,0,0,8,true
1,0.17,39.53,79.06,0,0,0,9,true
3,0.07,26.84,269.08,0,2,0,13,true
1,0.14,73.32,219.05,0,3,0,9,true
1,0.12,13.44,51.85,0,3,0,10,true
1,0.12,13.44,51.85,0,3,0,10,true
1,0.12,13.44,51.85,0,3,0,10,true
3,0.09,165.42,1089.63,1,1,0,12,true
3,0.08,154.03,1292.73,1,1,0,13,true
5,0.03,51.86,2747.56,6,6,0,21,true
1,0.13,24.99,81.24,1,3,1,9,true
1,0.03,53.32,2687.17,2,5,0,21,true
