@relation 'mozilla-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R1-3,12-13'

@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
0.23471,0.513648,0.172043,403,1,31,602,1,21,0
0.435613,0.214493,0.011594,172.5,1,13,59,1,598,0
0,0.037184,0.006941,2017,1,80,1,1,1,0
0,0.044118,0,204,1,5,21,1,30,0
0,0.0025,0.00125,800,1,5,2,1,19,0
0.850382,0.010472,0.016658,175.523809,1,43,0,0.666667,169,0
0.554778,0,0.016811,922,1,14,175,1,271,0
0.734926,1.891187,0,101.090909,1,2,352,1,147,1
0.36239,0.011799,0.013041,1610.25,1,148,477,1,32,0
0,0.006849,0,146,1,1,1,1,175,0
0.709873,0.019409,0.009263,226.7,0,27,441,0.8,238,0
0,0.156028,0,141,1,1,4,1,105,0
0,0.0018,0,1111,1,119,25,1,52,0
0.9562,0.005757,0.023849,405.333333,1,60,175,0.666667,327,0
0,0.002597,0.090909,385,1,1,1,1,48,0
0.872639,0,0.006457,877.666667,1,75,332,1,100,0
0,0.022201,0,1036,1,109,49,1,67,0
0.818963,0.003241,0.004077,1375.977011,1,201,3540,0.436782,2042,1
0.916853,0.004955,0.063584,134.555556,1,61,49,0.222222,876,0
0.751346,0.058104,0.061162,130.8,1,61,851,0.7,865,0
0.815788,0.008628,0.017687,741.04,1,291,13744,0.666667,7116,1
0.51127,0.051515,0.20303,220,1,7,1242,1,5,0
0.894421,0.013228,0.000331,756,1,76,215,1,63,0
0.398054,0.078491,0.018647,384.333333,1,20,498,0.666667,297,1
0.300156,0.003821,0.044482,594.727273,1,82,314,0.636364,309,0
0.981941,0.01541,0,616.5,1,14,74,1,12,0
0.430677,0.101341,0.070045,536.8,0,6,1068,0.6,140,0
0.966693,0.004239,0.000185,982.254545,1,131,1973,0.363636,135,0
1,0.067669,0.015038,133,1,13,138,0.5,621,0
0.645465,0.031196,0.005199,192.333333,1,2,170,1,3,0
0.211952,0.013675,0.083761,117,0,3,5,0.2,644,0
0.776704,0.039468,0.009152,635.727273,0,24,1985,0.818182,969,0
0.976615,0.006459,0.006459,189.222222,0,20,1437,0.444444,296,0
0.813104,0.004083,0.005801,664.857143,0,72,835,1,661,0
0.99403,0.003232,0.003878,773.5,0,38,284,1,14,0
0.643139,0.034579,0.057699,335.204545,0,142,3692,0.727273,2961,0
0.598443,0.053558,0.030961,801,0,127,2400,1,43,0
0,0.328125,0,64,0,13,656,1,22,0
0.94429,0.000456,0.000912,1534.3,0,147,619,0.9,693,0
0.503258,0.009512,0.001189,841,1,22,130,0.5,12,0
0.332807,0.273047,0.000235,947.333333,0,141,352,0.666667,4485,0
0.234497,0.517041,0.172901,401,1,32,5179,1,24,0
0.82585,1.78355,0,115.5,1,4,71,0.5,281,0
0.83542,0.169556,0.051249,435.777778,1,3,1591,0.666667,238,0
0.843939,0.2907,0.005,575.791946,1,148,12223,0.731544,1252,1
0.745198,0.011814,0.009593,1763.416667,0,132,199,0.833333,226,0
0,0,0,0,1,20,43834,0.144578,658,0
0.818699,0.09375,0.224609,128,1,27,120,0.75,582,1
0.876212,0.476278,0.055453,231.857143,1,2,87,0.857143,800,0
0,0,0,0,1,140,37980,0.142857,77,0
0,0.008264,0.008264,121,1,8,374,0.666667,210,0
0,0.006849,0,146,1,2,6,1,316,0
0.820248,0.041563,0.016749,322.4,1,15,802,0.8,1021,0
0.437796,0.02808,0.008152,736,1,1,79,0.666667,191,0
0,0.014085,0,355,0,26,31,1,5,0
0.353025,0.038692,0.024383,456.6,1,133,2839,0.466667,23,1
0.33069,0.151773,0.24735,576,1,119,416,0.157895,351,1
0,0.001016,0.022358,984,1,62,11,1,432,0
0.698827,0.077893,0.064825,601.62069,1,166,2092,0.862069,351,1
0.946395,0,0.002349,567.666667,1,99,184,1,1372,0
0,0,0.024691,81,1,6,438,0.5,105,0
0.651416,0.071512,0.040445,213.25,1,75,566,0.5,2922,0
0.755577,0.231761,0.093855,282.875648,1,234,38168,0.720207,1151,1
0.749595,0.015799,0.000585,854.5,1,59,7,1,64,0
