@relation 'data/M_multi_metrics_ML.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-6,8-15,18,20-21,24-26,28,30,33,35-47,49-50,52-53,55,57-61'

@attribute CvsWEntropy numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0.002216,0,0,0,0,0,0,2,0,0,0,0,1.02,0.002801,36,clean
0.278898,4,1,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.013173,0,1,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0.042989,0,1,0,0,0.0025,7,1,0,0,2.07,0,5.31,0.016354,31,clean
0.003364,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.013012,0,0,0,0,0,1,2,0,0,0,0,2.02,0.009791,17,clean
0,1,0,0,0,0,0,1,0,0,0,0,2.06,0.009791,32,clean
0.008067,0,1,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.012142,0,0,0,0,0,0,1,0,1.01,0,0.001502,3.15,0.012592,0,clean
0.001339,0,0,0,0,0,8,4,0,1.01,0,0.002921,4.09,0.014863,47,clean
0.000511,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.000949,1,0,0,1.01,0,0,2,0.006499,0,0,0,1.01,0.005924,15,clean
0.171286,0,0,0.000977,0,0,13,3,0,0,1.02,0,1.04,0.000497,75,clean
0.004944,0,0,0,0,0,1,3,0,0,0,0,0,0,5,buggy
0.01636,1,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.002227,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.027879,0,0,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,clean
0.002656,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,clean
0.005904,0,0,0.000594,0,0.001023,1,1,0,0,1.01,0,4.13,0.010674,113,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.001953,0,0,0,0,0,0,2,0,0,0,0,3.04,0.010847,19,clean
0.034476,0,1,0.008619,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.172504,0,2,0.005557,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.001875,1,0,0,0,0,0,2,0,0,0,0,1.1,0.027723,22,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,buggy
0.217807,0,1,0.0009,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.017608,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.002277,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.042056,0,0,0,0,0.0025,7,1,0,0,2.07,0,5.31,0.016354,31,clean
0.004776,8,0,0,1.01,0,0,1,0.00377,0,0,0,0,0,9,clean
0.008344,0,0,0,0,0,0,2,0,1.01,0,0.000875,3.08,0.012165,22,clean
0.023915,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.034676,0,0,0.0012,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.002557,0,0,0,0,0,0,2,0,0,0,0,2.02,0.009791,17,clean
0.000949,1,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.002692,0,0,0,0,0,1,2,0,0,0,0,1.01,0.005924,15,clean
0.017626,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,16,3,0,0,0,0,0,0,49,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.017674,0,0,0,0,0,0,2,0,0,0,0,8.12,0.022649,31,clean
0.001763,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.061734,0,0,0,0,0,0,2,0,1.01,0,0.001571,2.09,0.004479,7,buggy
0.001081,0,0,0,0,0.005667,2,4,0,1.01,2.02,0.002921,6.96,0.019903,170,clean
0.052219,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.013317,0,0,0,0,0,0,1,0,0,0,0,3.29,0.011815,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.005312,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.000949,0,0,0,0,0,1,1,0,0,0,0,1.01,0.005924,14,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.192404,0,0,0,0,0,0,1,0,0,0,0,3.09,0.011815,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.004835,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.008271,0,0,0,0,0,2,3,0,0,0,0,4.15,0.014101,42,clean
0.000949,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,15,clean
0.016954,0,1,0,0,0,0,3,0,0,0,0,2.08,0.009791,52,clean
0.001773,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.061515,0,0,0,0,0,4,2,0,0,0,0,0,0,12,clean
0.019605,0,0,0,0,0,1,2,0,0,0,0,0,0,27,clean
0.040174,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.008085,0,1,0,0,0,0,2,0,0,0,0,3.31,0.011815,25,clean
0.025216,0,0,0.003114,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.002291,0,1,0,0,0,1,2,0,0,0,0,2.02,0.009791,23,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.014471,0,0,0.004871,0,0,0,1,0,0,0,0,0,0,0,clean
0.000682,0,0,0,0,0,7,3,0,0,0,0,1.1,0.027723,39,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.003657,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.018047,1,0,0,0,0,0,2,0,0,0,0,2.09,0.004816,12,clean
0.001193,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,clean
0.00695,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0,0,0,0,0,0,0,2,0,0,0,0,1.1,0.027723,22,clean
0.014507,0,0,0,0,0,0,2,0,0,0,0,3.03,0.012459,11,clean
0.002704,0,0,0,0,0,0,2,0,0,0,0,3.07,0.056265,14,buggy
0.001369,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.002541,0,0,0,0,0,4,2,0,0,0,0,1.01,0.005924,11,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,buggy
0.848744,0,4,0.000798,0,0.030844,25,4,0,2.02,2.02,0.006657,8.3,0.019174,78,clean
0.001587,0,0,0,0,0,0,2,0,0,0,0,0,0,1,clean
0.000949,0,0,0,0,0,0,1,0,0,0,0,2.03,0.033647,26,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.029353,0,0,0,0,0.001023,3,1,0,0,1.03,0,4.25,0.010674,125,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
